base_date,emd_cd,em_cnt,em_g
2019-11-30,2019-11-30,50110250,620,2279550
2019-12-31,2019-12-31,50110250,8178,31493650
2020-01-31,2020-01-31,50110250,13042,49632850
2020-02-29,2020-02-29,50110250,12264,46197050
2020-03-31,2020-03-31,50110250,14316,52561750
2020-04-30,2020-04-30,50110250,14513,52242650
2020-05-31,2020-05-31,50110250,17614,61167800
2020-06-30,2020-06-30,50110250,17365,55895800
2020-07-31,2020-07-31,50110250,23417,74343450
2020-08-31,2020-08-31,50110250,24943,80336450
2020-09-30,2020-09-30,50110250,21807,70032800
2020-10-31,2020-10-31,50110250,21947,73234800
2020-11-30,2020-11-30,50110250,19990,70548650
2020-12-31,2020-12-31,50110250,19001,65998800
2021-01-31,2021-01-31,50110250,18369,60314250
2021-02-28,2021-02-28,50110250,17384,60052534
2021-03-31,2021-03-31,50110250,19901,69780550
2021-04-30,2021-04-30,50110250,20950,73755600
2021-05-31,2021-05-31,50110250,24046,79295550
2021-06-30,2021-06-30,50110250,25653,82746990
2018-01-31,2018-01-31,50110253,3702,7744200
2018-02-28,2018-02-28,50110253,3182,6799950
2018-03-31,2018-03-31,50110253,3789,8239050
2018-04-30,2018-04-30,50110253,3733,7756850
2018-05-31,2018-05-31,50110253,4084,7819200
2018-06-30,2018-06-30,50110253,4276,8349500
2018-07-31,2018-07-31,50110253,5031,9775900
2018-08-31,2018-08-31,50110253,4454,7980150
2018-09-30,2018-09-30,50110253,3689,6243150
2018-10-31,2018-10-31,50110253,3537,5927500
2018-11-30,2018-11-30,50110253,3388,6189400
2018-12-31,2018-12-31,50110253,3289,6749250
2019-01-31,2019-01-31,50110253,3129,6324700
2019-02-28,2019-02-28,50110253,2811,5733100
2019-03-31,2019-03-31,50110253,3015,6057700
2019-04-30,2019-04-30,50110253,2997,5753700
2019-05-31,2019-05-31,50110253,4231,7364450
2019-06-30,2019-06-30,50110253,4795,8786950
2019-07-31,2019-07-31,50110253,5287,9908000
2019-08-31,2019-08-31,50110253,5390,9669800
2019-09-30,2019-09-30,50110253,4749,8122000
2019-10-31,2019-10-31,50110253,4479,7338950
2019-11-30,2019-11-30,50110253,6869,15380950
2019-12-31,2019-12-31,50110253,13387,40070100
2020-01-31,2020-01-31,50110253,18289,58435300
2020-02-29,2020-02-29,50110253,19199,58395800
2020-03-31,2020-03-31,50110253,23171,66494950
2020-04-30,2020-04-30,50110253,23199,66115500
2020-05-31,2020-05-31,50110253,29041,80917650
2020-06-30,2020-06-30,50110253,30249,78356550
2020-07-31,2020-07-31,50110253,40444,104291450
2020-08-31,2020-08-31,50110253,43067,112411340
2020-09-30,2020-09-30,50110253,37419,84883500
2020-10-31,2020-10-31,50110253,36791,87842750
2020-11-30,2020-11-30,50110253,34200,89782750
2020-12-31,2020-12-31,50110253,33615,88980300
2021-01-31,2021-01-31,50110253,32503,84554750
2021-02-28,2021-02-28,50110253,30567,81911700
2021-03-31,2021-03-31,50110253,33859,90262150
2021-04-30,2021-04-30,50110253,35383,91456441
2021-05-31,2021-05-31,50110253,41080,103211100
2021-06-30,2021-06-30,50110253,42490,103756400
2019-11-30,2019-11-30,50110256,593,2720350
2019-12-31,2019-12-31,50110256,2942,11540750
2020-01-31,2020-01-31,50110256,5800,21059800
2020-02-29,2020-02-29,50110256,6097,19992650
2020-03-31,2020-03-31,50110256,7258,22170750
2020-04-30,2020-04-30,50110256,7488,21849950
2020-05-31,2020-05-31,50110256,9516,27501450
2020-06-30,2020-06-30,50110256,9180,25651800
2020-07-31,2020-07-31,50110256,13077,37079550
2020-08-31,2020-08-31,50110256,14184,41169850
2020-09-30,2020-09-30,50110256,11770,31084150
2020-10-31,2020-10-31,50110256,11513,31478700
2020-11-30,2020-11-30,50110256,10253,30118550
2020-12-31,2020-12-31,50110256,9802,26978450
2021-01-31,2021-01-31,50110256,9025,25143650
2021-02-28,2021-02-28,50110256,8833,26678900
2021-03-31,2021-03-31,50110256,10269,30919350
2021-04-30,2021-04-30,50110256,11197,33131350
2021-05-31,2021-05-31,50110256,12014,34451200
2021-06-30,2021-06-30,50110256,14031,37807150
2019-11-30,2019-11-30,50110259,1024,3136800
2019-12-31,2019-12-31,50110259,5650,19805800
2020-01-31,2020-01-31,50110259,10538,33574800
2020-02-29,2020-02-29,50110259,11046,33456300
2020-03-31,2020-03-31,50110259,14303,41512450
2020-04-30,2020-04-30,50110259,14120,38425250
2020-05-31,2020-05-31,50110259,17139,47353700
2020-06-30,2020-06-30,50110259,20172,51258650
2020-07-31,2020-07-31,50110259,27477,69350400
2020-08-31,2020-08-31,50110259,29281,77823096
2020-09-30,2020-09-30,50110259,24718,55652450
2020-10-31,2020-10-31,50110259,23921,54787850
2020-11-30,2020-11-30,50110259,21115,51482850
2020-12-31,2020-12-31,50110259,21164,52436150
2021-01-31,2021-01-31,50110259,21511,53697250
2021-02-28,2021-02-28,50110259,20543,52488300
2021-03-31,2021-03-31,50110259,23945,59529200
2021-04-30,2021-04-30,50110259,24691,58934750
2021-05-31,2021-05-31,50110259,24836,58813300
2021-06-30,2021-06-30,50110259,27732,63927750
2019-11-30,2019-11-30,50110310,238,877750
2019-12-31,2019-12-31,50110310,1189,3832350
2020-01-31,2020-01-31,50110310,2855,11322700
2020-02-29,2020-02-29,50110310,3101,11589200
2020-03-31,2020-03-31,50110310,3932,14581450
2020-04-30,2020-04-30,50110310,4181,14346100
2020-05-31,2020-05-31,50110310,5304,18264400
2020-06-30,2020-06-30,50110310,5109,17065400
2020-07-31,2020-07-31,50110310,6792,22484050
2020-08-31,2020-08-31,50110310,7621,26330500
2020-09-30,2020-09-30,50110310,6262,19161200
2020-10-31,2020-10-31,50110310,6217,18672150
2020-11-30,2020-11-30,50110310,5719,19279000
2020-12-31,2020-12-31,50110310,5476,18862000
2021-01-31,2021-01-31,50110310,5111,17767250
2021-02-28,2021-02-28,50110310,4975,17276700
2021-03-31,2021-03-31,50110310,5727,21007400
2021-04-30,2021-04-30,50110310,6147,22908150
2021-05-31,2021-05-31,50110310,7625,26927600
2021-06-30,2021-06-30,50110310,8031,27060150
2018-01-31,2018-01-31,50110510,5813,21302450
2018-02-28,2018-02-28,50110510,5367,18945550
2018-03-31,2018-03-31,50110510,6370,21493900
2018-04-30,2018-04-30,50110510,6222,19784300
2018-05-31,2018-05-31,50110510,6722,19538650
2018-06-30,2018-06-30,50110510,7071,19577700
2018-07-31,2018-07-31,50110510,8061,20983850
2018-08-31,2018-08-31,50110510,7687,20246750
2018-09-30,2018-09-30,50110510,7476,20998100
2018-10-31,2018-10-31,50110510,6957,20229300
2018-11-30,2018-11-30,50110510,6562,20483900
2018-12-31,2018-12-31,50110510,6294,21310550
2019-01-31,2019-01-31,50110510,6072,21091100
