base_date,emd_cd,resd_pop_cnt,work_pop_cnt,visit_pop_cnt
2018-01-31,2018-01-31,50110250,12629694.936800031,995808.8671999999,6213497.371300042
2018-02-28,2018-02-28,50110250,11448916.67009993,781873.6262000002,4797251.258999998
2018-03-31,2018-03-31,50110250,12252431.945400001,892049.802699996,6722970.972099967
2018-04-30,2018-04-30,50110250,11991837.173699982,1298545.1142000007,7199804.139399986
2018-05-31,2018-05-31,50110250,12319789.939899966,1367298.5862000044,7549483.366399962
2018-06-30,2018-06-30,50110250,12173473.870899955,1312016.9902999997,7224625.897400038
2018-07-31,2018-07-31,50110250,12659507.37569999,1325367.298299998,7886415.9933
2018-08-31,2018-08-31,50110250,12893726.524400003,1197031.415899999,8614311.997299958
2018-09-30,2018-09-30,50110250,12346319.56439995,1083291.8555000024,6806849.709500018
2018-10-31,2018-10-31,50110250,12703046.597599944,1277550.5189999933,6839601.694300055
2018-11-30,2018-11-30,50110250,12323043.955700042,1304224.6806000036,5619781.760999991
2018-12-31,2018-12-31,50110250,12845628.603599979,1254581.4287000047,5327191.231900008
2019-01-31,2019-01-31,50110250,12932204.338200036,1024441.7743000031,6143925.800300006
2019-02-28,2019-02-28,50110250,11822085.487199998,930538.3450000035,5691827.813099968
2019-03-31,2019-03-31,50110250,12923386.305700015,976721.3366000012,6709998.087700021
2019-04-30,2019-04-30,50110250,12489111.551200008,1397760.8176999881,6742270.464800016
2019-05-31,2019-05-31,50110250,12830684.218300033,1493383.0708000017,7394977.864599992
2019-06-30,2019-06-30,50110250,12472710.095499974,1490417.2649999943,6744524.161600003
2019-07-31,2019-07-31,50110250,13268276.648399945,1376743.7631000085,7560490.777700003
2019-08-31,2019-08-31,50110250,13454782.024699943,1240783.8197999962,8502420.321500022
2019-09-30,2019-09-30,50110250,12776667.395400004,1237457.1013999921,6099798.821799996
2019-10-31,2019-10-31,50110250,13078431.175999995,1375604.8990999956,6976407.428400052
2019-11-30,2019-11-30,50110250,12712673.232100055,1446387.3789000064,5875400.559200003
2019-12-31,2019-12-31,50110250,13285137.758699944,1231724.6735000033,5683448.031199985
2020-01-31,2020-01-31,50110250,13221479.155400047,1009433.5424000075,6466703.1366000585
2020-02-29,2020-02-29,50110250,12695281.900800016,926849.7953999965,4635127.717000011
2020-03-31,2020-03-31,50110250,13897775.646000009,960657.7571,5133710.772699998
2020-04-30,2020-04-30,50110250,13557538.09179992,925071.2436000045,4759679.4902
2020-05-31,2020-05-31,50110250,13730868.170200013,978966.8142999936,5797619.437799969
2020-06-30,2020-06-30,50110250,13285980.55609991,1092989.0634999962,6528136.225499981
2020-07-31,2020-07-31,50110250,13933415.042300012,1596851.6016,6504128.990600053
2020-08-31,2020-08-31,50110250,14005279.95210002,1384508.1960999991,8185212.279900009
2020-09-30,2020-09-30,50110250,13768273.12080001,1180275.909399999,5833850.085500014
2020-10-31,2020-10-31,50110250,14043833.062100012,1337428.5705000025,6809602.877000002
2020-11-30,2020-11-30,50110250,14090659.01949999,1509348.920400001,6483898.008400027
2020-12-31,2020-12-31,50110250,14933646.333900003,1416436.9913000066,5116566.970899995
2021-01-31,2021-01-31,50110250,15413352.545199951,1119066.550200001,5076136.379399999
2021-02-28,2021-02-28,50110250,13760000.35689999,889701.6107000002,5757069.720099973
2021-03-31,2021-03-31,50110250,14593807.916400002,1159593.7713000102,6680480.455199963
2021-04-30,2021-04-30,50110250,14244967.732899986,1628287.6488000029,7153214.541300032
2021-05-31,2021-05-31,50110250,14761005.01429992,1352020.1941000076,7684896.769199991
2021-06-30,2021-06-30,50110250,14411432.72400001,1352329.536999993,7898939.533399998
2018-01-31,2018-01-31,50110253,22217702.05319998,2128192.0507999966,14889536.125399953
2018-02-28,2018-02-28,50110253,20215473.466999955,1632005.7376000066,12563803.082200103
2018-03-31,2018-03-31,50110253,21825475.247200023,1939301.2300999986,15911127.98620002
2018-04-30,2018-04-30,50110253,21395024.79370003,2449326.6279000095,15466354.555699851
2018-05-31,2018-05-31,50110253,21758167.62070006,2493934.559499984,15715839.449300006
2018-06-30,2018-06-30,50110253,21106768.59719998,2272596.390000002,15642855.341800043
2018-07-31,2018-07-31,50110253,21546769.34740005,2302680.7047000006,16904350.89490006
