base_date,emd_cd,pop_cnt
2018-01-31,2018-01-31,50110250,427986.3363000001
2018-02-28,2018-02-28,50110250,427240.81190000055
2018-03-31,2018-03-31,50110250,513638.26309999975
2018-04-30,2018-04-30,50110250,474601.35099999997
2018-05-31,2018-05-31,50110250,395262.5482999994
2018-06-30,2018-06-30,50110250,442089.27989999973
2018-07-31,2018-07-31,50110250,515032.962499999
2018-08-31,2018-08-31,50110250,630295.3224000003
2018-09-30,2018-09-30,50110250,512443.3141999973
2018-10-31,2018-10-31,50110250,464248.3419000005
2018-11-30,2018-11-30,50110250,407083.68880000093
2018-12-31,2018-12-31,50110250,543321.1395000027
2019-01-31,2019-01-31,50110250,638746.3327999971
2019-02-28,2019-02-28,50110250,567936.0291999988
2019-03-31,2019-03-31,50110250,710199.6022000031
2019-04-30,2019-04-30,50110250,559031.6529000014
2019-05-31,2019-05-31,50110250,586962.174499992
2019-06-30,2019-06-30,50110250,506628.5974999983
2019-07-31,2019-07-31,50110250,574927.0618000004
2019-08-31,2019-08-31,50110250,640747.4311000044
2019-09-30,2019-09-30,50110250,564068.2222999961
2019-10-31,2019-10-31,50110250,555618.8032999976
2019-11-30,2019-11-30,50110250,469689.3527000047
2019-12-31,2019-12-31,50110250,482920.2385000009
2020-01-31,2020-01-31,50110250,587299.9639999889
2020-02-29,2020-02-29,50110250,559439.3958999953
2020-03-31,2020-03-31,50110250,714445.0812000015
2020-04-30,2020-04-30,50110250,638421.4187999759
2020-05-31,2020-05-31,50110250,528744.9597999973
2020-06-30,2020-06-30,50110250,615636.9501000021
2020-07-31,2020-07-31,50110250,544030.6248000024
2020-08-31,2020-08-31,50110250,491175.64710000216
2020-09-30,2020-09-30,50110250,518727.7307000081
2020-10-31,2020-10-31,50110250,477503.1112999992
2020-11-30,2020-11-30,50110250,355385.3711000007
2020-12-31,2020-12-31,50110250,381481.43640000233
2021-01-31,2021-01-31,50110250,424998.19830000575
2021-02-28,2021-02-28,50110250,405548.96689999546
2021-03-31,2021-03-31,50110250,395482.89710000076
2021-04-30,2021-04-30,50110250,467198.17509999935
2021-05-31,2021-05-31,50110250,397223.99379998236
2021-06-30,2021-06-30,50110250,439635.12270000397
2018-01-31,2018-01-31,50110253,642428.1301000031
2018-02-28,2018-02-28,50110253,491314.084800001
2018-03-31,2018-03-31,50110253,761829.8145000066
2018-04-30,2018-04-30,50110253,621701.6635999947
2018-05-31,2018-05-31,50110253,436955.7868999987
2018-06-30,2018-06-30,50110253,603262.3940000003
2018-07-31,2018-07-31,50110253,502341.6578999978
2018-08-31,2018-08-31,50110253,775821.1942000011
2018-09-30,2018-09-30,50110253,722199.6980000003
2018-10-31,2018-10-31,50110253,695173.1155000019
2018-11-30,2018-11-30,50110253,723226.6691999977
2018-12-31,2018-12-31,50110253,717161.6293000048
2019-01-31,2019-01-31,50110253,1039633.4978000034
2019-02-28,2019-02-28,50110253,644682.389699995
2019-03-31,2019-03-31,50110253,1080012.869600011
2019-04-30,2019-04-30,50110253,835183.5734000074
2019-05-31,2019-05-31,50110253,705000.2957999917
2019-06-30,2019-06-30,50110253,714283.4467000029
2019-07-31,2019-07-31,50110253,621477.8210999985
2019-08-31,2019-08-31,50110253,888207.2846000039
2019-09-30,2019-09-30,50110253,735399.3741999988
2019-10-31,2019-10-31,50110253,915247.5747000038
2019-11-30,2019-11-30,50110253,896469.6837999956
2019-12-31,2019-12-31,50110253,1099294.6942999945
2020-01-31,2020-01-31,50110253,981873.5228999751
2020-02-29,2020-02-29,50110253,1028809.9897999793
2020-03-31,2020-03-31,50110253,890920.1164999952
2020-04-30,2020-04-30,50110253,894740.2937999812
2020-05-31,2020-05-31,50110253,663761.7002000001
2020-06-30,2020-06-30,50110253,587130.7965000019
2020-07-31,2020-07-31,50110253,665767.4620000084
2020-08-31,2020-08-31,50110253,754374.5855000078
2020-09-30,2020-09-30,50110253,847236.9603999745
2020-10-31,2020-10-31,50110253,854049.8284999814
2020-11-30,2020-11-30,50110253,969022.5302999894
2020-12-31,2020-12-31,50110253,925547.4894999443
2021-01-31,2021-01-31,50110253,918064.8631999574
2021-02-28,2021-02-28,50110253,685911.2610999974
2021-03-31,2021-03-31,50110253,1038959.7984999946
2021-04-30,2021-04-30,50110253,798706.5569999972
2021-05-31,2021-05-31,50110253,802335.6318000234
2021-06-30,2021-06-30,50110253,682226.4323999784
2018-01-31,2018-01-31,50110256,167608.48709999985
2018-02-28,2018-02-28,50110256,119755.7205999998
2018-03-31,2018-03-31,50110256,161688.8548000006
2018-04-30,2018-04-30,50110256,164314.28139999957
2018-05-31,2018-05-31,50110256,143276.71659999978
2018-06-30,2018-06-30,50110256,168584.78500000064
2018-07-31,2018-07-31,50110256,236498.04879999903
2018-08-31,2018-08-31,50110256,214980.468999999
2018-09-30,2018-09-30,50110256,229543.08580000047
2018-10-31,2018-10-31,50110256,167511.5855000007
2018-11-30,2018-11-30,50110256,141432.5025
2018-12-31,2018-12-31,50110256,136955.27989999964
2019-01-31,2019-01-31,50110256,177576.38449999908
2019-02-28,2019-02-28,50110256,154489.04979999972
2019-03-31,2019-03-31,50110256,257777.56570000065
2019-04-30,2019-04-30,50110256,203492.87049999952
2019-05-31,2019-05-31,50110256,206696.16620000004
2019-06-30,2019-06-30,50110256,196114.89830000058
2019-07-31,2019-07-31,50110256,213275.0222999994
2019-08-31,2019-08-31,50110256,306036.8782999996
2019-09-30,2019-09-30,50110256,175082.7547000003
2019-10-31,2019-10-31,50110256,179536.14840000062
2019-11-30,2019-11-30,50110256,161446.41400000028
2019-12-31,2019-12-31,50110256,189694.8902000003
2020-01-31,2020-01-31,50110256,162249.9290000058
2020-02-29,2020-02-29,50110256,147579.04250000496
2020-03-31,2020-03-31,50110256,169628.81629999896
2020-04-30,2020-04-30,50110256,153548.1563000041
2020-05-31,2020-05-31,50110256,170650.15389999995
2020-06-30,2020-06-30,50110256,168121.2906999992
2020-07-31,2020-07-31,50110256,256290.0791999982
2020-08-31,2020-08-31,50110256,237193.67240000126
2020-09-30,2020-09-30,50110256,141697.7906000018
2020-10-31,2020-10-31,50110256,120491.08380000126
2020-11-30,2020-11-30,50110256,123173.31450000024
2020-12-31,2020-12-31,50110256,142154.87820000484
2021-01-31,2021-01-31,50110256,130409.31370000223
2021-02-28,2021-02-28,50110256,134606.14580000011
2021-03-31,2021-03-31,50110256,160872.28869999963
2021-04-30,2021-04-30,50110256,133546.0677000003
2021-05-31,2021-05-31,50110256,161006.2604000033
2021-06-30,2021-06-30,50110256,165849.39490000173
2018-01-31,2018-01-31,50110259,182811.94519999984
2018-02-28,2018-02-28,50110259,158139.2143000001
2018-03-31,2018-03-31,50110259,192403.62040000033
2018-04-30,2018-04-30,50110259,182853.46099999978
2018-05-31,2018-05-31,50110259,184170.8338000002
2018-06-30,2018-06-30,50110259,190689.8316000008
2018-07-31,2018-07-31,50110259,249579.7007000014
2018-08-31,2018-08-31,50110259,258714.99360000007
2018-09-30,2018-09-30,50110259,241980.44429999954
2018-10-31,2018-10-31,50110259,203969.10020000002
