base_date,emd_cd,resd_pop_cnt,work_pop_cnt,visit_pop_cnt
2018-01-31,2018-01-31,50110250,1019369.8435999999,112924.65150000004,315061.68480000005
2018-02-28,2018-02-28,50110250,936809.5899000018,106187.40970000016,321053.4022000004
2018-03-31,2018-03-31,50110250,997788.8782999972,107030.7231999998,406607.5399
2018-04-30,2018-04-30,50110250,907842.001700009,110573.14689999986,364028.2041000001
2018-05-31,2018-05-31,50110250,823709.4041000011,88514.9394000001,306747.6088999993
2018-06-30,2018-06-30,50110250,812905.6650000064,107777.9888,334311.29109999974
2018-07-31,2018-07-31,50110250,849600.268600004,100668.52030000024,414364.44219999877
2018-08-31,2018-08-31,50110250,907447.6186000061,127970.58489999991,502324.73750000034
2018-09-30,2018-09-30,50110250,950913.976499994,106898.94360000028,405544.370599997
2018-10-31,2018-10-31,50110250,952231.6904999898,140088.70789999998,324159.63400000054
2018-11-30,2018-11-30,50110250,875491.1985000023,99496.69980000022,307586.9890000007
2018-12-31,2018-12-31,50110250,910941.7197999989,136618.98090000008,406702.15860000264
2019-01-31,2019-01-31,50110250,898218.0634999955,134577.46270000024,504168.87009999686
2019-02-28,2019-02-28,50110250,872982.4980999962,129847.22600000032,438088.80319999857
2019-03-31,2019-03-31,50110250,868250.928300007,124715.24960000097,585484.3526000022
2019-04-30,2019-04-30,50110250,742828.7511000024,97248.11519999981,461783.53770000156
2019-05-31,2019-05-31,50110250,708402.6159999969,87801.38169999985,499160.7927999922
2019-06-30,2019-06-30,50110250,739371.7078999988,77704.05789999972,428924.53959999856
2019-07-31,2019-07-31,50110250,792759.5850000032,89502.90890000042,485424.1529
2019-08-31,2019-08-31,50110250,808402.9808000032,83607.74650000026,557139.6846000041
2019-09-30,2019-09-30,50110250,790948.5235999979,91725.20000000024,472343.02229999576
2019-10-31,2019-10-31,50110250,826615.8378000003,82134.5905000002,473484.21279999736
2019-11-30,2019-11-30,50110250,811872.3299999991,95124.99870000014,374564.3540000046
2019-12-31,2019-12-31,50110250,786204.8680999983,76167.61250000028,406752.62600000063
2020-01-31,2020-01-31,50110250,820791.3342000108,105162.41349999914,482137.5504999897
2020-02-29,2020-02-29,50110250,778132.5490999972,90134.7711000019,469304.6247999934
2020-03-31,2020-03-31,50110250,841049.355400014,103988.5098000018,610456.5713999998
2020-04-30,2020-04-30,50110250,873151.5965000085,89592.99430000049,548828.4244999754
2020-05-31,2020-05-31,50110250,764777.4916999968,72268.75210000019,456476.20769999706
2020-06-30,2020-06-30,50110250,716327.0910000055,44648.19829999987,570988.7518000022
2020-07-31,2020-07-31,50110250,829599.884700002,84106.42329999997,459924.2015000025
2020-08-31,2020-08-31,50110250,809781.6624000034,56516.064300000115,434659.582800002
2020-09-30,2020-09-30,50110250,841203.166100012,76758.89820000109,441968.832500007
2020-10-31,2020-10-31,50110250,854249.2334000223,88039.56190000034,389463.54939999885
2020-11-30,2020-11-30,50110250,865639.6804000023,84863.97000000006,270521.40110000066
2020-12-31,2020-12-31,50110250,831856.8038999705,64362.96510000044,317118.4713000019
2021-01-31,2021-01-31,50110250,929524.5295000338,76725.52529999863,348272.6730000071
2021-02-28,2021-02-28,50110250,860726.1237999938,44200.83800000023,361348.12889999524
2021-03-31,2021-03-31,50110250,857518.4038000025,47485.398500000134,347997.49860000063
2021-04-30,2021-04-30,50110250,809717.1199999972,61954.40539999964,405243.7696999997
2021-05-31,2021-05-31,50110250,817491.8291000543,41501.96689999939,355722.02689998294
2021-06-30,2021-06-30,50110250,796877.1848999906,50240.11780000006,389395.0049000039
2018-01-31,2018-01-31,50110253,766577.0782000016,97444.12019999979,544984.0099000033
2018-02-28,2018-02-28,50110253,645109.6127999956,72165.68859999978,419148.39620000124
2018-03-31,2018-03-31,50110253,647165.7353999993,55936.26120000034,705893.5533000063
2018-04-30,2018-04-30,50110253,701039.2373000049,78770.97399999968,542930.689599995
2018-05-31,2018-05-31,50110253,679982.5453999899,62467.13769999998,374488.64919999876
2018-06-30,2018-06-30,50110253,659506.3070000041,74490.19929999979,528772.1947000006
2018-07-31,2018-07-31,50110253,696789.9247000006,58242.81669999995,444098.8411999978
2018-08-31,2018-08-31,50110253,659448.0573999982,89284.58069999963,686536.6135000015
2018-09-30,2018-09-30,50110253,723043.5260999929,78458.1812999999,643741.5167000004
2018-10-31,2018-10-31,50110253,752249.1716000013,86365.09820000008,608808.0173000018
2018-11-30,2018-11-30,50110253,824452.1791000003,76175.74579999967,647050.923399998
2018-12-31,2018-12-31,50110253,822827.9532000005,99721.17810000025,617440.4512000046
2019-01-31,2019-01-31,50110253,793190.0918000031,96856.70789999995,942776.7899000035
2019-02-28,2019-02-28,50110253,631317.9228999966,65977.87550000014,578704.514199995
2019-03-31,2019-03-31,50110253,676384.921900004,92758.17450000042,987254.6951000107
2019-04-30,2019-04-30,50110253,671100.1928000029,97363.65900000079,737819.9144000066
2019-05-31,2019-05-31,50110253,719430.5996000005,66945.56420000027,638054.7315999914
2019-06-30,2019-06-30,50110253,715023.500100003,41525.224900000256,672758.2218000026
2019-07-31,2019-07-31,50110253,741511.6756999966,45322.370500000034,576155.4505999985
2019-08-31,2019-08-31,50110253,664264.4148000062,52220.382899999975,835986.9017000039
2019-09-30,2019-09-30,50110253,632820.9827999972,74313.10900000016,661086.2651999986
2019-10-31,2019-10-31,50110253,631634.7630000009,78778.04170000095,836469.5330000028
2019-11-30,2019-11-30,50110253,689851.9247000002,90915.26569999999,805554.4180999956
2019-12-31,2019-12-31,50110253,717572.2533999968,86608.60689999988,1012686.0873999947
2020-01-31,2020-01-31,50110253,691870.6331000155,107269.5726000003,874603.9502999748
2020-02-29,2020-02-29,50110253,673044.2363000261,106848.23440000034,921961.755399979
2020-03-31,2020-03-31,50110253,772163.8032000203,114830.78410000287,776089.3323999924
2020-04-30,2020-04-30,50110253,742920.1387000328,117763.62720000709,776976.6665999742
2020-05-31,2020-05-31,50110253,605678.6042000073,68285.08420000022,595476.6159999999
2020-06-30,2020-06-30,50110253,509763.4698000022,59478.023300000015,527652.7732000019
2020-07-31,2020-07-31,50110253,525251.8586000007,41188.12680000007,624579.3352000084
2020-08-31,2020-08-31,50110253,570288.9758000044,56206.003600000266,698168.5819000076
2020-09-30,2020-09-30,50110253,561875.3393999912,69284.1913000002,777952.7690999743
2020-10-31,2020-10-31,50110253,577641.8989999929,76927.79810000178,777122.0303999797
2020-11-30,2020-11-30,50110253,607501.7549000009,87164.51430000013,881858.0159999892
2020-12-31,2020-12-31,50110253,687106.2356999734,72277.79750000074,853269.6919999436
2021-01-31,2021-01-31,50110253,707869.1526000121,90399.09020000143,827665.772999956
2021-02-28,2021-02-28,50110253,629729.2512000074,84076.11150000065,601835.1495999967
2021-03-31,2021-03-31,50110253,669095.9055000036,74564.20899999996,964395.5894999946
2021-04-30,2021-04-30,50110253,703249.144500005,114752.06679999981,683954.4901999974
2021-05-31,2021-05-31,50110253,670429.0838000206,88169.47949999933,714166.152300024
2021-06-30,2021-06-30,50110253,621337.5025999887,71080.80679999922,611145.6255999792
2018-01-31,2018-01-31,50110256,221369.38380000085,34858.67140000015,132749.81569999972
2018-02-28,2018-02-28,50110256,228365.60119999867,35138.64489999996,84617.07569999984
2018-03-31,2018-03-31,50110256,235754.94390000115,28406.4917,133282.3631000006
2018-04-30,2018-04-30,50110256,207884.72160000028,29864.92879999997,134449.3525999996
2018-05-31,2018-05-31,50110256,232446.03849999967,27687.9947,115588.72189999977
2018-06-30,2018-06-30,50110256,238209.15229999844,32119.73770000014,136465.0473000005
2018-07-31,2018-07-31,50110256,261652.70449999947,25999.032199999987,210499.01659999904
2018-08-31,2018-08-31,50110256,295911.28620000056,36854.83659999996,178125.63239999904
2018-09-30,2018-09-30,50110256,272423.23430000077,35047.139599999966,194495.9462000005
2018-10-31,2018-10-31,50110256,327345.0820999993,41429.52009999993,126082.06540000079
2018-11-30,2018-11-30,50110256,319899.913900002,25198.654399999938,116233.84810000008
2018-12-31,2018-12-31,50110256,310413.7333999982,30095.920999999984,106859.35889999966
2019-01-31,2019-01-31,50110256,269939.4001000012,28651.905299999962,148924.47919999913
2019-02-28,2019-02-28,50110256,264044.9097999986,31249.93680000002,123239.11299999969
2019-03-31,2019-03-31,50110256,249907.56849999927,39456.816899999925,218320.74880000073
2019-04-30,2019-04-30,50110256,243430.83599999902,43420.218999999975,160072.65149999954
2019-05-31,2019-05-31,50110256,287722.04639999924,30580.798000000043,176115.3682
2019-06-30,2019-06-30,50110256,312512.4527000002,17518.422000000028,178596.47630000056
2019-07-31,2019-07-31,50110256,324471.52069999947,24602.2011999999,188672.8210999995
2019-08-31,2019-08-31,50110256,306719.2508000001,27945.444600000068,278091.4336999995
2019-09-30,2019-09-30,50110256,301849.24739999854,29008.74579999994,146074.00890000036
2019-10-31,2019-10-31,50110256,292492.0487999978,24978.06289999992,154558.08550000068
2019-11-30,2019-11-30,50110256,293280.91370000027,22759.643500000002,138686.77050000028
