base_date,emd_cd,visit_pop_cnt,total_pop
0,2018-01-31,50110250,58090.59600000098,24419
1,2018-02-28,50110250,69710.8393999996,24427
2,2018-03-31,50110250,98026.63810000045,24532
3,2018-04-30,50110250,103289.7891,24606
4,2018-05-31,50110250,115255.97499999947,24715
5,2018-06-30,50110250,135786.77769999756,24768
6,2018-07-31,50110250,186016.61560000136,24789
7,2018-08-31,50110250,224510.2384999991,24885
8,2018-09-30,50110250,156305.63460000092,24913
9,2018-10-31,50110250,191003.29270000188,24933
10,2018-11-30,50110250,151597.65689999805,24983
11,2018-12-31,50110250,145598.3060000024,25003
12,2019-01-31,50110250,152325.06529999935,25028
13,2019-02-28,50110250,133151.84030000117,25026
14,2019-03-31,50110250,130637.26370000027,25025
15,2019-04-30,50110250,127514.46290000089,25061
16,2019-05-31,50110250,158323.2802999985,25109
17,2019-06-30,50110250,164321.7361999985,25117
18,2019-07-31,50110250,207632.75400000106,25075
19,2019-08-31,50110250,198998.69139999794,25113
20,2019-09-30,50110250,118452.45669999998,25084
21,2019-10-31,50110250,170692.30730000354,25110
22,2019-11-30,50110250,129161.40060000098,25149
23,2019-12-31,50110250,122124.66090000009,25080
24,2020-01-31,50110250,112758.3034000022,25076
25,2020-02-29,50110250,60252.798900000955,25021
26,2020-03-31,50110250,29661.442900000275,24942
27,2020-04-30,50110250,26899.76680000066,24898
28,2020-05-31,50110250,3158.5182000000045,24816
29,2020-06-30,50110250,3443.558899999957,24802
30,2020-07-31,50110250,4834.557300000051,24781
31,2020-08-31,50110250,5358.734000000046,24747
32,2020-09-30,50110250,4222.502299999987,24711
33,2020-10-31,50110250,1553.558799999993,24667
34,2020-11-30,50110250,2126.8682999999733,24627
35,2020-12-31,50110250,1681.4957999999908,24609
36,2021-01-31,50110250,1345.4774999999997,24616
37,2021-02-28,50110250,1379.530799999992,24571
38,2021-03-31,50110250,2876.3322999999473,24494
39,2021-04-30,50110250,1844.038800000025,24487
40,2021-05-31,50110250,1327.8782999999885,24435
41,2021-06-30,50110250,1761.807200000013,24462
42,2018-01-31,50110253,178483.41199999646,35206
43,2018-02-28,50110253,178746.20109999983,35426
44,2018-03-31,50110253,238145.94580000232,35520
45,2018-04-30,50110253,249621.91289999665,35641
46,2018-05-31,50110253,292828.1900000006,35743
47,2018-06-30,50110253,422526.0174000014,35862
48,2018-07-31,50110253,465595.51310000324,35978
49,2018-08-31,50110253,528309.2726999947,36059
50,2018-09-30,50110253,571870.0110999992,36182
51,2018-10-31,50110253,581161.9944000021,36394
52,2018-11-30,50110253,491485.1055999941,36496
53,2018-12-31,50110253,445648.0831000035,36550
54,2019-01-31,50110253,465023.4271,36646
55,2019-02-28,50110253,488870.10109999625,36744
56,2019-03-31,50110253,561388.9039000041,36849
57,2019-04-30,50110253,605716.8636999942,36902
58,2019-05-31,50110253,580525.8862000088,37019
59,2019-06-30,50110253,628504.6011000007,37116
60,2019-07-31,50110253,625662.0700000029,37119
61,2019-08-31,50110253,685914.5362999989,37127
62,2019-09-30,50110253,600771.3899999871,37194
63,2019-10-31,50110253,712349.7328999827,37247
64,2019-11-30,50110253,633132.4811999899,37299
65,2019-12-31,50110253,658145.0506999912,37345
66,2020-01-31,50110253,564525.8722999863,37310
67,2020-02-29,50110253,133738.68970000072,37446
68,2020-03-31,50110253,136194.7322000025,37433
69,2020-04-30,50110253,90465.07320000102,37444
70,2020-05-31,50110253,9523.290599999822,37551
71,2020-06-30,50110253,12520.869699999965,37646
72,2020-07-31,50110253,16157.141599999753,37740
73,2020-08-31,50110253,23282.392499999958,37847
74,2020-09-30,50110253,30376.54930000025,37788
75,2020-10-31,50110253,37342.72850000019,37787
76,2020-11-30,50110253,25939.636199999917,37831
77,2020-12-31,50110253,34312.86880000019,37898
78,2021-01-31,50110253,15045.263800000223,37904
79,2021-02-28,50110253,11231.388800000052,37956
80,2021-03-31,50110253,28620.388800000244,38015
81,2021-04-30,50110253,28652.636400000356,38080
82,2021-05-31,50110253,27273.026500000175,38197
83,2021-06-30,50110253,27754.831499999807,38298
84,2018-01-31,50110256,46564.75140000115,16126
85,2018-02-28,50110256,37196.64269999981,16163
86,2018-03-31,50110256,80636.83389999994,16148
87,2018-04-30,50110256,78623.24339999969,16158
88,2018-05-31,50110256,77166.83079999994,16204
89,2018-06-30,50110256,80320.61619999878,16261
90,2018-07-31,50110256,81814.02529999967,16316
91,2018-08-31,50110256,100694.6007999995,16285
92,2018-09-30,50110256,87390.99900000081,16296
93,2018-10-31,50110256,116079.26080000338,16286
94,2018-11-30,50110256,77588.41130000114,16274
95,2018-12-31,50110256,72022.27160000053,16283
96,2019-01-31,50110256,81056.34749999977,16184
97,2019-02-28,50110256,82434.27010000127,16239
98,2019-03-31,50110256,95425.59500000047,16225
99,2019-04-30,50110256,107314.70690000008,16289
100,2019-05-31,50110256,144463.6433999986,16306
101,2019-06-30,50110256,110985.76460000113,16311
102,2019-07-31,50110256,106635.87299999995,16311
103,2019-08-31,50110256,124166.56300000208,16331
104,2019-09-30,50110256,87315.6747000004,16323
105,2019-10-31,50110256,118181.6953000012,16274
106,2019-11-30,50110256,71072.25310000076,16214
107,2019-12-31,50110256,66745.93620000084,16232
108,2020-01-31,50110256,62958.29529999957,16203
109,2020-02-29,50110256,24419.239300000085,16202
110,2020-03-31,50110256,8923.353799999884,16139
111,2020-04-30,50110256,6556.734099999929,16051
112,2020-05-31,50110256,447.55930000000063,16066
113,2020-06-30,50110256,1260.7750999999905,16077
114,2020-07-31,50110256,1645.1137000000097,16101
115,2020-08-31,50110256,791.3201999999967,16118
116,2020-09-30,50110256,756.6694999999993,16128
117,2020-10-31,50110256,1047.427699999997,16141
118,2020-11-30,50110256,1704.3385999999698,16153
119,2020-12-31,50110256,852.1112000000018,16129
120,2021-01-31,50110256,184.01960000000037,16099
121,2021-02-28,50110256,338.9737999999974,16113
122,2021-03-31,50110256,1217.7156999999754,15985
123,2021-04-30,50110256,1150.540299999985,15991
124,2021-05-31,50110256,1338.922100000011,15963
125,2021-06-30,50110256,1146.1990000000064,15955
126,2018-01-31,50110259,46284.93120000091,23982
127,2018-02-28,50110259,43088.17260000017,24031
128,2018-03-31,50110259,69731.1881999999,24111
129,2018-04-30,50110259,111219.30319999995,24197
130,2018-05-31,50110259,97604.22459999968,24276
131,2018-06-30,50110259,113030.69259999729,24350
132,2018-07-31,50110259,178471.02850000287,24480
133,2018-08-31,50110259,234213.0329999965,24529
134,2018-09-30,50110259,157843.73300000175,24594
135,2018-10-31,50110259,194356.9994000002,24625
136,2018-11-30,50110259,139851.95129999923,24682
137,2018-12-31,50110259,110988.35600000134,24718
138,2019-01-31,50110259,131199.74909999815,24744
139,2019-02-28,50110259,108964.87680000118,24842
140,2019-03-31,50110259,126382.55230000013,24920
141,2019-04-30,50110259,181312.04140000106,24949
142,2019-05-31,50110259,223672.5716999972,24975
143,2019-06-30,50110259,256782.4653999971,25010
144,2019-07-31,50110259,247393.47290000127,25063
145,2019-08-31,50110259,303706.3977999965,25043
146,2019-09-30,50110259,174083.35180000224,25114
147,2019-10-31,50110259,217585.3907000021,25155
148,2019-11-30,50110259,130799.19839999978,25238
149,2019-12-31,50110259,154290.40520000193,25313
150,2020-01-31,50110259,145122.62300000232,25454
151,2020-02-29,50110259,37937.26540000031,25589
152,2020-03-31,50110259,17798.381000000023,25608
153,2020-04-30,50110259,12225.361099999922,25646
154,2020-05-31,50110259,1714.1487999999881,25575
155,2020-06-30,50110259,1677.3001000000068,25644
156,2020-07-31,50110259,3073.003900000034,25732
157,2020-08-31,50110259,4245.768700000006,25742
158,2020-09-30,50110259,4808.190799999997,25815
159,2020-10-31,50110259,4661.347800000021,25863
160,2020-11-30,50110259,3710.4753999999525,25903
161,2020-12-31,50110259,5811.553099999972,25905
162,2021-01-31,50110259,1741.2512000000163,25919
163,2021-02-28,50110259,1306.9415000000029,25952
164,2021-03-31,50110259,2700.6723999999867,25858
165,2021-04-30,50110259,3559.957199999979,25906
166,2021-05-31,50110259,3448.6048999999384,25950
167,2021-06-30,50110259,3476.50980000003,25960
168,2018-01-31,50110310,14496.337600000097,9269
169,2018-02-28,50110310,9869.649300000041,9276
170,2018-03-31,50110310,28177.2511000005,9307
171,2018-04-30,50110310,27559.27189999957,9337
172,2018-05-31,50110310,23580.180300000025,9406
