base_date,emd_cd,distancing
0,2018-01-31,50110250,0.0
1,2018-01-31,50110253,0.0
2,2018-01-31,50110256,0.0
3,2018-01-31,50110259,0.0
4,2018-01-31,50110310,0.0
5,2018-01-31,50110320,0.0
6,2018-01-31,50110330,0.0
7,2018-01-31,50110510,0.0
8,2018-01-31,50110520,0.0
9,2018-01-31,50110530,0.0
10,2018-01-31,50110540,0.0
11,2018-01-31,50110550,0.0
12,2018-01-31,50110560,0.0
13,2018-01-31,50110570,0.0
14,2018-01-31,50110580,0.0
15,2018-01-31,50110590,0.0
16,2018-01-31,50110600,0.0
17,2018-01-31,50110610,0.0
18,2018-01-31,50110620,0.0
19,2018-01-31,50110630,0.0
20,2018-01-31,50110640,0.0
21,2018-01-31,50110650,0.0
22,2018-01-31,50110660,0.0
23,2018-01-31,50110670,0.0
24,2018-01-31,50110680,0.0
25,2018-01-31,50110690,0.0
26,2018-01-31,50130250,0.0
27,2018-01-31,50130253,0.0
28,2018-01-31,50130259,0.0
29,2018-01-31,50130310,0.0
30,2018-01-31,50130320,0.0
31,2018-01-31,50130510,0.0
32,2018-01-31,50130520,0.0
33,2018-01-31,50130530,0.0
34,2018-01-31,50130540,0.0
35,2018-01-31,50130550,0.0
36,2018-01-31,50130560,0.0
37,2018-01-31,50130570,0.0
38,2018-01-31,50130580,0.0
39,2018-01-31,50130590,0.0
40,2018-01-31,50130600,0.0
41,2018-01-31,50130610,0.0
42,2018-01-31,50130620,0.0
43,2018-02-28,50110250,0.0
44,2018-02-28,50110253,0.0
45,2018-02-28,50110256,0.0
46,2018-02-28,50110259,0.0
47,2018-02-28,50110310,0.0
48,2018-02-28,50110320,0.0
49,2018-02-28,50110330,0.0
50,2018-02-28,50110510,0.0
51,2018-02-28,50110520,0.0
52,2018-02-28,50110530,0.0
53,2018-02-28,50110540,0.0
54,2018-02-28,50110550,0.0
55,2018-02-28,50110560,0.0
56,2018-02-28,50110570,0.0
57,2018-02-28,50110580,0.0
58,2018-02-28,50110590,0.0
59,2018-02-28,50110600,0.0
60,2018-02-28,50110610,0.0
61,2018-02-28,50110620,0.0
62,2018-02-28,50110630,0.0
63,2018-02-28,50110640,0.0
64,2018-02-28,50110650,0.0
65,2018-02-28,50110660,0.0
66,2018-02-28,50110670,0.0
67,2018-02-28,50110680,0.0
68,2018-02-28,50110690,0.0
69,2018-02-28,50130250,0.0
70,2018-02-28,50130253,0.0
71,2018-02-28,50130259,0.0
72,2018-02-28,50130310,0.0
73,2018-02-28,50130320,0.0
74,2018-02-28,50130510,0.0
75,2018-02-28,50130520,0.0
76,2018-02-28,50130530,0.0
77,2018-02-28,50130540,0.0
78,2018-02-28,50130550,0.0
79,2018-02-28,50130560,0.0
80,2018-02-28,50130570,0.0
81,2018-02-28,50130580,0.0
82,2018-02-28,50130590,0.0
83,2018-02-28,50130600,0.0
84,2018-02-28,50130610,0.0
85,2018-02-28,50130620,0.0
86,2018-03-31,50110250,0.0
87,2018-03-31,50110253,0.0
88,2018-03-31,50110256,0.0
89,2018-03-31,50110259,0.0
90,2018-03-31,50110310,0.0
91,2018-03-31,50110320,0.0
92,2018-03-31,50110330,0.0
93,2018-03-31,50110510,0.0
94,2018-03-31,50110520,0.0
95,2018-03-31,50110530,0.0
96,2018-03-31,50110540,0.0
97,2018-03-31,50110550,0.0
98,2018-03-31,50110560,0.0
99,2018-03-31,50110570,0.0
100,2018-03-31,50110580,0.0
101,2018-03-31,50110590,0.0
102,2018-03-31,50110600,0.0
103,2018-03-31,50110610,0.0
104,2018-03-31,50110620,0.0
105,2018-03-31,50110630,0.0
106,2018-03-31,50110640,0.0
107,2018-03-31,50110650,0.0
108,2018-03-31,50110660,0.0
109,2018-03-31,50110670,0.0
110,2018-03-31,50110680,0.0
111,2018-03-31,50110690,0.0
112,2018-03-31,50130250,0.0
113,2018-03-31,50130253,0.0
114,2018-03-31,50130259,0.0
115,2018-03-31,50130310,0.0
116,2018-03-31,50130320,0.0
117,2018-03-31,50130510,0.0
118,2018-03-31,50130520,0.0
119,2018-03-31,50130530,0.0
120,2018-03-31,50130540,0.0
121,2018-03-31,50130550,0.0
122,2018-03-31,50130560,0.0
123,2018-03-31,50130570,0.0
124,2018-03-31,50130580,0.0
125,2018-03-31,50130590,0.0
126,2018-03-31,50130600,0.0
127,2018-03-31,50130610,0.0
128,2018-03-31,50130620,0.0
129,2018-04-30,50110250,0.0
130,2018-04-30,50110253,0.0
131,2018-04-30,50110256,0.0
132,2018-04-30,50110259,0.0
133,2018-04-30,50110310,0.0
134,2018-04-30,50110320,0.0
135,2018-04-30,50110330,0.0
136,2018-04-30,50110510,0.0
137,2018-04-30,50110520,0.0
138,2018-04-30,50110530,0.0
139,2018-04-30,50110540,0.0
140,2018-04-30,50110550,0.0
141,2018-04-30,50110560,0.0
142,2018-04-30,50110570,0.0
143,2018-04-30,50110580,0.0
144,2018-04-30,50110590,0.0
145,2018-04-30,50110600,0.0
146,2018-04-30,50110610,0.0
147,2018-04-30,50110620,0.0
148,2018-04-30,50110630,0.0
149,2018-04-30,50110640,0.0
150,2018-04-30,50110650,0.0
151,2018-04-30,50110660,0.0
152,2018-04-30,50110670,0.0
153,2018-04-30,50110680,0.0
154,2018-04-30,50110690,0.0
155,2018-04-30,50130250,0.0
156,2018-04-30,50130253,0.0
157,2018-04-30,50130259,0.0
158,2018-04-30,50130310,0.0
159,2018-04-30,50130320,0.0
160,2018-04-30,50130510,0.0
161,2018-04-30,50130520,0.0
162,2018-04-30,50130530,0.0
163,2018-04-30,50130540,0.0
164,2018-04-30,50130550,0.0
165,2018-04-30,50130560,0.0
166,2018-04-30,50130570,0.0
167,2018-04-30,50130580,0.0
168,2018-04-30,50130590,0.0
169,2018-04-30,50130600,0.0
170,2018-04-30,50130610,0.0
171,2018-04-30,50130620,0.0
172,2018-05-31,50110250,0.0
173,2018-05-31,50110253,0.0
174,2018-05-31,50110256,0.0
175,2018-05-31,50110259,0.0
176,2018-05-31,50110310,0.0
177,2018-05-31,50110320,0.0
178,2018-05-31,50110330,0.0
179,2018-05-31,50110510,0.0
180,2018-05-31,50110520,0.0
181,2018-05-31,50110530,0.0
182,2018-05-31,50110540,0.0
183,2018-05-31,50110550,0.0
184,2018-05-31,50110560,0.0
185,2018-05-31,50110570,0.0
186,2018-05-31,50110580,0.0
187,2018-05-31,50110590,0.0
188,2018-05-31,50110600,0.0
189,2018-05-31,50110610,0.0
190,2018-05-31,50110620,0.0
191,2018-05-31,50110630,0.0
192,2018-05-31,50110640,0.0
193,2018-05-31,50110650,0.0
194,2018-05-31,50110660,0.0
195,2018-05-31,50110670,0.0
196,2018-05-31,50110680,0.0
197,2018-05-31,50110690,0.0
198,2018-05-31,50130250,0.0
199,2018-05-31,50130253,0.0
200,2018-05-31,50130259,0.0
201,2018-05-31,50130310,0.0
202,2018-05-31,50130320,0.0
203,2018-05-31,50130510,0.0
204,2018-05-31,50130520,0.0
205,2018-05-31,50130530,0.0
206,2018-05-31,50130540,0.0
207,2018-05-31,50130550,0.0
208,2018-05-31,50130560,0.0
209,2018-05-31,50130570,0.0
210,2018-05-31,50130580,0.0
211,2018-05-31,50130590,0.0
212,2018-05-31,50130600,0.0
213,2018-05-31,50130610,0.0
214,2018-05-31,50130620,0.0
215,2018-06-30,50110250,0.0
216,2018-06-30,50110253,0.0
217,2018-06-30,50110256,0.0
218,2018-06-30,50110259,0.0
219,2018-06-30,50110310,0.0
220,2018-06-30,50110320,0.0
221,2018-06-30,50110330,0.0
222,2018-06-30,50110510,0.0
223,2018-06-30,50110520,0.0
224,2018-06-30,50110530,0.0
225,2018-06-30,50110540,0.0
226,2018-06-30,50110550,0.0
227,2018-06-30,50110560,0.0
228,2018-06-30,50110570,0.0
229,2018-06-30,50110580,0.0
230,2018-06-30,50110590,0.0
231,2018-06-30,50110600,0.0
232,2018-06-30,50110610,0.0
233,2018-06-30,50110620,0.0
234,2018-06-30,50110630,0.0
235,2018-06-30,50110640,0.0
236,2018-06-30,50110650,0.0
237,2018-06-30,50110660,0.0
238,2018-06-30,50110670,0.0
239,2018-06-30,50110680,0.0
240,2018-06-30,50110690,0.0
241,2018-06-30,50130250,0.0
242,2018-06-30,50130253,0.0
243,2018-06-30,50130259,0.0
244,2018-06-30,50130310,0.0
245,2018-06-30,50130320,0.0
246,2018-06-30,50130510,0.0
247,2018-06-30,50130520,0.0
248,2018-06-30,50130530,0.0
249,2018-06-30,50130540,0.0
250,2018-06-30,50130550,0.0
251,2018-06-30,50130560,0.0
252,2018-06-30,50130570,0.0
253,2018-06-30,50130580,0.0
254,2018-06-30,50130590,0.0
255,2018-06-30,50130600,0.0
256,2018-06-30,50130610,0.0
257,2018-06-30,50130620,0.0
258,2018-07-31,50110250,0.0
259,2018-07-31,50110253,0.0
260,2018-07-31,50110256,0.0
261,2018-07-31,50110259,0.0
262,2018-07-31,50110310,0.0
263,2018-07-31,50110320,0.0
264,2018-07-31,50110330,0.0
265,2018-07-31,50110510,0.0
266,2018-07-31,50110520,0.0
267,2018-07-31,50110530,0.0
268,2018-07-31,50110540,0.0
269,2018-07-31,50110550,0.0
270,2018-07-31,50110560,0.0
271,2018-07-31,50110570,0.0
272,2018-07-31,50110580,0.0
273,2018-07-31,50110590,0.0
274,2018-07-31,50110600,0.0
275,2018-07-31,50110610,0.0
276,2018-07-31,50110620,0.0
277,2018-07-31,50110630,0.0
278,2018-07-31,50110640,0.0
279,2018-07-31,50110650,0.0
280,2018-07-31,50110660,0.0
281,2018-07-31,50110670,0.0
282,2018-07-31,50110680,0.0
283,2018-07-31,50110690,0.0
284,2018-07-31,50130250,0.0
285,2018-07-31,50130253,0.0
286,2018-07-31,50130259,0.0
287,2018-07-31,50130310,0.0
288,2018-07-31,50130320,0.0
289,2018-07-31,50130510,0.0
290,2018-07-31,50130520,0.0
291,2018-07-31,50130530,0.0
292,2018-07-31,50130540,0.0
293,2018-07-31,50130550,0.0
294,2018-07-31,50130560,0.0
295,2018-07-31,50130570,0.0
296,2018-07-31,50130580,0.0
297,2018-07-31,50130590,0.0
298,2018-07-31,50130600,0.0
299,2018-07-31,50130610,0.0
300,2018-07-31,50130620,0.0
301,2018-08-31,50110250,0.0
302,2018-08-31,50110253,0.0
303,2018-08-31,50110256,0.0
304,2018-08-31,50110259,0.0
305,2018-08-31,50110310,0.0
306,2018-08-31,50110320,0.0
307,2018-08-31,50110330,0.0
308,2018-08-31,50110510,0.0
309,2018-08-31,50110520,0.0
310,2018-08-31,50110530,0.0
311,2018-08-31,50110540,0.0
312,2018-08-31,50110550,0.0
313,2018-08-31,50110560,0.0
314,2018-08-31,50110570,0.0
315,2018-08-31,50110580,0.0
316,2018-08-31,50110590,0.0
317,2018-08-31,50110600,0.0
318,2018-08-31,50110610,0.0
319,2018-08-31,50110620,0.0
320,2018-08-31,50110630,0.0
321,2018-08-31,50110640,0.0
322,2018-08-31,50110650,0.0
323,2018-08-31,50110660,0.0
324,2018-08-31,50110670,0.0
325,2018-08-31,50110680,0.0
326,2018-08-31,50110690,0.0
327,2018-08-31,50130250,0.0
328,2018-08-31,50130253,0.0
329,2018-08-31,50130259,0.0
330,2018-08-31,50130310,0.0
331,2018-08-31,50130320,0.0
332,2018-08-31,50130510,0.0
333,2018-08-31,50130520,0.0
334,2018-08-31,50130530,0.0
335,2018-08-31,50130540,0.0
336,2018-08-31,50130550,0.0
337,2018-08-31,50130560,0.0
338,2018-08-31,50130570,0.0
339,2018-08-31,50130580,0.0
340,2018-08-31,50130590,0.0
341,2018-08-31,50130600,0.0
342,2018-08-31,50130610,0.0
343,2018-08-31,50130620,0.0
344,2018-09-30,50110250,0.0
345,2018-09-30,50110253,0.0
346,2018-09-30,50110256,0.0
347,2018-09-30,50110259,0.0
348,2018-09-30,50110310,0.0
