base_date,emd_cd,detached,apt,town,multiplex,commercial_building
0,2018-01-31,50110250,59279,56760,17641,27893,3647
1,2018-01-31,50110253,59279,56760,17641,27893,3647
2,2018-01-31,50110256,59279,56760,17641,27893,3647
3,2018-01-31,50110259,59279,56760,17641,27893,3647
4,2018-01-31,50110310,59279,56760,17641,27893,3647
5,2018-01-31,50110320,59279,56760,17641,27893,3647
6,2018-01-31,50110330,59279,56760,17641,27893,3647
7,2018-01-31,50110510,59279,56760,17641,27893,3647
8,2018-01-31,50110520,59279,56760,17641,27893,3647
9,2018-01-31,50110530,59279,56760,17641,27893,3647
10,2018-01-31,50110540,59279,56760,17641,27893,3647
11,2018-01-31,50110550,59279,56760,17641,27893,3647
12,2018-01-31,50110560,59279,56760,17641,27893,3647
13,2018-01-31,50110570,59279,56760,17641,27893,3647
14,2018-01-31,50110580,59279,56760,17641,27893,3647
15,2018-01-31,50110590,59279,56760,17641,27893,3647
16,2018-01-31,50110600,59279,56760,17641,27893,3647
17,2018-01-31,50110610,59279,56760,17641,27893,3647
18,2018-01-31,50110620,59279,56760,17641,27893,3647
19,2018-01-31,50110630,59279,56760,17641,27893,3647
20,2018-01-31,50110640,59279,56760,17641,27893,3647
21,2018-01-31,50110650,59279,56760,17641,27893,3647
22,2018-01-31,50110660,59279,56760,17641,27893,3647
23,2018-01-31,50110670,59279,56760,17641,27893,3647
24,2018-01-31,50110680,59279,56760,17641,27893,3647
25,2018-01-31,50110690,59279,56760,17641,27893,3647
26,2018-01-31,50130250,33440,17439,9305,5947,1717
27,2018-01-31,50130253,33440,17439,9305,5947,1717
28,2018-01-31,50130259,33440,17439,9305,5947,1717
29,2018-01-31,50130310,33440,17439,9305,5947,1717
30,2018-01-31,50130320,33440,17439,9305,5947,1717
31,2018-01-31,50130510,33440,17439,9305,5947,1717
32,2018-01-31,50130520,33440,17439,9305,5947,1717
33,2018-01-31,50130530,33440,17439,9305,5947,1717
34,2018-01-31,50130540,33440,17439,9305,5947,1717
35,2018-01-31,50130550,33440,17439,9305,5947,1717
36,2018-01-31,50130560,33440,17439,9305,5947,1717
37,2018-01-31,50130570,33440,17439,9305,5947,1717
38,2018-01-31,50130580,33440,17439,9305,5947,1717
39,2018-01-31,50130590,33440,17439,9305,5947,1717
40,2018-01-31,50130600,33440,17439,9305,5947,1717
41,2018-01-31,50130610,33440,17439,9305,5947,1717
42,2018-01-31,50130620,33440,17439,9305,5947,1717
43,2018-02-28,50110250,59279,56760,17641,27893,3647
44,2018-02-28,50110253,59279,56760,17641,27893,3647
45,2018-02-28,50110256,59279,56760,17641,27893,3647
46,2018-02-28,50110259,59279,56760,17641,27893,3647
47,2018-02-28,50110310,59279,56760,17641,27893,3647
48,2018-02-28,50110320,59279,56760,17641,27893,3647
49,2018-02-28,50110330,59279,56760,17641,27893,3647
50,2018-02-28,50110510,59279,56760,17641,27893,3647
51,2018-02-28,50110520,59279,56760,17641,27893,3647
52,2018-02-28,50110530,59279,56760,17641,27893,3647
53,2018-02-28,50110540,59279,56760,17641,27893,3647
54,2018-02-28,50110550,59279,56760,17641,27893,3647
55,2018-02-28,50110560,59279,56760,17641,27893,3647
56,2018-02-28,50110570,59279,56760,17641,27893,3647
57,2018-02-28,50110580,59279,56760,17641,27893,3647
58,2018-02-28,50110590,59279,56760,17641,27893,3647
59,2018-02-28,50110600,59279,56760,17641,27893,3647
60,2018-02-28,50110610,59279,56760,17641,27893,3647
61,2018-02-28,50110620,59279,56760,17641,27893,3647
62,2018-02-28,50110630,59279,56760,17641,27893,3647
63,2018-02-28,50110640,59279,56760,17641,27893,3647
64,2018-02-28,50110650,59279,56760,17641,27893,3647
65,2018-02-28,50110660,59279,56760,17641,27893,3647
66,2018-02-28,50110670,59279,56760,17641,27893,3647
67,2018-02-28,50110680,59279,56760,17641,27893,3647
68,2018-02-28,50110690,59279,56760,17641,27893,3647
69,2018-02-28,50130250,33440,17439,9305,5947,1717
70,2018-02-28,50130253,33440,17439,9305,5947,1717
71,2018-02-28,50130259,33440,17439,9305,5947,1717
72,2018-02-28,50130310,33440,17439,9305,5947,1717
73,2018-02-28,50130320,33440,17439,9305,5947,1717
74,2018-02-28,50130510,33440,17439,9305,5947,1717
75,2018-02-28,50130520,33440,17439,9305,5947,1717
76,2018-02-28,50130530,33440,17439,9305,5947,1717
77,2018-02-28,50130540,33440,17439,9305,5947,1717
78,2018-02-28,50130550,33440,17439,9305,5947,1717
79,2018-02-28,50130560,33440,17439,9305,5947,1717
80,2018-02-28,50130570,33440,17439,9305,5947,1717
81,2018-02-28,50130580,33440,17439,9305,5947,1717
82,2018-02-28,50130590,33440,17439,9305,5947,1717
83,2018-02-28,50130600,33440,17439,9305,5947,1717
84,2018-02-28,50130610,33440,17439,9305,5947,1717
85,2018-02-28,50130620,33440,17439,9305,5947,1717
86,2018-03-31,50110250,59279,56760,17641,27893,3647
87,2018-03-31,50110253,59279,56760,17641,27893,3647
88,2018-03-31,50110256,59279,56760,17641,27893,3647
89,2018-03-31,50110259,59279,56760,17641,27893,3647
90,2018-03-31,50110310,59279,56760,17641,27893,3647
91,2018-03-31,50110320,59279,56760,17641,27893,3647
92,2018-03-31,50110330,59279,56760,17641,27893,3647
93,2018-03-31,50110510,59279,56760,17641,27893,3647
94,2018-03-31,50110520,59279,56760,17641,27893,3647
95,2018-03-31,50110530,59279,56760,17641,27893,3647
96,2018-03-31,50110540,59279,56760,17641,27893,3647
97,2018-03-31,50110550,59279,56760,17641,27893,3647
98,2018-03-31,50110560,59279,56760,17641,27893,3647
99,2018-03-31,50110570,59279,56760,17641,27893,3647
100,2018-03-31,50110580,59279,56760,17641,27893,3647
101,2018-03-31,50110590,59279,56760,17641,27893,3647
102,2018-03-31,50110600,59279,56760,17641,27893,3647
103,2018-03-31,50110610,59279,56760,17641,27893,3647
104,2018-03-31,50110620,59279,56760,17641,27893,3647
105,2018-03-31,50110630,59279,56760,17641,27893,3647
106,2018-03-31,50110640,59279,56760,17641,27893,3647
107,2018-03-31,50110650,59279,56760,17641,27893,3647
108,2018-03-31,50110660,59279,56760,17641,27893,3647
109,2018-03-31,50110670,59279,56760,17641,27893,3647
110,2018-03-31,50110680,59279,56760,17641,27893,3647
111,2018-03-31,50110690,59279,56760,17641,27893,3647
112,2018-03-31,50130250,33440,17439,9305,5947,1717
113,2018-03-31,50130253,33440,17439,9305,5947,1717
114,2018-03-31,50130259,33440,17439,9305,5947,1717
115,2018-03-31,50130310,33440,17439,9305,5947,1717
116,2018-03-31,50130320,33440,17439,9305,5947,1717
117,2018-03-31,50130510,33440,17439,9305,5947,1717
118,2018-03-31,50130520,33440,17439,9305,5947,1717
119,2018-03-31,50130530,33440,17439,9305,5947,1717
120,2018-03-31,50130540,33440,17439,9305,5947,1717
121,2018-03-31,50130550,33440,17439,9305,5947,1717
122,2018-03-31,50130560,33440,17439,9305,5947,1717
123,2018-03-31,50130570,33440,17439,9305,5947,1717
124,2018-03-31,50130580,33440,17439,9305,5947,1717
125,2018-03-31,50130590,33440,17439,9305,5947,1717
126,2018-03-31,50130600,33440,17439,9305,5947,1717
127,2018-03-31,50130610,33440,17439,9305,5947,1717
128,2018-03-31,50130620,33440,17439,9305,5947,1717
129,2018-04-30,50110250,59279,56760,17641,27893,3647
130,2018-04-30,50110253,59279,56760,17641,27893,3647
131,2018-04-30,50110256,59279,56760,17641,27893,3647
132,2018-04-30,50110259,59279,56760,17641,27893,3647
133,2018-04-30,50110310,59279,56760,17641,27893,3647
134,2018-04-30,50110320,59279,56760,17641,27893,3647
135,2018-04-30,50110330,59279,56760,17641,27893,3647
136,2018-04-30,50110510,59279,56760,17641,27893,3647
137,2018-04-30,50110520,59279,56760,17641,27893,3647
138,2018-04-30,50110530,59279,56760,17641,27893,3647
139,2018-04-30,50110540,59279,56760,17641,27893,3647
140,2018-04-30,50110550,59279,56760,17641,27893,3647
141,2018-04-30,50110560,59279,56760,17641,27893,3647
142,2018-04-30,50110570,59279,56760,17641,27893,3647
143,2018-04-30,50110580,59279,56760,17641,27893,3647
144,2018-04-30,50110590,59279,56760,17641,27893,3647
145,2018-04-30,50110600,59279,56760,17641,27893,3647
146,2018-04-30,50110610,59279,56760,17641,27893,3647
147,2018-04-30,50110620,59279,56760,17641,27893,3647
148,2018-04-30,50110630,59279,56760,17641,27893,3647
149,2018-04-30,50110640,59279,56760,17641,27893,3647
150,2018-04-30,50110650,59279,56760,17641,27893,3647
151,2018-04-30,50110660,59279,56760,17641,27893,3647
152,2018-04-30,50110670,59279,56760,17641,27893,3647
153,2018-04-30,50110680,59279,56760,17641,27893,3647
154,2018-04-30,50110690,59279,56760,17641,27893,3647
