base_date,emd_cd,f70_resd_pop,f70_work_pop,f70_visit_pop
2018-01-31,2018-01-31,50110250,421092.78469999984,13794.51480000002,138511.05379999988
2018-02-28,2018-02-28,50110250,396929.7787000002,8669.438600000005,119113.76690000008
2018-03-31,2018-03-31,50110250,411974.15349999984,19274.449499999984,185062.5970999999
2018-04-30,2018-04-30,50110250,420592.11609999987,19565.9848,223145.07500000022
2018-05-31,2018-05-31,50110250,441896.56909999973,25168.554799999998,186717.70690000025
2018-06-30,2018-06-30,50110250,412242.8270000006,17208.766099999993,160223.74650000007
2018-07-31,2018-07-31,50110250,415010.2364,32558.131099999988,158706.18070000008
2018-08-31,2018-08-31,50110250,416589.6716000002,27591.972499999993,143148.5829999998
2018-09-30,2018-09-30,50110250,383210.55469999986,15524.739500000014,162050.4686999999
2018-10-31,2018-10-31,50110250,398747.8265,17126.272099999973,171656.96989999976
2018-11-30,2018-11-30,50110250,415967.0566999999,15455.264799999999,135522.67599999992
2018-12-31,2018-12-31,50110250,418302.89640000055,25143.885100000047,107427.20879999992
2019-01-31,2019-01-31,50110250,419079.07779999997,15724.514799999972,128255.58289999988
2019-02-28,2019-02-28,50110250,369547.11629999947,30956.267200000006,142905.1599999999
2019-03-31,2019-03-31,50110250,426904.4253,19240.885700000003,146456.42529999992
2019-04-30,2019-04-30,50110250,407785.2783000001,8640.2074,187780.2781999999
2019-05-31,2019-05-31,50110250,414016.27389999974,18326.065400000003,182761.6639000003
2019-06-30,2019-06-30,50110250,418918.33880000014,14036.221500000001,176336.79360000015
2019-07-31,2019-07-31,50110250,457505.1003999997,14595.284999999998,138962.28070000015
2019-08-31,2019-08-31,50110250,451128.2665999999,24309.188500000022,154265.35390000016
2019-09-30,2019-09-30,50110250,441931.75309999974,18986.291399999984,156280.46250000014
2019-10-31,2019-10-31,50110250,470920.1112000006,9490.24290000001,181776.44840000008
2019-11-30,2019-11-30,50110250,442989.57300000027,13306.214200000017,146313.29759999985
2019-12-31,2019-12-31,50110250,451208.6670000007,17345.18979999998,156967.87600000002
2020-01-31,2020-01-31,50110250,477402.6485000003,11556.234600000016,120227.13319999992
2020-02-29,2020-02-29,50110250,455979.3090000005,14834.36380000002,100809.00479999992
2020-03-31,2020-03-31,50110250,546091.4466999997,14101.021300000008,100679.90749999999
2020-04-30,2020-04-30,50110250,526018.3302000001,14280.001899999994,105669.90380000004
2020-05-31,2020-05-31,50110250,513363.36879999953,17329.372000000014,133040.04629999984
2020-06-30,2020-06-30,50110250,526555.2506,18932.829599999994,126819.92970000001
2020-07-31,2020-07-31,50110250,548327.2366000002,21604.976800000022,131781.74449999994
2020-08-31,2020-08-31,50110250,569663.4645000002,28742.6015,138776.57039999988
2020-09-30,2020-09-30,50110250,546280.1825999996,15585.674999999965,119080.7713000002
2020-10-31,2020-10-31,50110250,542448.0102999995,25237.091500000002,155655.13970000026
2020-11-30,2020-11-30,50110250,544975.5366999998,14536.216499999977,160196.09819999983
2020-12-31,2020-12-31,50110250,590622.0302,35235.65369999993,116069.58789999988
2021-01-31,2021-01-31,50110250,586686.6166000002,26458.157500000005,104266.93280000029
2021-02-28,2021-02-28,50110250,534695.9962000002,15977.484800000038,115084.98100000007
2021-03-31,2021-03-31,50110250,581585.1525000001,24348.478099999982,152052.06150000016
2021-04-30,2021-04-30,50110250,555617.7890000003,32672.42269999995,156314.18640000015
2021-05-31,2021-05-31,50110250,574425.4301999996,15092.908800000003,161030.32780000003
2021-06-30,2021-06-30,50110250,560075.4786999997,18671.52519999997,153181.03249999988
2018-01-31,2018-01-31,50110253,667576.3195000008,42596.00220000003,262791.19570000045
2018-02-28,2018-02-28,50110253,606695.6116999997,27842.062499999967,223873.25410000014
2018-03-31,2018-03-31,50110253,672434.9112000001,32855.915200000025,357279.0891
2018-04-30,2018-04-30,50110253,630496.9071000002,39099.35839999997,407682.05330000015
2018-05-31,2018-05-31,50110253,653422.3677000008,49694.58939999996,365649.46320000046
2018-06-30,2018-06-30,50110253,638589.1236999996,34162.06599999999,323843.4191999998
2018-07-31,2018-07-31,50110253,621589.0254,28062.34240000001,364282.5441999999
2018-08-31,2018-08-31,50110253,685449.1561,41934.62869999998,339336.55889999977
2018-09-30,2018-09-30,50110253,623353.8542000002,38885.53229999997,310033.76019999996
2018-10-31,2018-10-31,50110253,618941.0144000005,35322.99750000005,377869.76959999977
2018-11-30,2018-11-30,50110253,633458.4256000008,30651.1913,364391.8422
2018-12-31,2018-12-31,50110253,679460.8318000007,42436.235699999954,292243.46009999997
2019-01-31,2019-01-31,50110253,676512.2482000003,43529.46089999997,293069.30989999993
2019-02-28,2019-02-28,50110253,591899.3972999994,49602.32830000003,264681.1948
2019-03-31,2019-03-31,50110253,678316.3328000002,40298.06140000002,336878.9779999999
2019-04-30,2019-04-30,50110253,651762.6138000006,27866.520099999965,372978.2117000007
2019-05-31,2019-05-31,50110253,665186.5659999996,34649.874500000034,389918.5921000008
2019-06-30,2019-06-30,50110253,673987.8595999992,35804.34329999996,328925.2997
2019-07-31,2019-07-31,50110253,721144.9861999999,28408.768399999957,338203.46970000054
2019-08-31,2019-08-31,50110253,738828.8156000001,32631.771499999977,365973.1202000002
2019-09-30,2019-09-30,50110253,732774.0491999994,24154.69250000002,307154.16240000044
2019-10-31,2019-10-31,50110253,743435.5767999996,26523.911500000024,391854.1741999995
