base_date,emd_cd,m50_resd_pop,m50_work_pop,m50_visit_pop
2018-01-31,2018-01-31,50110250,1315340.122399999,123179.67310000013,654687.1977999994
2018-02-28,2018-02-28,50110250,1180342.3246000004,117458.51890000002,502917.73610000004
2018-03-31,2018-03-31,50110250,1267003.229399997,131368.36470000012,738092.7513000002
2018-04-30,2018-04-30,50110250,1247048.0040999996,151111.47989999986,732090.4992000007
2018-05-31,2018-05-31,50110250,1258889.0037000005,145200.7935000001,688887.9738000002
2018-06-30,2018-06-30,50110250,1208215.087100001,152820.93669999996,710901.3929999992
2018-07-31,2018-07-31,50110250,1299108.2081999993,169819.93689999983,698491.2329000004
2018-08-31,2018-08-31,50110250,1318039.4549999984,173058.05260000002,773784.4519000006
2018-09-30,2018-09-30,50110250,1260256.114000001,143625.9372,659470.3012000007
2018-10-31,2018-10-31,50110250,1279419.7170999995,170859.0492999996,679372.0527000008
2018-11-30,2018-11-30,50110250,1237622.5475999997,169960.3362999999,635947.7550000002
2018-12-31,2018-12-31,50110250,1327157.6204000015,160583.14159999986,603585.9792999999
2019-01-31,2019-01-31,50110250,1361126.1118999997,153035.5358000001,678961.6980000001
2019-02-28,2019-02-28,50110250,1274612.0197000005,151976.71870000014,568343.6410999998
2019-03-31,2019-03-31,50110250,1417495.7301000003,167997.01029999965,731482.0250000006
2019-04-30,2019-04-30,50110250,1372465.5167999994,166089.6512999999,712991.1646999989
2019-05-31,2019-05-31,50110250,1383904.1861000014,177387.29410000017,729961.8712999996
2019-06-30,2019-06-30,50110250,1351963.2071999987,186788.4600999999,692049.8395000002
2019-07-31,2019-07-31,50110250,1441644.4240000006,172081.07760000005,708145.5670000014
2019-08-31,2019-08-31,50110250,1411146.5252,189881.9599,743618.0851000011
2019-09-30,2019-09-30,50110250,1375134.4671000014,162928.36250000008,603296.4928000001
2019-10-31,2019-10-31,50110250,1385105.4367,191096.00479999973,721154.0375000013
2019-11-30,2019-11-30,50110250,1342072.641500001,186524.2745,702623.9937000013
2019-12-31,2019-12-31,50110250,1390509.9677999988,166133.39450000002,660029.4476999999
2020-01-31,2020-01-31,50110250,1382551.2351999986,159826.8335000004,655764.4475000009
2020-02-29,2020-02-29,50110250,1323595.5875999997,151904.04270000014,606817.8001999991
2020-03-31,2020-03-31,50110250,1437670.6243,171707.81770000013,660062.8538000004
2020-04-30,2020-04-30,50110250,1384875.1313000014,158689.1042999999,628695.3823999997
2020-05-31,2020-05-31,50110250,1412108.3826000013,181633.29520000005,635833.8126999994
2020-06-30,2020-06-30,50110250,1343150.9798999992,190329.68220000007,664573.0710000003
2020-07-31,2020-07-31,50110250,1446370.386100001,181865.6790000001,651364.5240999996
2020-08-31,2020-08-31,50110250,1429467.3490000004,198536.9327,745869.8008
2020-09-30,2020-09-30,50110250,1405045.9782999987,174834.3056999998,638007.9967000011
2020-10-31,2020-10-31,50110250,1471996.4621000006,182427.84510000004,715212.530799999
2020-11-30,2020-11-30,50110250,1440656.3733999983,188118.4118000003,686571.5915
2020-12-31,2020-12-31,50110250,1520483.0054999986,200530.70629999996,594072.1436000005
2021-01-31,2021-01-31,50110250,1592824.946299998,183442.67340000055,582981.1051000002
2021-02-28,2021-02-28,50110250,1460825.4263999995,156266.93180000005,584213.4401999995
2021-03-31,2021-03-31,50110250,1560062.0533000003,196723.69320000033,716194.5908999995
2021-04-30,2021-04-30,50110250,1506037.0626000005,208320.7753999999,750908.9285999986
2021-05-31,2021-05-31,50110250,1547244.7387999988,180334.1496999998,752015.1450999995
2021-06-30,2021-06-30,50110250,1474865.2656000005,191516.73119999998,753290.6950999991
2018-01-31,2018-01-31,50110253,2188065.153400001,312982.2508999999,1619256.013699999
2018-02-28,2018-02-28,50110253,1969205.3599999992,245019.8542999996,1300390.5635000027
2018-03-31,2018-03-31,50110253,2140194.0549999983,298527.0687999999,1800827.5914999999
2018-04-30,2018-04-30,50110253,2055125.283100005,348096.9198,1700560.6854000017
2018-05-31,2018-05-31,50110253,2106100.656500001,350959.9423999996,1603609.8858999999
2018-06-30,2018-06-30,50110253,2054004.773299999,312090.01449999993,1616108.655499998
2018-07-31,2018-07-31,50110253,2128524.3289999967,325447.19840000034,1625292.621000001
2018-08-31,2018-08-31,50110253,2126287.5989999985,318130.70409999974,1740492.0796999992
2018-09-30,2018-09-30,50110253,2020281.8112999997,293122.5300000005,1619182.6255000008
2018-10-31,2018-10-31,50110253,2076523.8315000006,288239.7076000008,1717347.0708999997
2018-11-30,2018-11-30,50110253,1995707.6098,346004.88570000045,1729119.9055000006
2018-12-31,2018-12-31,50110253,2143565.8061000025,332530.87150000007,1560497.1924999987
2019-01-31,2019-01-31,50110253,2229822.7255999963,313359.4071999997,1676357.3305000002
2019-02-28,2019-02-28,50110253,1973048.0574999992,267170.88479999994,1372570.6571999996
2019-03-31,2019-03-31,50110253,2172999.573800002,312688.06540000014,1853133.7333999996
2019-04-30,2019-04-30,50110253,2098785.1290000007,339185.91300000006,1729290.421299999
2019-05-31,2019-05-31,50110253,2156909.4308999972,332945.18610000104,1730965.6146000007
2019-06-30,2019-06-30,50110253,2088642.3516,309040.99089999945,1718696.3262999966
2019-07-31,2019-07-31,50110253,2152503.600199999,317874.05189999996,1724055.8747000003
2019-08-31,2019-08-31,50110253,2189130.2748000002,305829.1505999999,1834419.3527999965
2019-09-30,2019-09-30,50110253,2100975.957200002,266149.72429999965,1485312.8511999988
2019-10-31,2019-10-31,50110253,2102663.934600001,305169.5896000005,1798701.672300001
2019-11-30,2019-11-30,50110253,2089124.870299999,299181.2984,1760311.4467000004
2019-12-31,2019-12-31,50110253,2200239.2882000017,333087.4671000006,1704136.8219000015
2020-01-31,2020-01-31,50110253,2204831.1159000006,301147.44800000056,1647221.1469999985
2020-02-29,2020-02-29,50110253,2127140.8647999987,288448.2183000002,1436309.0164000024
2020-03-31,2020-03-31,50110253,2300887.6892999997,321961.97410000005,1434258.8398
2020-04-30,2020-04-30,50110253,2224426.458599996,277620.38959999994,1437287.8153999993
2020-05-31,2020-05-31,50110253,2228296.5171000008,290480.06280000025,1535914.339799998
2020-06-30,2020-06-30,50110253,2146381.8540000007,294065.4822000004,1498560.582899999
2020-07-31,2020-07-31,50110253,2254625.6253000004,302358.97280000075,1609734.656200003
2020-08-31,2020-08-31,50110253,2334621.832599999,300550.5578999999,1766740.7048999995
2020-09-30,2020-09-30,50110253,2206020.0975000034,299531.3554000004,1549537.7370000014
2020-10-31,2020-10-31,50110253,2298723.3573999996,279323.0276999997,1879993.5550000006
2020-11-30,2020-11-30,50110253,2257720.5898,287239.8676,1908333.801099999
2020-12-31,2020-12-31,50110253,2463359.1533000018,307730.59379999957,1586890.4424999985
2021-01-31,2021-01-31,50110253,2533195.1940999995,276905.7796,1499111.3865000037
2021-02-28,2021-02-28,50110253,2217617.3255000007,252374.9334999997,1516187.425800001
2021-03-31,2021-03-31,50110253,2400578.148900002,307483.8543000004,1931951.048199998
2021-04-30,2021-04-30,50110253,2408516.135600004,329933.9683000002,1781026.8469000016
2021-05-31,2021-05-31,50110253,2450400.259299999,352996.0437000004,1899485.060100003
2021-06-30,2021-06-30,50110253,2358933.2513,308833.88439999946,1834180.2208000007
2018-01-31,2018-01-31,50110256,945029.4280999997,108998.42729999979,476832.4935000001
2018-02-28,2018-02-28,50110256,845024.3974,89474.59329999992,412219.8695000003
2018-03-31,2018-03-31,50110256,946276.5685000003,99428.70580000016,571651.2452999991
2018-04-30,2018-04-30,50110256,928897.2692999996,107884.56039999991,579819.0606999994
2018-05-31,2018-05-31,50110256,924743.3033000003,116943.89409999982,565415.7497999995
2018-06-30,2018-06-30,50110256,907196.2451000002,104646.84189999994,550207.7962000006
2018-07-31,2018-07-31,50110256,916341.8552999998,119805.2260999998,565977.9086000002
2018-08-31,2018-08-31,50110256,939767.5667000011,115597.88449999968,597403.9582999994
2018-09-30,2018-09-30,50110256,914038.1518000008,93131.47879999985,525495.7209
2018-10-31,2018-10-31,50110256,929501.9222,106904.43139999996,531168.8011999995
2018-11-30,2018-11-30,50110256,899954.2490999994,107873.76380000003,494384.6202000001
2018-12-31,2018-12-31,50110256,940672.1046999999,105551.68340000002,438065.35439999984
2019-01-31,2019-01-31,50110256,952979.3958000009,98762.43430000007,488118.13350000064
2019-02-28,2019-02-28,50110256,857000.6290000005,93091.10819999994,481464.6738000006
2019-03-31,2019-03-31,50110256,937034.3151,109341.74170000013,540416.1836000001
2019-04-30,2019-04-30,50110256,912024.5930999989,117564.91170000003,569354.2051999997
2019-05-31,2019-05-31,50110256,941250.5732999993,116381.28909999998,587383.8876000004
2019-06-30,2019-06-30,50110256,906125.1775000014,110874.10149999986,578496.6135999996
2019-07-31,2019-07-31,50110256,918585.3988999989,112416.46830000007,582965.0731999986
2019-08-31,2019-08-31,50110256,919389.0629999995,103928.48169999999,643394.7263999999
2019-09-30,2019-09-30,50110256,878194.566,96597.57789999995,482112.58490000054
2019-10-31,2019-10-31,50110256,901274.4175999992,95067.17039999989,525529.0364000004
2019-11-30,2019-11-30,50110256,868970.2288999992,102073.44510000013,512411.9154000007
2019-12-31,2019-12-31,50110256,883941.9246999996,102936.76169999992,488851.00410000054
2020-01-31,2020-01-31,50110256,916109.1469999987,92157.34249999982,490427.6750999996
2020-02-29,2020-02-29,50110256,868346.3238999988,84114.04230000002,401213.3747999997
2020-03-31,2020-03-31,50110256,948061.5101000003,98880.13889999993,445245.2086999996
2020-04-30,2020-04-30,50110256,897056.4315000008,107438.95260000028,475018.025499999
2020-05-31,2020-05-31,50110256,923840.7870999997,106652.87409999983,492452.7413000003
2020-06-30,2020-06-30,50110256,878336.6001999994,106400.53529999997,483594.73649999965
2020-07-31,2020-07-31,50110256,931945.4264999995,107984.07940000005,522378.80170000024
2020-08-31,2020-08-31,50110256,938779.4564000011,94294.43870000004,595907.3139999993
2020-09-30,2020-09-30,50110256,921710.6459999997,82796.97749999996,473812.3689999992
2020-10-31,2020-10-31,50110256,933100.6727000002,109331.72210000001,555869.9860999993
2020-11-30,2020-11-30,50110256,884542.8428999997,95968.09150000014,557517.8305000005
2020-12-31,2020-12-31,50110256,944220.2770000005,115350.26599999977,459920.4142
2021-01-31,2021-01-31,50110256,994355.5025000001,101363.0604,417042.44229999976
2021-02-28,2021-02-28,50110256,899489.8038000003,85140.51640000012,444943.0568999996
2021-03-31,2021-03-31,50110256,986108.3123000007,102389.8051999999,539148.3145000007
2021-04-30,2021-04-30,50110256,964455.0471000007,98543.19500000005,567359.4661999993
2021-05-31,2021-05-31,50110256,1001397.3584000007,96481.2495,588964.2684000006
2021-06-30,2021-06-30,50110256,965630.7819999992,103228.122,564936.7071999998
2018-01-31,2018-01-31,50110259,1195701.2033,174105.6460999998,863916.748399999
2018-02-28,2018-02-28,50110259,1104684.1435000012,139727.71330000015,694730.4163000003
2018-03-31,2018-03-31,50110259,1181666.3616999998,165157.14250000016,945014.4534999987
2018-04-30,2018-04-30,50110259,1150228.4415000004,188786.83340000006,987878.4509999986
2018-05-31,2018-05-31,50110259,1210004.4393999996,192046.50080000004,964906.2463999996
2018-06-30,2018-06-30,50110259,1214940.9466999983,196337.2800000003,870639.8117999993
2018-07-31,2018-07-31,50110259,1260904.1624999996,193589.0442000005,877720.8563999995
2018-08-31,2018-08-31,50110259,1244631.7916999997,205044.77910000022,915356.2377000002
2018-09-30,2018-09-30,50110259,1230436.8022000003,152258.84380000006,867535.5807000004
2018-10-31,2018-10-31,50110259,1210923.5872999998,208075.8616999997,973100.7409000004
2018-11-30,2018-11-30,50110259,1182993.2355000004,184115.67600000018,957392.6822999992
2018-12-31,2018-12-31,50110259,1230177.6132999992,187492.54169999945,818803.211100001
2019-01-31,2019-01-31,50110259,1229742.6269000003,180610.71690000006,910398.6666000003
2019-02-28,2019-02-28,50110259,1122498.6745000016,155084.1613999998,780374.3651999988
2019-03-31,2019-03-31,50110259,1260967.2577,188851.70830000003,972208.3694999994
2019-04-30,2019-04-30,50110259,1259000.0766,214924.34009999956,985793.4700999993
2019-05-31,2019-05-31,50110259,1302508.9607000002,206024.42639999994,1028999.5045000009
2019-06-30,2019-06-30,50110259,1285531.8053999983,183076.2341000001,1013430.0985000002
2019-07-31,2019-07-31,50110259,1274787.5093000007,212580.4705000001,999486.0933999975
2019-08-31,2019-08-31,50110259,1305960.6257000011,202912.75220000008,1047471.2122000004
