base_date,emd_cd,korean,long_term_frgn,short_term_frgn,resident,card_cnt,card_amt,waste_cnt,waste_amt
0,2019-11-30,50110250,7321787.938100008,469689.3527000047,129161.40060000098,25149,267.3806452,9586590.265,620,2279550
1,2019-12-31,50110250,6915172.7046999885,482920.2385000009,122124.66090000008,25080,266.8144654,9621756.255,8178,31493650
2,2020-01-31,50110250,7476136.679000067,587299.9639999889,112758.3034000022,25076,257.6044304,9648302.136,13042,49632850
3,2020-02-29,50110250,5561977.512400008,559439.3958999953,60252.798900000955,25021,249.62116040000004,8760701.457,12264,46197050
4,2020-03-31,50110250,6094368.529799998,714445.0812000015,29661.44290000028,24942,261.8770227,8979547.945,14316,52561750
5,2020-04-30,50110250,5684750.733800003,638421.4187999759,26899.76680000066,24898,278.49830510000004,9544601.271,14513,52242650
6,2020-05-31,50110250,6776586.252099963,528744.9597999973,3158.518200000004,24816,306.9552716,11015281.04,17614,61167800
7,2020-06-30,50110250,7621125.2889999775,615636.9501000021,3443.5588999999572,24802,291.0933333,10565070.79,17365,55895800
8,2020-07-31,50110250,8100980.592200053,544030.6248000024,4834.557300000051,24781,290.916129,10214210.1,23417,74343450
9,2020-08-31,50110250,9569720.476000007,491175.6471000022,5358.734000000046,24747,309.5483871,11874138.76,24943,80336450
10,2020-09-30,50110250,7014125.994900012,518727.7307000081,4222.502299999987,24711,307.6621622,11491011.58,21807,70032800
11,2020-10-31,50110250,8147031.4475000035,477503.11129999923,1553.558799999993,24667,276.51456310000003,10392028.73,21947,73234800
12,2020-11-30,50110250,7993246.928800028,355385.3711000007,2126.8682999999733,24627,271.6588629,9857835.274,19990,70548650
13,2020-12-31,50110250,6533003.962200003,381481.4364000023,1681.4957999999908,24609,266.8383838,9687670.083999999,19001,65998800
14,2021-01-31,50110250,6195202.9296,424998.1983000058,1345.4774999999995,24616,269.01355930000005,9749913.027,18369,60314250
15,2021-02-28,50110250,6646771.330799973,405548.96689999546,1379.530799999992,24571,262.8498168,9875741.484,17384,60052534
16,2021-03-31,50110250,7840074.226499974,395482.89710000076,2876.3322999999477,24494,274.3189369,10296078.59,19901,69780550
17,2021-04-30,50110250,8781502.190100035,467198.17509999935,1844.038800000025,24487,277.152027,10154532.52,20950,73755600
18,2021-05-31,50110250,9036916.9633,397223.9937999824,1327.8782999999885,24435,291.0423453,10829062.85,24046,79295550
19,2021-06-30,50110250,9251269.070399992,439635.12270000397,1761.8072000000132,24462,290.49140889999995,10621506.6,25653,82746990
20,2018-01-31,50110253,17017728.17619995,642428.1301000031,178483.41199999643,35206,435.31366460000004,15008630.33,3702,7744200
21,2018-02-28,50110253,14195808.819800107,491314.084800001,178746.20109999983,35426,415.2034483,15198084.83,3182,6799950
22,2018-03-31,50110253,17850429.216300018,761829.8145000066,238145.94580000232,35520,458.50308640000003,15133866.38,3789,8239050
23,2018-04-30,50110253,17915681.18359986,621701.6635999947,249621.91289999665,35641,477.6719243,15932993.99,3733,7756850
24,2018-05-31,50110253,18209774.00879999,436955.78689999867,292828.1900000006,35743,491.10942249999994,16705703.78,4084,7819200
25,2018-06-30,50110253,17915451.731800046,603262.3940000003,422526.0174000014,35862,491.49845199999993,16199727.31,4276,8349500
26,2018-07-31,50110253,19207031.59960006,502341.65789999784,465595.5131000032,35978,520.398773,17442591.7,5031,9775900
27,2018-08-31,50110253,20390023.085000105,775821.1942000011,528309.2726999947,36059,536.76,18117379.77,4454,7980150
28,2018-09-30,50110253,16956242.322700087,722199.6980000003,571870.0110999992,36182,506.2797428,17739200.63,3689,6243150
29,2018-10-31,50110253,17699105.91540001,695173.1155000018,581161.9944000021,36394,503.08125,16502954.28,3537,5927500
30,2018-11-30,50110253,16449898.331199965,723226.6691999977,491485.1055999941,36496,499.0958466,16823200.54,3388,6189400
31,2018-12-31,50110253,15920495.73220004,717161.6293000048,445648.08310000354,36550,506.1049383,17241889.97,3289,6749250
32,2019-01-31,50110253,17095342.269099887,1039633.4978000034,465023.4271,36646,476.3015385,16228078.98,3129,6324700
33,2019-02-28,50110253,15008654.57509994,644682.389699995,488870.1010999962,36744,471.99317410000003,16611315.44,2811,5733100
34,2019-03-31,50110253,17781232.872800093,1080012.869600011,561388.9039000041,36849,508.2546584,16720082.8,3015,6057700
35,2019-04-30,50110253,17522237.70459993,835183.5734000073,605716.8636999942,36902,535.3729904,17163366.62,2997,5753700
36,2019-05-31,50110253,18445273.024699904,705000.2957999917,580525.8862000088,37019,534.3839009,17341954.04,4231,7364450
37,2019-06-30,50110253,17114219.29870008,714283.446700003,628504.6011000007,37116,521.5768025,16658167.71,4795,8786950
38,2019-07-31,50110253,18790672.124799952,621477.8210999985,625662.0700000029,37119,561.2561728,17329254.05,5287,9908000
39,2019-08-31,50110253,20333839.080399934,888207.2846000039,685914.5362999989,37127,563.4006024,18406523.61,5390,9669800
40,2019-09-30,50110253,16057417.486000072,735399.3741999988,600771.3899999871,37194,526.9619048000001,17606690.79,4749,8122000
41,2019-10-31,50110253,18060347.635400034,915247.5747000037,712349.7328999826,37247,559.6346748999999,17499931.5,4479,7338950
42,2019-11-30,50110253,16985163.58169999,896469.6837999956,633132.4811999899,37299,547.3650794,17434788.87,6869,15380950
43,2019-12-31,50110253,16966691.45520004,1099294.6942999943,658145.0506999912,37345,557.462963,18841002.69,13387,40070100
44,2020-01-31,50110253,17728842.262500025,981873.5228999752,564525.8722999863,37310,524.0308642,18272632.18,18289,58435300
45,2020-02-29,50110253,13800104.68550007,1028809.9897999793,133738.68970000072,37446,509.61204010000006,16624648.26,19199,58395800
46,2020-03-31,50110253,13957959.297299916,890920.1164999951,136194.7322000025,37433,544.1666667000001,17684270.43,23171,66494950
47,2020-04-30,50110253,13558885.703600055,894740.2937999812,90465.07320000102,37444,562.9075908,18768529.29,23199,66115500
48,2020-05-31,50110253,15449388.12610002,663761.7002000001,9523.290599999822,37551,604.6760125,20547995.12,29041,80917650
49,2020-06-30,50110253,15646259.621700032,587130.7965000019,12520.869699999963,37646,592.6343042000001,19070361.72,30249,78356550
50,2020-07-31,50110253,16903972.45970008,665767.4620000084,16157.141599999752,37740,574.04375,18883968.25,40444,104291450
51,2020-08-31,50110253,19627343.17109997,754374.5855000078,23282.39249999996,37847,621.384375,21051155.52,43067,112411340
52,2020-09-30,50110253,15661132.61969991,847236.9603999745,30376.54930000025,37788,626.1461793999999,21794640.49,37419,84883500
53,2020-10-31,50110253,18603987.210800003,854049.8284999814,37342.72850000019,37787,583.1234177,19908966.16,36791,87842750
