base_date,emd_cd,pop_cnt
2018-01-31,2018-01-31,50110250,7209306.238500042
2018-02-28,2018-02-28,50110250,5579124.885199998
2018-03-31,2018-03-31,50110250,7615020.774799963
2018-04-30,2018-04-30,50110250,8498349.253599986
2018-05-31,2018-05-31,50110250,8916781.952599967
2018-06-30,2018-06-30,50110250,8536642.887700038
2018-07-31,2018-07-31,50110250,9211783.291599998
2018-08-31,2018-08-31,50110250,9811343.413199957
2018-09-30,2018-09-30,50110250,7890141.56500002
2018-10-31,2018-10-31,50110250,8117152.213300047
2018-11-30,2018-11-30,50110250,6924006.441599994
2018-12-31,2018-12-31,50110250,6581772.660600013
2019-01-31,2019-01-31,50110250,7168367.574600009
2019-02-28,2019-02-28,50110250,6622366.158099972
2019-03-31,2019-03-31,50110250,7686719.424300022
2019-04-30,2019-04-30,50110250,8140031.282500004
2019-05-31,2019-05-31,50110250,8888360.935399994
2019-06-30,2019-06-30,50110250,8234941.426599997
2019-07-31,2019-07-31,50110250,8937234.540800013
2019-08-31,2019-08-31,50110250,9743204.141300019
2019-09-30,2019-09-30,50110250,7337255.923199989
2019-10-31,2019-10-31,50110250,8352012.327500047
2019-11-30,2019-11-30,50110250,7321787.938100009
2019-12-31,2019-12-31,50110250,6915172.7046999885
2020-01-31,2020-01-31,50110250,7476136.679000066
2020-02-29,2020-02-29,50110250,5561977.512400008
2020-03-31,2020-03-31,50110250,6094368.529799998
2020-04-30,2020-04-30,50110250,5684750.733800004
2020-05-31,2020-05-31,50110250,6776586.252099962
2020-06-30,2020-06-30,50110250,7621125.2889999775
2020-07-31,2020-07-31,50110250,8100980.592200053
2020-08-31,2020-08-31,50110250,9569720.476000007
2020-09-30,2020-09-30,50110250,7014125.994900013
2020-10-31,2020-10-31,50110250,8147031.447500004
2020-11-30,2020-11-30,50110250,7993246.928800028
2020-12-31,2020-12-31,50110250,6533003.962200002
2021-01-31,2021-01-31,50110250,6195202.9296
2021-02-28,2021-02-28,50110250,6646771.330799973
2021-03-31,2021-03-31,50110250,7840074.226499974
2021-04-30,2021-04-30,50110250,8781502.190100035
2021-05-31,2021-05-31,50110250,9036916.963299999
2021-06-30,2021-06-30,50110250,9251269.070399992
2018-01-31,2018-01-31,50110253,17017728.17619995
2018-02-28,2018-02-28,50110253,14195808.819800109
2018-03-31,2018-03-31,50110253,17850429.216300018
2018-04-30,2018-04-30,50110253,17915681.18359986
2018-05-31,2018-05-31,50110253,18209774.00879999
2018-06-30,2018-06-30,50110253,17915451.731800046
2018-07-31,2018-07-31,50110253,19207031.59960006
2018-08-31,2018-08-31,50110253,20390023.085000105
2018-09-30,2018-09-30,50110253,16956242.322700087
2018-10-31,2018-10-31,50110253,17699105.91540001
2018-11-30,2018-11-30,50110253,16449898.331199966
2018-12-31,2018-12-31,50110253,15920495.732200041
2019-01-31,2019-01-31,50110253,17095342.269099887
2019-02-28,2019-02-28,50110253,15008654.57509994
2019-03-31,2019-03-31,50110253,17781232.872800097
2019-04-30,2019-04-30,50110253,17522237.70459993
2019-05-31,2019-05-31,50110253,18445273.024699904
2019-06-30,2019-06-30,50110253,17114219.29870008
2019-07-31,2019-07-31,50110253,18790672.124799952
2019-08-31,2019-08-31,50110253,20333839.080399938
2019-09-30,2019-09-30,50110253,16057417.486000072
2019-10-31,2019-10-31,50110253,18060347.635400034
2019-11-30,2019-11-30,50110253,16985163.58169999
2019-12-31,2019-12-31,50110253,16966691.45520004
2020-01-31,2020-01-31,50110253,17728842.262500025
2020-02-29,2020-02-29,50110253,13800104.68550007
2020-03-31,2020-03-31,50110253,13957959.297299916
2020-04-30,2020-04-30,50110253,13558885.703600056
2020-05-31,2020-05-31,50110253,15449388.126100019
2020-06-30,2020-06-30,50110253,15646259.621700032
2020-07-31,2020-07-31,50110253,16903972.45970008
2020-08-31,2020-08-31,50110253,19627343.17109997
2020-09-30,2020-09-30,50110253,15661132.61969991
2020-10-31,2020-10-31,50110253,18603987.210800003
2020-11-30,2020-11-30,50110253,19252477.354700048
2020-12-31,2020-12-31,50110253,16207751.26409997
2021-01-31,2021-01-31,50110253,15249558.337300051
2021-02-28,2021-02-28,50110253,16291615.24670011
2021-03-31,2021-03-31,50110253,19174625.24850001
2021-04-30,2021-04-30,50110253,19266970.652899966
2021-05-31,2021-05-31,50110253,20530518.343600105
2021-06-30,2021-06-30,50110253,19878729.37369995
2018-01-31,2018-01-31,50110256,5853572.230500011
2018-02-28,2018-02-28,50110256,5046954.161499998
2018-03-31,2018-03-31,50110256,6188934.657000005
2018-04-30,2018-04-30,50110256,7037538.262299994
2018-05-31,2018-05-31,50110256,7325579.786299979
2018-06-30,2018-06-30,50110256,6999620.116299927
2018-07-31,2018-07-31,50110256,7801603.844299986
2018-08-31,2018-08-31,50110256,8303570.929599975
2018-09-30,2018-09-30,50110256,6749093.124199963
2018-10-31,2018-10-31,50110256,6622633.414500013
2018-11-30,2018-11-30,50110256,5535022.9081999855
2018-12-31,2018-12-31,50110256,5424463.9787
2019-01-31,2019-01-31,50110256,5845020.017400018
2019-02-28,2019-02-28,50110256,5697814.024699955
2019-03-31,2019-03-31,50110256,6241396.295000006
2019-04-30,2019-04-30,50110256,6733536.334000023
2019-05-31,2019-05-31,50110256,7143540.918900027
2019-06-30,2019-06-30,50110256,6931169.349100016
2019-07-31,2019-07-31,50110256,7635276.584300021
2019-08-31,2019-08-31,50110256,8430994.280799994
2019-09-30,2019-09-30,50110256,6236580.464699996
2019-10-31,2019-10-31,50110256,6687875.355699984
2019-11-30,2019-11-30,50110256,5820780.304799982
2019-12-31,2019-12-31,50110256,5925512.542299998
2020-01-31,2020-01-31,50110256,6287626.9163000155
2020-02-29,2020-02-29,50110256,4380514.0087999925
2020-03-31,2020-03-31,50110256,4855239.9666999765
2020-04-30,2020-04-30,50110256,4761806.2757000355
2020-05-31,2020-05-31,50110256,5808829.398800012
2020-06-30,2020-06-30,50110256,6037153.522400002
2020-07-31,2020-07-31,50110256,7119620.315300003
2020-08-31,2020-08-31,50110256,8258598.683799977
2020-09-30,2020-09-30,50110256,5827092.879600008
2020-10-31,2020-10-31,50110256,6971611.471199996
2020-11-30,2020-11-30,50110256,6808005.56290001
2020-12-31,2020-12-31,50110256,5278489.786100013
2021-01-31,2021-01-31,50110256,4961312.248899985
2021-02-28,2021-02-28,50110256,5835227.372599997
2021-03-31,2021-03-31,50110256,6726725.19389998
2021-04-30,2021-04-30,50110256,7457119.259600055
2021-05-31,2021-05-31,50110256,7876864.203200015
2021-06-30,2021-06-30,50110256,7660525.960799972
2018-01-31,2018-01-31,50110259,9275174.488800013
2018-02-28,2018-02-28,50110259,7377205.5514
2018-03-31,2018-03-31,50110259,9084247.171499956
2018-04-30,2018-04-30,50110259,10350569.901299935
2018-05-31,2018-05-31,50110259,10937402.184600005
2018-06-30,2018-06-30,50110259,10230046.764100019
2018-07-31,2018-07-31,50110259,10934762.762400033
2018-08-31,2018-08-31,50110259,11738154.948299976
2018-09-30,2018-09-30,50110259,9697508.538100004
2018-10-31,2018-10-31,50110259,10401512.912099972
2018-11-30,2018-11-30,50110259,9272383.570099948
2018-12-31,2018-12-31,50110259,8326716.807600025
2019-01-31,2019-01-31,50110259,9408164.58760001
2019-02-28,2019-02-28,50110259,8526404.465700047
2019-03-31,2019-03-31,50110259,9545627.064800002
2019-04-30,2019-04-30,50110259,10329603.481099889
2019-05-31,2019-05-31,50110259,11237061.302899979
2019-06-30,2019-06-30,50110259,10443825.5087
2019-07-31,2019-07-31,50110259,11655719.809199953
2019-08-31,2019-08-31,50110259,12269233.60440002
2019-09-30,2019-09-30,50110259,9172922.518200051
2019-10-31,2019-10-31,50110259,11065302.90990003
2019-11-30,2019-11-30,50110259,10460515.451300034
2019-12-31,2019-12-31,50110259,10371419.871800065
2020-01-31,2020-01-31,50110259,10580350.116500074
2020-02-29,2020-02-29,50110259,7650979.970699979
