base_date,emd_cd,use_cnt_mean,emd_amt_mean
2018-01-31,50110250,215.7947883,8171132.984
2018-02-28,50110250,213.7132616,8605532.333
2018-03-31,50110250,228.4013378,8517373.716
2018-04-30,50110250,239.8959732,8640048.185
2018-05-31,50110250,250.3483871,9384709.81
2018-06-30,50110250,255.3614865,9363471.378
2018-07-31,50110250,257.0289389,9240756.624
2018-08-31,50110250,262.5189873,9556008.709
2018-09-30,50110250,246.3421053,9556867.03
2018-10-31,50110250,236.0632911,8613658.535
2018-11-30,50110250,238.9569536,8750630.185
2018-12-31,50110250,230.7730061,8558759.129
2019-01-31,50110250,235.2204473,8960011.118
2019-02-28,50110250,236.8409894,8878558.562
2019-03-31,50110250,248.9492063,9173034.635
2019-04-30,50110250,262.4883721,9322704.648
2019-05-31,50110250,267,9471669.852
2019-06-30,50110250,266.5247525,9355620.64
2019-07-31,50110250,268.5628931,9533380.723
2019-08-31,50110250,283.6656051,10176181.97
2019-09-30,50110250,265.5681063,9697588.764
2019-10-31,50110250,275.0597484,9606757.481
2019-11-30,50110250,267.3806452,9586590.265
2019-12-31,50110250,266.8144654,9621756.255
2020-01-31,50110250,257.6044304,9648302.136
2020-02-29,50110250,249.6211604,8760701.457
2020-03-31,50110250,261.8770227,8979547.945
2020-04-30,50110250,278.4983051,9544601.271
2020-05-31,50110250,306.9552716,11015281.04
2020-06-30,50110250,291.0933333,10565070.79
2020-07-31,50110250,290.916129,10214210.1
2020-08-31,50110250,309.5483871,11874138.76
2020-09-30,50110250,307.6621622,11491011.58
2020-10-31,50110250,276.5145631,10392028.73
2020-11-30,50110250,271.6588629,9857835.274
2020-12-31,50110250,266.8383838,9687670.084
2021-01-31,50110250,269.0135593,9749913.027
2021-02-28,50110250,262.8498168,9875741.484
2021-03-31,50110250,274.3189369,10296078.59
2021-04-30,50110250,277.152027,10154532.52
2021-05-31,50110250,291.0423453,10829062.85
2021-06-30,50110250,290.4914089,10621506.6
2018-01-31,50110253,435.3136646,15008630.33
2018-02-28,50110253,415.2034483,15198084.83
2018-03-31,50110253,458.5030864,15133866.38
2018-04-30,50110253,477.6719243,15932993.99
2018-05-31,50110253,491.1094225,16705703.78
2018-06-30,50110253,491.498452,16199727.31
2018-07-31,50110253,520.398773,17442591.7
2018-08-31,50110253,536.76,18117379.77
2018-09-30,50110253,506.2797428,17739200.63
2018-10-31,50110253,503.08125,16502954.28
2018-11-30,50110253,499.0958466,16823200.54
2018-12-31,50110253,506.1049383,17241889.97
2019-01-31,50110253,476.3015385,16228078.98
2019-02-28,50110253,471.9931741,16611315.44
2019-03-31,50110253,508.2546584,16720082.8
2019-04-30,50110253,535.3729904,17163366.62
2019-05-31,50110253,534.3839009,17341954.04
2019-06-30,50110253,521.5768025,16658167.71
2019-07-31,50110253,561.2561728,17329254.05
2019-08-31,50110253,563.4006024,18406523.61
2019-09-30,50110253,526.9619048,17606690.79
2019-10-31,50110253,559.6346749,17499931.5
2019-11-30,50110253,547.3650794,17434788.87
2019-12-31,50110253,557.462963,18841002.69
2020-01-31,50110253,524.0308642,18272632.18
2020-02-29,50110253,509.6120401,16624648.26
2020-03-31,50110253,544.1666667,17684270.43
2020-04-30,50110253,562.9075908,18768529.29
2020-05-31,50110253,604.6760125,20547995.12
2020-06-30,50110253,592.6343042,19070361.72
2020-07-31,50110253,574.04375,18883968.25
2020-08-31,50110253,621.384375,21051155.52
2020-09-30,50110253,626.1461794,21794640.49
2020-10-31,50110253,583.1234177,19908966.16
2020-11-30,50110253,572.3974359,19668268.04
2020-12-31,50110253,555.0917722,19071068.73
2021-01-31,50110253,530.6178344,17868835.82
2021-02-28,50110253,558.8035088,19276185.38
2021-03-31,50110253,573.4767802,19350893.03
2021-04-30,50110253,604.8774194,20278383.38
2021-05-31,50110253,616.9053628,20827045.51
2021-06-30,50110253,607.9546926,19826929.6
