base_date,emd_cd,korean_resd,korean_work,korean_visit,long_term_frgn_resd,long_term_frgn_work,long_term_frgn_visit,short_term_frgn_visit,resident_fe_korean,resident_fe_frgn,resident_m_korean,resident_m_frgn,card_cnt_home,card_amt_home,card_cnt_out,card_amt_out,waste_cnt,waste_amt
0,2019-11-30,50110250,12712673.232100055,1446387.3789000062,5875400.559200003,811872.329999999,95124.99870000014,374564.3540000046,129161.40060000098,10377,1353,11023,2396,301.62,11769527.186666667,235.28125,7540086.9,620,2279550
1,2019-12-31,50110250,13285137.758699944,1231724.673500003,5683448.031199985,786204.8680999983,76167.61250000028,406752.62600000063,122124.66090000008,10354,1332,11011,2383,295.56774193548387,11756193.522580644,239.4723926380368,7592076.644171779,8178,31493650
2,2020-01-31,50110250,13221479.155400047,1009433.5424000076,6466703.1366000585,820791.3342000108,105162.41349999914,482137.5504999897,112758.3034000022,10369,1328,11004,2375,290.3870967741936,12010563.62580645,226.0434782608696,7374075.2360248435,13042,49632850
3,2020-02-29,50110250,12695281.900800016,926849.7953999965,4635127.717000011,778132.5490999972,90134.77110000189,469304.6247999934,60252.798900000955,10341,1328,10985,2367,275.46896551724143,10234904.268965518,224.29729729729732,7316381.135135135,12264,46197050
4,2020-03-31,50110250,13897775.646000007,960657.7571,5133710.772699998,841049.3554000141,103988.50980000179,610456.5713999998,29661.44290000028,10310,1322,10970,2340,290.8709677419355,10661159.838709677,232.69480519480518,7287016.493506492,14316,52561750
5,2020-04-30,50110250,13557538.09179992,925071.2436000044,4759679.4902,873151.5965000085,89592.99430000049,548828.4244999754,26899.76680000066,10302,1317,10950,2329,302.34,10984104.026666667,253.83448275862068,8055460.489655172,14513,52242650
6,2020-05-31,50110250,13730868.170200013,978966.8142999936,5797619.437799969,764777.4916999969,72268.75210000019,456476.20769999706,3158.518200000004,10279,1305,10923,2309,326.21290322580643,12799861.696774196,288.0632911392405,9264584.829113923,17614,61167800
7,2020-06-30,50110250,13285980.55609991,1092989.0634999962,6528136.225499981,716327.0910000055,44648.19829999987,570988.7518000022,3443.5588999999572,10297,1301,10901,2303,312.11333333333334,12613850.493333334,270.0733333333333,8516291.093333334,17365,55895800
8,2020-07-31,50110250,13933415.042300012,1596851.6016,6504128.990600052,829599.884700002,84106.42329999997,459924.2015000025,4834.557300000051,10320,1288,10898,2275,320.41290322580653,12022114.95483871,261.4193548387097,8406305.245161291,23417,74343450
9,2020-08-31,50110250,14005279.95210002,1384508.1960999991,8185212.279900009,809781.6624000034,56516.064300000115,434659.582800002,5358.734000000046,10327,1261,10902,2257,345.7161290322581,14509436.470967742,273.3806451612903,9238841.051612902,24943,80336450
10,2020-09-30,50110250,13768273.12080001,1180275.909399999,5833850.085500014,841203.166100012,76758.89820000109,441968.832500007,4222.502299999987,10334,1248,10891,2238,347.57333333333327,14457709.76,266.6575342465753,8443033.993150685,21807,70032800
11,2020-10-31,50110250,14043833.062100012,1337428.5705000022,6809602.877000002,854249.2334000224,88039.56190000034,389463.5493999989,1553.558799999993,10346,1212,10900,2209,298.0838709677419,12312907.406451613,254.80519480519482,8458676.824675325,21947,73234800
12,2020-11-30,50110250,14090659.01949999,1509348.9204000009,6483898.008400028,865639.6804000024,84863.97000000006,270521.40110000066,2126.8682999999733,10355,1189,10893,2190,288.74,11278708.9,254.46308724832215,8427425.583892617,19990,70548650
13,2020-12-31,50110250,14933646.333900005,1416436.9913000066,5116566.970899995,831856.8038999705,64362.96510000044,317118.4713000019,1681.4957999999908,10363,1176,10886,2184,307.49032258064517,12202599.438709678,222.4647887323944,6942500.718309859,19001,65998800
14,2021-01-31,50110250,15413352.545199953,1119066.5502000009,5076136.379399999,929524.5295000337,76725.52529999863,348272.6730000071,1345.4774999999995,10374,1171,10889,2182,308.541935483871,12321741.832258064,225.25,6902531.135714286,18369,60314250
15,2021-02-28,50110250,13760000.35689999,889701.6107000002,5757069.720099973,860726.1237999938,44200.838000000236,361348.12889999524,1379.530799999992,10371,1157,10896,2147,301.57142857142856,12568695.457142858,222.09022556390977,7041053.090225563,17384,60052534
16,2021-03-31,50110250,14593807.916400002,1159593.7713000102,6680480.4551999625,857518.4038000025,47485.39850000013,347997.4986000007,2876.3322999999477,10308,1152,10906,2128,295.9032258064516,12417402.916129032,251.4041095890411,8043987.691780822,19901,69780550
17,2021-04-30,50110250,14244967.732899984,1628287.6488000029,7153214.541300032,809717.1199999972,61954.40539999964,405243.7696999997,1844.038800000025,10318,1149,10906,2114,305.3466666666667,12513554.453333333,248.1849315068493,7730879.849315069,20950,73755600
18,2021-05-31,50110250,14761005.01429992,1352020.1941000076,7684896.769199992,817491.8291000543,41501.96689999939,355722.0268999829,1327.8782999999885,10302,1147,10891,2095,322.32258064516134,13087974.01935484,259.1447368421053,8525567.914473685,24046,79295550
19,2021-06-30,50110250,14411432.72400001,1352329.536999993,7898939.533399997,796877.1848999907,50240.11780000006,389395.0049000039,1761.8072000000132,10341,1140,10891,2090,332.58666666666664,13028691.913333336,245.70921985815602,8060671.156028368,25653,82746990
20,2018-01-31,50110253,22217702.05319998,2128192.050799997,14889536.125399953,766577.0782000016,97444.1201999998,544984.0099000033,178483.41199999643,16563,454,17708,481,497.42207792207785,18802787.045454547,378.38095238095235,11530653.345238095,3702,7744200
21,2018-02-28,50110253,20215473.466999955,1632005.7376000066,12563803.082200104,645109.6127999956,72165.68859999978,419148.39620000136,178746.20109999983,16609,496,17777,544,479.9214285714286,19672949.2,354.8,11021544.753333334,3182,6799950
22,2018-03-31,50110253,21825475.247200023,1939301.2300999984,15911127.98620002,647165.7353999993,55936.26120000034,705893.5533000062,238145.94580000232,16649,494,17842,535,522.1935483870968,18705374.967741936,400.08875739644964,11858222.414201185,3789,8239050
23,2018-04-30,50110253,21395024.79370003,2449326.627900009,15466354.555699853,701039.2373000049,78770.97399999968,542930.689599995,249621.91289999665,16701,484,17927,529,554.0733333333334,20430065.586666666,409.0479041916168,11893708.11976048,3733,7756850
24,2018-05-31,50110253,21758167.62070006,2493934.559499984,15715839.449300004,679982.5453999899,62467.13769999997,374488.6491999988,292828.1900000006,16753,500,17952,538,566.0193548387098,20651071.167741936,424.3793103448277,13191152.362068964,4084,7819200
25,2018-06-30,50110253,21106768.59719998,2272596.390000002,15642855.341800045,659506.3070000041,74490.19929999979,528772.1947000006,422526.0174000014,16826,485,18005,546,575.9533333333334,20420921.266666666,418.271676300578,12539732.549132947,4276,8349500
