base_date,emd_cd,korean_resd_f0,korean_work_f0,korean_visit_f0,korean_resd_f10,korean_work_f10,korean_visit_f10,korean_resd_f20,korean_work_f20,korean_visit_f20,korean_resd_f30,korean_work_f30,korean_visit_f30,korean_resd_f40,korean_work_f40,korean_visit_f40,korean_resd_f50,korean_work_f50,korean_visit_f50,korean_resd_f60,korean_work_f60,korean_visit_f60,korean_resd_f70,korean_work_f70,korean_visit_f70,korean_resd_f80,korean_work_f80,korean_visit_f80,korean_resd_m0,korean_work_m0,korean_visit_m0,korean_resd_m10,korean_work_m10,korean_visit_m10,korean_resd_m20,korean_work_m20,korean_visit_m20,korean_resd_m30,korean_work_m30,korean_visit_m30,korean_resd_m40,korean_work_m40,korean_visit_m40,korean_resd_m50,korean_work_m50,korean_visit_m50,korean_resd_m60,korean_work_m60,korean_visit_m60,korean_resd_m70,korean_work_m70,korean_visit_m70,korean_resd_m80,korean_work_m80,korean_visit_m80,long_term_frgn_resd,long_term_frgn_work,long_term_frgn_visit,short_term_frgn_visit,resident_fe_korean,resident_fe_frgn,resident_m_korean,resident_m_frgn,card_cnt_home,card_amt_home,card_cnt_out,card_amt_out,waste_cnt,waste_amt
0,2019-11-30,50110250,595656.6904000004,75850.25470000015,244450.7884000001,470973.4183,58210.986100000075,190021.18529999992,320859.0111,35541.88940000003,393491.05960000044,595656.6904000004,75850.25470000015,244450.7884000001,1121700.2702,84517.34449999996,426928.5329000009,1023078.0016,112274.26299999992,446152.2884999998,939115.5914000005,32760.37149999996,310309.4107999998,442989.5730000002,13306.214200000017,146313.29759999985,193372.71510000003,5162.1686999999965,56456.72150000005,616972.3817999988,156273.79830000017,193941.5861,718225.1931000003,180941.4631,227324.1033000001,521222.40510000044,57176.46060000004,383899.64230000007,796120.9264000005,127811.27560000026,505545.6898,1178300.1033000015,175197.44770000022,643819.4011000001,1342072.6415000008,186524.2745,702623.9937000013,980328.3346000012,64510.8733,412777.5715999997,462903.22939999966,14949.10309999999,130905.9135,316369.25330000016,8414.293799999998,71774.40960000007,811872.329999999,95124.99870000014,374564.3540000046,129161.40060000098,10377,1353,11023,2396,301.62,11769527.186666667,235.28125,7540086.9,620,2279550
1,2019-12-31,50110250,652151.7584999993,61500.49280000005,226945.50000000023,515642.89810000046,47098.85550000003,176849.99739999985,332910.6582999999,31108.44110000001,461008.3476999999,652151.7584999993,61500.49280000005,226945.50000000023,1149669.0801,91948.9902,398343.98159999977,1075018.5511000005,96203.76589999993,408555.1722,978926.8550000008,40007.80519999997,255915.53630000012,451208.6670000007,17345.189799999982,156967.87600000002,196960.49339999995,6707.590200000006,60573.45540000003,659775.2002999992,103531.3406,169572.19479999985,768052.4835999997,119840.96339999992,198897.1616,526321.5602999995,54753.3172,470067.69730000047,823581.0648999991,110650.76169999992,495034.3331999993,1224734.6002999998,157566.28810000018,611631.8851000003,1390509.9677999988,166133.39450000002,660029.4476999999,1042920.1449000008,54769.14739999993,356647.7173000001,475781.6366999997,14572.945700000002,133060.67670000016,325170.94629999966,8482.122000000001,73314.90650000004,786204.8680999983,76167.61250000028,406752.62600000063,122124.66090000008,10354,1332,11011,2383,295.56774193548387,11756193.522580644,239.4723926380368,7592076.644171779,8178,31493650
2,2020-01-31,50110250,636463.4354000004,27210.66989999997,399362.97840000025,503238.46609999967,21032.912400000023,311991.9034000001,331482.3683000002,38458.048900000045,499453.19019999955,636463.4354000004,27210.66989999997,399362.97840000025,1151932.721100001,80847.90210000014,470198.8532,1056401.8718,98250.24379999991,432044.5467,991703.9810000006,31261.795999999937,278961.0588,477402.6485000003,11556.234600000018,120227.13319999992,208394.62629999992,4459.305399999998,46436.40049999992,628206.8005000001,45184.5492,333904.9110999999,731303.3183000003,52558.969299999924,393752.64460000006,531398.9220000004,66783.36819999994,492811.79880000034,815264.7087000002,115231.50320000006,488477.19890000025,1241321.4341000014,133837.56909999994,649504.7414999999,1382551.2351999986,159826.8335000004,655764.4475000009,1039687.8887999984,63895.71059999994,345317.51469999994,498917.8941,9754.477300000004,97718.57160000002,340983.325,5471.708499999991,54101.87479999993,820791.3342000108,105162.41349999914,482137.5504999897,112758.3034000022,10369,1328,11004,2375,290.3870967741936,12010563.62580645,226.0434782608696,7374075.2360248435,13042,49632850
3,2020-02-29,50110250,602907.6061000002,10699.84439999999,188481.2982,476706.56630000006,8391.02850000001,146962.60670000012,327308.5271000004,27226.7952,296852.16239999986,602907.6061000002,10699.84439999999,188481.2982,1113200.3609000007,88332.94960000007,336009.76379999943,1029124.8440999995,80818.10559999992,323920.9529000001,959156.0865000002,33367.478000000025,201226.1249,455979.3090000005,14834.36380000002,100809.00479999992,199042.9633000001,5731.553999999997,38977.43000000003,633225.8135999992,21643.64459999998,158869.0227999999,737146.0145999999,25378.6638,186730.04109999968,516723.4259000003,62132.34129999997,360519.9111000008,731456.1905000003,117006.09919999991,402061.6702999997,1191018.6818999995,149548.85090000016,545923.0360999998,1323595.5875999995,151904.04270000017,606817.800199999,982901.2701000009,68664.78580000009,329660.29779999977,470861.8783000001,10751.837299999985,102608.83610000016,321808.5589,6080.596299999998,56601.92600000009,778132.5490999972,90134.77110000189,469304.6247999934,60252.798900000955,10341,1328,10985,2367,275.46896551724143,10234904.268965518,224.29729729729732,7316381.135135135,12264,46197050
4,2020-03-31,50110250,642258.4012999996,11387.404799999986,183057.25980000015,507820.42750000046,8839.027299999987,142351.24019999985,349132.26530000014,24328.959499999994,316493.65869999985,642258.4012999996,11387.404799999986,183057.25980000015,1215332.1459000004,92077.04950000011,391127.8488999994,1156230.2341000005,91495.13980000009,363451.78609999904,1050746.7591999993,31105.902099999985,266296.28779999993,546091.4466999997,14101.021300000008,100679.9075,238378.49079999988,5458.095600000009,38924.477700000076,690730.090900001,7606.421700000003,133331.0505000002,804087.4557000003,8787.478099999984,156512.75359999994,544874.7293999995,60692.92649999997,396269.53039999923,788203.9025999997,116646.4996,506037.1382000002,1295196.5650000009,157286.2547999999,584053.2864999999,1437670.6243,171707.81770000013,660062.8538000004,1081765.2650000006,66324.8183,374835.4357999997,525689.0973000005,24380.34550000001,110250.79,359279.9912999997,13307.400299999983,61633.665399999925,841049.3554000141,103988.50980000179,610456.5713999998,29661.44290000028,10310,1322,10970,2340,290.8709677419355,10661159.838709677,232.69480519480518,7287016.493506492,14316,52561750
5,2020-04-30,50110250,632062.3556000013,9615.692799999986,137886.61680000005,499758.6246999997,7410.0597000000025,106925.10269999996,359238.7014999996,28911.954000000045,279878.9399,632062.3556000013,9615.692799999986,137886.61680000005,1175447.1468999991,82411.84930000007,358323.1833000001,1086810.5252,97695.08109999998,338604.7402999995,1034142.8569999998,34334.98090000002,246617.10490000012,526018.3302000001,14280.001899999996,105669.90380000004,229616.22339999987,5577.225900000001,40903.028100000105,672131.6220999998,13845.040499999988,102182.96359999989,782436.7482000006,16334.960700000007,119564.89969999994,535280.8808999999,57394.53869999993,370005.1875,764563.3468000008,107627.94700000016,499700.8945999997,1253867.8963999979,136619.48499999993,574085.7683999997,1384875.1313000014,158689.1042999999,628695.3823999997,1060843.1987999994,81759.71050000003,343018.26779999945,533139.8263000004,16859.1603,114693.59590000012,364372.1607000003,9451.825300000008,63794.70289999999,873151.5965000085,89592.99430000049,548828.4244999754,26899.76680000066,10302,1317,10950,2329,302.34,10984104.026666667,253.83448275862068,8055460.489655172,14513,52242650
6,2020-05-31,50110250,635650.2176000003,12214.163399999983,201251.22040000005,502595.4714999999,9516.862499999976,156266.27650000007,346231.13189999963,33938.654799999946,364841.64260000037,635650.2176000003,12214.163399999983,201251.22040000005,1196881.7835,77967.45179999985,452773.88000000064,1096034.0235000008,98911.61789999988,420898.9071000005,1040220.1687000005,42985.27079999993,300085.1698,513363.36879999953,17329.372000000014,133040.04629999984,224092.1117999999,6754.826799999993,51354.05469999999,674650.7913000011,11106.725799999986,185555.7966,785369.3424000007,13136.886299999995,217075.03440000012,537596.9707999993,54972.167,440009.7059999998,785733.6430999994,105535.57459999992,566412.2304999994,1276580.027199999,151998.03309999994,651216.5573999991,1412108.3826000013,181633.29520000005,635833.8126999994,1097782.037699999,77934.09229999995,355228.81240000017,557313.1827999997,16552.22540000001,135809.3761000002,380893.33779999975,9039.57769999999,75385.83010000005,764777.4916999969,72268.75210000019,456476.20769999706,3158.518200000004,10279,1305,10923,2309,326.21290322580643,12799861.696774196,288.0632911392405,9264584.829113923,17614,61167800
7,2020-06-30,50110250,599618.5275999992,27338.821900000054,216272.68300000008,474105.9604999997,21050.285400000004,167132.84209999972,312987.4162,35772.334899999936,429750.00389999966,599618.5275999992,27338.821900000054,216272.68300000008,1152781.900099999,108381.1372999999,434137.32090000063,1077954.4731,106445.34869999984,422873.61539999966,1017831.6189000008,46923.57660000002,333706.1784999997,526555.2506,18932.829599999994,126819.9297,229850.60049999977,7331.426099999998,49002.86259999991,633953.0691999993,39048.59580000002,322074.1165000007,737992.6207999989,45360.820599999905,374394.8256999993,552302.1195999994,48556.25569999994,507062.02100000024,734974.0068999998,98228.78790000011,691034.4003000002,1238512.872099999,138502.60480000006,698918.1285000005,1343150.9798999992,190329.68220000007,664573.0710000003,1063064.0951000005,86958.88570000009,375540.30920000037,552631.4239,13407.73089999999,131857.7977999999,377693.6089000002,7681.259200000016,73081.60180000012,716327.0910000055,44648.19829999987,570988.7518000022,3443.5588999999572,10297,1301,10901,2303,312.11333333333334,12613850.493333334,270.0733333333333,8516291.093333334,17365,55895800
8,2020-07-31,50110250,628118.3561000007,90818.92619999996,231993.0382000003,496640.18589999975,69975.5956,181018.72300000023,302548.6760000003,37621.599300000016,604808.1672999993,628118.3561000007,90818.92619999996,231993.0382000003,1198037.5746000002,113919.29629999984,460427.28450000024,1143322.0685999994,116052.81720000008,400670.8341000003,1061326.6312000006,37337.38069999992,320202.0180999998,548327.2366000002,21604.976800000026,131781.74449999994,239354.45240000013,8327.508399999993,50905.65480000001,658890.5049999997,177895.32539999986,163250.01529999988,767022.5996000003,206311.9484000001,191773.6910000001,600825.9847,57018.44679999999,599360.4237999998,809377.2673999999,117760.83960000015,648540.3898000013,1292657.1220999996,168208.74100000013,706387.7668000009,1446370.386100001,181865.67900000012,651364.5240999996,1090646.2114,97402.06380000003,389675.07440000045,573942.9027000003,18651.666599999997,139737.59980000014,392258.8487999996,10392.188099999992,77449.78500000009,829599.884700002,84106.42329999997,459924.2015000025,4834.557300000051,10320,1288,10898,2275,320.41290322580653,12022114.95483871,261.4193548387097,8406305.245161291,23417,74343450
9,2020-08-31,50110250,627702.1349000004,60314.440900000125,433341.1661000008,496311.0874999993,46457.499199999904,338570.76219999976,322208.41329999967,31537.18160000006,615006.4654999996,627702.1349000004,60314.440900000125,433341.1661000008,1166830.0121,98117.966,724059.316100001,1165765.2154999985,96655.02280000006,459602.489,1070263.4010000005,63110.96769999997,319904.4085999995,569663.4645000002,28742.6015,138776.57039999988,248668.08989999985,11098.515799999996,53545.97350000001,649009.5370999994,104041.02649999988,320358.6302999996,755520.0426000003,120689.21129999994,376931.44239999977,597708.7904999995,61410.37079999994,602198.6990000005,799924.0272000006,104633.77880000019,758589.7016999997,1288830.0574999985,167014.1575999999,955525.8742999996,1429467.3490000004,198536.9327,745869.8008,1104404.1753000007,99667.52860000027,408835.7122,610762.7048000001,20165.394900000018,128553.12909999989,417423.1881000005,11142.397099999995,71610.31219999987,809781.6624000034,56516.064300000115,434659.582800002,5358.734000000046,10327,1261,10902,2257,345.7161290322581,14509436.470967742,273.3806451612903,9238841.051612902,24943,80336450
