base_date,emd_cd,korean_resd_f0,korean_work_f0,korean_visit_f0,korean_resd_f10,korean_work_f10,korean_visit_f10,korean_resd_f20,korean_work_f20,korean_visit_f20,korean_resd_f30,korean_work_f30,korean_visit_f30,korean_resd_f40,korean_work_f40,korean_visit_f40,korean_resd_f50,korean_work_f50,korean_visit_f50,korean_resd_f60,korean_work_f60,korean_visit_f60,korean_resd_f70,korean_work_f70,korean_visit_f70,korean_resd_f80,korean_work_f80,korean_visit_f80,korean_resd_m0,korean_work_m0,korean_visit_m0,korean_resd_m10,korean_work_m10,korean_visit_m10,korean_resd_m20,korean_work_m20,korean_visit_m20,korean_resd_m30,korean_work_m30,korean_visit_m30,korean_resd_m40,korean_work_m40,korean_visit_m40,korean_resd_m50,korean_work_m50,korean_visit_m50,korean_resd_m60,korean_work_m60,korean_visit_m60,korean_resd_m70,korean_work_m70,korean_visit_m70,korean_resd_m80,korean_work_m80,korean_visit_m80
0,2018-01-31,50110250,493824.84779999935,15342.116400000012,267484.3647000004,516953.3539000002,16923.429800000005,302208.58039999986,426198.2518000003,35429.82959999998,426261.4845,493824.84779999935,15342.116400000012,267484.3647000004,1096675.4583000015,75000.03999999992,434519.36410000024,1039164.5675999995,77100.96220000001,411149.5361999999,805933.6072999997,32158.30510000001,230486.95169999968,421092.78469999984,13794.514800000019,138511.05379999988,361810.8758,9886.229899999998,93507.50570000024,572581.4505999999,62423.75409999997,393362.5691000004,687911.8365000001,73057.49239999992,468148.4887999996,578740.3126000001,69207.54549999992,449814.53089999966,788536.4255,121145.49919999974,457957.342,1316501.5594999979,160937.5259000001,653437.0410000007,1315340.122399999,123179.67310000012,654687.1977999994,868909.8473999994,51784.63229999999,336561.23470000096,445276.05120000034,14894.290199999989,90850.82529999994,189754.44280000008,5660.507600000007,34563.479200000016
1,2018-02-28,50110250,455766.1907999999,6749.6599000000015,202078.4104000002,477112.20249999966,7632.0224999999955,227138.8817000001,409598.9307999999,27199.37330000001,364620.1100999995,455766.1907999999,6749.6599000000015,202078.4104000002,980518.4404000002,64073.51919999997,354942.46169999964,927806.5599000006,66973.1757,303798.05019999965,724310.9701000002,21141.707200000004,188638.5787000003,396929.77870000026,8669.438600000005,119113.76690000008,341049.5642000002,6312.578600000003,80591.91070000001,537873.8652999992,19693.18369999999,193860.0805,646213.3883000006,23273.578799999974,230515.2714000001,528011.1416999993,65414.57229999997,396069.2135000005,717744.760099999,109563.28990000018,389321.4991999999,1175191.4248000004,136436.56519999992,548439.6183000007,1180342.3246000004,117458.51890000002,502917.7361,773362.0961000004,45374.72199999994,266525.7824,384319.59539999993,15145.23000000001,83372.33599999986,163777.84149999998,5781.2808999999925,31723.382500000014
2,2018-03-31,50110250,451979.02609999967,5004.536599999997,265750.5453999998,473147.66350000026,5484.629699999993,296872.8840999996,404489.86309999984,36826.192400000014,371750.0461000001,451979.02609999967,5004.536599999997,265750.5453999998,1068543.0120000006,80174.40480000012,401045.85069999966,1017976.8706,66292.13680000008,483669.24589999975,801135.8176000002,30261.96609999999,280807.11269999977,411974.15349999984,19274.449499999984,185062.5970999999,353975.97590000025,13869.572599999992,123582.64800000006,539346.2105000005,20284.646600000007,442772.40319999936,647982.2976000003,23978.69720000001,523246.50660000026,555272.9475000001,54255.22080000002,428522.33519999974,811585.4868999992,115001.5592,537876.5506000001,1300581.671499999,174849.90309999985,656158.3729000007,1267003.229399997,131368.36470000012,738092.7513000001,852268.0145000006,48442.667600000146,400619.5216999997,419091.07680000033,15149.391600000024,136002.40790000002,178595.71299999993,5758.1662000000015,51710.399299999954
3,2018-04-30,50110250,435161.3296999996,41333.61529999998,344291.0664999995,455542.3014000003,45298.81599999999,388697.68269999983,371071.79889999994,40108.04639999999,362369.70319999923,435161.3296999996,41333.61529999998,344291.0664999995,1041102.2500000006,87042.81979999987,458676.4230000003,988875.002,77352.34440000006,526579.430199999,762895.4757,13240.862899999993,342648.5091999997,420592.1160999999,19565.9848,223145.07500000024,361380.6905999999,13743.781499999983,147384.6297,529393.9886999998,133791.01859999984,415057.44740000076,636025.4793000001,156502.79429999995,494044.73940000025,549446.5136999999,78340.96750000001,410301.8815999998,800911.6417999999,118366.17629999989,537881.2337,1283903.0100999982,180248.17729999984,701191.4901999998,1247048.0040999996,151111.47989999983,732090.4992000007,812183.3201000011,64236.6519,429508.97230000026,407912.20649999974,16139.046200000037,186627.55109999995,173831.83619999985,6158.678899999989,70903.79150000006
4,2018-05-31,50110250,451480.1993,54618.42749999999,449567.2291999997,472625.47419999976,59982.68840000008,509419.17600000044,364683.6110999999,42162.08750000003,371449.3706999995,451480.1993,54618.42749999999,449567.2291999997,1075599.8108999995,96005.0292000002,513710.6499999996,986259.5227000008,97933.9595999999,465275.6293000008,801896.2265999989,21338.831300000045,321431.8267000003,441896.5690999997,25168.5548,186717.70690000022,379685.88000000024,17886.814599999987,124119.83090000025,551300.1780999998,141124.4851999999,514091.8087,662344.0523999989,165182.60860000018,613004.9843999997,546193.8794999998,64663.76030000003,397999.7247999997,804054.3429000006,121494.37590000007,565646.6493000004,1305566.9580000008,168330.40460000018,704343.5440999995,1258889.0037000005,145200.7935000001,688887.9738000003,857207.442000001,49834.13440000002,396755.5776,437688.9282999995,23214.008100000006,155017.86869999993,186521.18990000014,8836.066799999995,58929.386199999964
5,2018-06-30,50110250,470643.0789000003,54582.38420000008,251310.56630000012,492685.8564000004,59913.21550000004,283642.2095,364524.4073000003,43834.51560000004,554724.9613000004,470643.0789000003,54582.38420000008,251310.56630000012,1077604.2929000014,83619.87300000008,487625.5359000005,971534.5186999984,78815.82349999997,440917.12190000014,815482.9334000002,21829.90490000005,303345.5838999996,412242.82700000063,17208.766099999993,160223.74650000007,354206.8251999998,12918.899900000004,106252.92500000012,550095.5302000005,148755.82739999992,380429.70060000033,660896.7627000001,174074.02349999984,452979.0740000001,521920.6501999989,65435.14039999999,549003.3151999994,807221.4126000002,112958.44559999985,629954.8311999992,1238165.436800001,171260.7097999999,732070.3246999991,1208215.087100001,152820.93669999993,710901.3929999992,871024.6924000003,51030.956099999945,396899.58469999995,446235.60669999936,7668.802999999993,126889.53900000009,190163.35720000011,2924.1146999999987,48302.56609999998
6,2018-07-31,50110250,467649.0950999999,45774.13009999995,315697.9874000002,489551.6465999999,50386.73469999986,356366.12170000037,397728.14220000006,44321.12449999999,611292.7587999996,467649.0950999999,45774.13009999995,315697.9874000002,1088299.7402999995,98166.46159999973,562056.2109999998,1019871.0271000009,87391.31599999996,414869.7260999997,833372.9211999994,27058.69100000001,297951.40209999995,415010.2364,32558.13109999999,158706.18070000008,356584.6362,22942.764400000004,105758.19640000004,585977.1691000003,113759.82260000006,380271.7502000007,704005.7451000002,133012.62309999982,452535.7654999999,578311.0029999999,71950.26980000002,694067.9968000011,827546.9567999998,128311.63399999995,703317.6859000004,1287902.4074000013,156758.09660000016,864913.2359000004,1299108.2081999993,169819.93689999986,698491.2329000004,945239.7735000008,66575.31909999988,385709.45630000037,460721.297,12817.818599999995,154394.80799999993,196336.4375000001,4876.193600000007,58717.63349999999
7,2018-08-31,50110250,475489.7961,18632.69679999999,319574.21240000025,497759.57110000006,20490.637500000033,360151.7151999999,406351.32179999945,45627.25510000007,603878.5091999997,475489.7961,18632.69679999999,319574.21240000025,1083262.496800001,88592.79860000014,704065.4917999994,1034082.3610999995,83013.27110000011,443910.78360000055,879156.0094,34308.99319999997,319639.8311000004,416589.67160000023,27591.972499999996,143148.5829999998,357941.7165999999,20013.03839999997,95748.74789999996,592067.0823000002,68928.09369999997,425411.8815,711322.3000999992,80954.46290000013,504882.20330000005,575613.9291000001,92865.08110000008,652926.0136000004,845154.4022000001,122569.26810000025,805676.3654000013,1327806.1833000004,173639.95560000016,991738.2956999991,1318039.4549999984,173058.05260000002,773784.4519000006,970803.6713999995,49731.624399999964,421423.9580000009,475957.5456999999,22737.74289999999,150897.57629999993,202829.36550000028,8639.3421,57388.47080000002
8,2018-09-30,50110250,457555.73050000006,26894.49440000001,274942.7928000005,478985.5563000004,29474.526899999986,309431.9567999998,387944.6051,43518.327000000056,441141.46819999954,457555.73050000006,26894.49440000001,274942.7928000005,1074425.2208000014,56879.247099999906,469339.20099999924,990482.4602,72187.06520000006,424368.91049999907,852336.7172999998,26358.024299999986,275544.1942000003,383210.5546999999,15524.739500000014,162050.4686999999,329261.7469,10522.205200000013,109398.57149999998,577285.1832,89187.15839999981,344755.8970999996,693563.0025000003,104540.89610000023,407800.34320000047,547372.4314,61328.66739999992,464147.4212999997,803437.7914999996,117991.9148,643213.4489999997,1263357.6347999992,153595.83100000015,681645.9446999996,1260256.114000001,143625.9372,659470.3012000007,912455.2035000012,57300.485900000036,389571.752500001,441257.14530000015,13059.800699999993,138959.06400000013,188041.78630000015,4983.5332999999955,52838.53789999999
9,2018-10-31,50110250,502810.71559999994,47797.17880000004,306226.20509999944,526360.0795999999,52550.25319999997,346328.9024,392904.23919999984,42863.05190000002,355993.0349000005,502810.71559999994,47797.17880000004,306226.20509999944,1114154.6104000006,82442.8046,429586.2519999995,1022832.0651999994,97775.73239999992,466424.2822999993,876627.3360000001,22840.795299999976,334399.33749999985,398747.8265,17126.272099999973,171656.96989999973,342611.6661000002,11976.788000000008,115150.7561,587834.7772999997,121820.6087,406114.4362999996,706237.5175999996,142672.65200000038,482373.89360000007,531070.3974000004,65834.0649,397593.2302000008,848857.8134999992,131046.77119999992,549921.1294000003,1291930.3813999991,152078.1927000001,693629.2692000009,1279419.7170999995,170859.0492999996,679372.0527000008,911805.1347999987,51828.0422,417839.5045999997,438570.72679999983,9206.150399999991,172341.02889999992,186896.96879999997,3502.7091000000005,65545.96249999992
