base_date,emd_cd,f10_resd_pop,f10_work_pop,f10_visit_pop
2018-01-31,2018-01-31,50110250,516953.3539000002,16923.429800000005,302208.5803999999
2018-02-28,2018-02-28,50110250,477112.2024999997,7632.0224999999955,227138.8817000001
2018-03-31,2018-03-31,50110250,473147.66350000026,5484.629699999993,296872.88409999956
2018-04-30,2018-04-30,50110250,455542.3014000003,45298.81599999999,388697.68269999983
2018-05-31,2018-05-31,50110250,472625.47419999976,59982.68840000007,509419.17600000044
2018-06-30,2018-06-30,50110250,492685.8564000004,59913.215500000035,283642.2095
2018-07-31,2018-07-31,50110250,489551.6465999999,50386.73469999986,356366.1217000004
2018-08-31,2018-08-31,50110250,497759.5711000001,20490.63750000003,360151.7151999999
2018-09-30,2018-09-30,50110250,478985.5563000004,29474.52689999999,309431.9567999998
2018-10-31,2018-10-31,50110250,526360.0795999999,52550.25319999997,346328.90239999996
2018-11-30,2018-11-30,50110250,530197.1447999999,43612.99600000011,177153.03900000002
2018-12-31,2018-12-31,50110250,546247.2619999995,36338.62030000002,168801.97960000008
2019-01-31,2019-01-31,50110250,520894.2328999999,15084.429299999982,280447.8227
2019-02-28,2019-02-28,50110250,470396.0446999997,13043.545599999996,266798.96569999994
2019-03-31,2019-03-31,50110250,471028.4600000001,4192.1359,268765.7455000005
2019-04-30,2019-04-30,50110250,453426.92540000024,61082.45969999999,327293.88150000037
2019-05-31,2019-05-31,50110250,463731.24659999995,69650.30270000004,402167.29879999976
2019-06-30,2019-06-30,50110250,437846.56289999984,61642.51350000004,218344.91760000045
2019-07-31,2019-07-31,50110250,470293.7937999999,43890.21300000005,365685.50599999947
2019-08-31,2019-08-31,50110250,524689.6176999998,19307.136,381196.9526000004
2019-09-30,2019-09-30,50110250,496371.22309999965,28107.94279999999,219142.67789999992
2019-10-31,2019-10-31,50110250,496470.2197000002,58643.069100000044,338954.5431999996
2019-11-30,2019-11-30,50110250,470973.4183,58210.986100000075,190021.18529999992
2019-12-31,2019-12-31,50110250,515642.8981000005,47098.855500000034,176849.99739999982
2020-01-31,2020-01-31,50110250,503238.4660999997,21032.912400000023,311991.90340000007
2020-02-29,2020-02-29,50110250,476706.56630000006,8391.028500000008,146962.60670000012
2020-03-31,2020-03-31,50110250,507820.42750000046,8839.027299999987,142351.24019999985
2020-04-30,2020-04-30,50110250,499758.6246999997,7410.0597000000025,106925.10269999996
2020-05-31,2020-05-31,50110250,502595.4714999999,9516.862499999977,156266.27650000007
2020-06-30,2020-06-30,50110250,474105.9604999997,21050.285400000004,167132.84209999972
2020-07-31,2020-07-31,50110250,496640.1858999998,69975.5956,181018.72300000023
2020-08-31,2020-08-31,50110250,496311.0874999993,46457.499199999904,338570.76219999976
2020-09-30,2020-09-30,50110250,513880.62069999985,27964.422200000008,148211.17670000021
2020-10-31,2020-10-31,50110250,512724.64760000014,41063.99480000004,170892.75009999983
2020-11-30,2020-11-30,50110250,558076.0273,43119.06880000004,138359.04660000026
2020-12-31,2020-12-31,50110250,586995.7063000009,26626.71460000004,120968.44859999993
2021-01-31,2021-01-31,50110250,604139.3713,10667.54599999999,162169.36639999982
2021-02-28,2021-02-28,50110250,528498.3265000001,3624.9675,230834.90790000034
2021-03-31,2021-03-31,50110250,521487.81820000015,16474.65770000002,171861.70099999974
2021-04-30,2021-04-30,50110250,545658.8971000002,47533.5331,129149.82019999989
2021-05-31,2021-05-31,50110250,576452.6528000007,31536.706200000015,203558.32470000003
2021-06-30,2021-06-30,50110250,570514.3775,36278.98110000001,210575.92139999993
2018-01-31,2018-01-31,50110253,1085664.8451000007,59071.023800000024,788753.5000000003
2018-02-28,2018-02-28,50110253,1012562.3832999996,39706.13429999997,693238.7544999992
2018-03-31,2018-03-31,50110253,1020476.1546999996,41700.73189999998,702866.1905000004
2018-04-30,2018-04-30,50110253,1060137.2954000002,108440.60489999999,708738.5550000005
2018-05-31,2018-05-31,50110253,1070202.0981999992,108669.88190000004,817257.9864000002
2018-06-30,2018-06-30,50110253,1060391.9378000002,90191.25470000008,657585.8650999987
2018-07-31,2018-07-31,50110253,1078690.7700999994,79457.04189999997,862472.1238
2018-08-31,2018-08-31,50110253,1088835.8877,81601.96759999995,898430.8799999998
2018-09-30,2018-09-30,50110253,1014050.9622000006,80579.68429999994,637158.9003999996
2018-10-31,2018-10-31,50110253,1099431.8479000006,109472.84269999983,671705.694500001
2018-11-30,2018-11-30,50110253,1064415.0442000013,85140.44150000012,520774.1403000015
2018-12-31,2018-12-31,50110253,1136880.5887000004,70986.02199999997,556220.6570999993
2019-01-31,2019-01-31,50110253,1115398.2351,41189.44410000003,745011.6556000002
2019-02-28,2019-02-28,50110253,1010540.561199999,40189.302400000066,683069.3249
2019-03-31,2019-03-31,50110253,1017618.4619,33530.410899999944,675127.5075000005
2019-04-30,2019-04-30,50110253,1076289.637200001,109187.5151,645307.6800000004
2019-05-31,2019-05-31,50110253,1105536.5008000017,101879.63069999997,761281.1605000022
2019-06-30,2019-06-30,50110253,1084167.8473999996,87703.98850000017,527544.2678
2019-07-31,2019-07-31,50110253,1112816.5684000012,79892.60090000002,796217.6532000001
2019-08-31,2019-08-31,50110253,1120025.0999999982,88212.04439999993,839442.4473999994
2019-09-30,2019-09-30,50110253,1027797.3099999987,88414.56260000005,603079.4911999996
2019-10-31,2019-10-31,50110253,1096925.7481999989,94347.09770000001,640428.7361999993
2019-11-30,2019-11-30,50110253,1063530.8432000005,84602.44449999991,494352.20350000064
2019-12-31,2019-12-31,50110253,1094003.3990999998,78042.27809999986,582551.8685999996
2020-01-31,2020-01-31,50110253,1063120.4295999992,55789.25420000002,796251.1389000012
2020-02-29,2020-02-29,50110253,1083022.5315000003,53951.54469999992,481500.5585999995
2020-03-31,2020-03-31,50110253,1213301.6084000005,44265.11780000009,399752.28029999917
2020-04-30,2020-04-30,50110253,1161049.4947,41851.27960000001,366735.80880000035
2020-05-31,2020-05-31,50110253,1195327.1051000012,32704.340299999993,430266.8689999999
2020-06-30,2020-06-30,50110253,1082746.7141,42528.99219999994,482543.6702000002
2020-07-31,2020-07-31,50110253,1140233.8819999995,114084.77220000005,478285.3447000006
2020-08-31,2020-08-31,50110253,1160891.3197999992,88391.27020000013,734297.2479999992
2020-09-30,2020-09-30,50110253,1155844.7931000015,60585.9934,410155.9161999994
2020-10-31,2020-10-31,50110253,1184011.7561999983,55753.58300000009,490638.0446000007
2020-11-30,2020-11-30,50110253,1240432.7342000005,91143.18520000007,487335.4297000009
2020-12-31,2020-12-31,50110253,1327245.6835000005,57675.65809999998,443319.25659999985
2021-01-31,2021-01-31,50110253,1371299.4888000009,33919.47790000001,507688.60359999957
2021-02-28,2021-02-28,50110253,1186779.4655999988,37430.95920000007,663326.4564999989
2021-03-31,2021-03-31,50110253,1222862.7345999992,45177.07010000004,587632.3998000001
2021-04-30,2021-04-30,50110253,1230173.3665,122094.29809999978,420510.7515999993
2021-05-31,2021-05-31,50110253,1309346.8597,78850.38920000002,559904.8317000008
2021-06-30,2021-06-30,50110253,1187331.1317,72257.4829,608632.1036000001
2018-01-31,2018-01-31,50110256,351796.60669999983,24160.502899999996,268655.0572000003
2018-02-28,2018-02-28,50110256,326418.71489999956,13833.593099999993,241213.18120000002
2018-03-31,2018-03-31,50110256,344455.9251999999,15973.71379999999,210310.94580000022
2018-04-30,2018-04-30,50110256,344860.40960000054,89237.1340000001,178959.70980000022
2018-05-31,2018-05-31,50110256,357612.14410000015,73112.50050000017,311390.2427999997
2018-06-30,2018-06-30,50110256,347920.4164999998,86392.75139999992,177221.5455999997
2018-07-31,2018-07-31,50110256,375394.38759999967,63390.32289999987,325932.64050000027
2018-08-31,2018-08-31,50110256,383472.3927999997,55000.100699999995,320370.5705000003
2018-09-30,2018-09-30,50110256,354091.8039000002,60216.07829999993,217919.4988000001
2018-10-31,2018-10-31,50110256,361798.5865000001,80386.8172000001,226666.39129999984
2018-11-30,2018-11-30,50110256,353537.37409999996,86430.18600000022,134481.30929999985
2018-12-31,2018-12-31,50110256,382237.5579000001,61109.95309999998,164859.95500000016
2019-01-31,2019-01-31,50110256,378156.64530000015,30741.78479999997,238369.79329999976
2019-02-28,2019-02-28,50110256,326702.51930000016,15243.315000000022,276106.1003999997
2019-03-31,2019-03-31,50110256,360354.54400000017,5634.756000000008,222942.0349999999
2019-04-30,2019-04-30,50110256,374108.94679999986,93120.5677,188214.47229999988
2019-05-31,2019-05-31,50110256,385385.19549999986,88237.57079999984,266988.65200000035
2019-06-30,2019-06-30,50110256,377734.62269999995,80344.89180000019,157710.55640000015
2019-07-31,2019-07-31,50110256,379576.92720000015,60421.89350000002,293423.21910000016
2019-08-31,2019-08-31,50110256,399152.96530000085,44433.63379999998,334491.6141000004
2019-09-30,2019-09-30,50110256,364889.6671000002,76562.82320000001,197086.61599999998
2019-10-31,2019-10-31,50110256,377349.34589999967,81132.5560000001,192161.10640000016
2019-11-30,2019-11-30,50110256,390298.8742999998,58338.519499999915,146486.53459999987
2019-12-31,2019-12-31,50110256,407433.8183000003,61540.42799999988,174975.86190000022
2020-01-31,2020-01-31,50110256,395833.5064,25462.36690000002,291540.22150000004
2020-02-29,2020-02-29,50110256,388644.3865999996,12555.28969999997,150724.8597000001
2020-03-31,2020-03-31,50110256,418144.9269999999,15789.96979999999,124165.54139999994
2020-04-30,2020-04-30,50110256,403773.3773000003,5861.627799999992,90707.00709999997
