base_date,emd_cd,m40_resd_pop,m40_work_pop,m40_visit_pop
2018-01-31,2018-01-31,50110250,1316501.5594999979,160937.5259000001,653437.0410000007
2018-02-28,2018-02-28,50110250,1175191.4248000004,136436.56519999992,548439.6183000007
2018-03-31,2018-03-31,50110250,1300581.671499999,174849.90309999985,656158.3729000007
2018-04-30,2018-04-30,50110250,1283903.0100999982,180248.17729999986,701191.4901999998
2018-05-31,2018-05-31,50110250,1305566.9580000008,168330.40460000018,704343.5440999995
2018-06-30,2018-06-30,50110250,1238165.436800001,171260.7097999999,732070.3246999991
2018-07-31,2018-07-31,50110250,1287902.4074000013,156758.09660000014,864913.2359000004
2018-08-31,2018-08-31,50110250,1327806.1833000004,173639.95560000016,991738.295699999
2018-09-30,2018-09-30,50110250,1263357.6347999992,153595.83100000015,681645.9446999996
2018-10-31,2018-10-31,50110250,1291930.381399999,152078.1927000001,693629.2692000009
2018-11-30,2018-11-30,50110250,1216625.0551999998,164788.78629999957,628864.9860000004
2018-12-31,2018-12-31,50110250,1285722.7099,162087.49199999997,629210.9487999988
2019-01-31,2019-01-31,50110250,1295726.0170999996,161275.36640000006,638714.4711000004
2019-02-28,2019-02-28,50110250,1155102.337400002,140208.3508999998,588402.8328000006
2019-03-31,2019-03-31,50110250,1278382.2326000005,181723.50019999986,666110.532900001
2019-04-30,2019-04-30,50110250,1275880.6387,165763.21339999998,652569.4602000009
2019-05-31,2019-05-31,50110250,1275920.1638999998,172668.76809999987,706737.2844999998
2019-06-30,2019-06-30,50110250,1205158.3378000015,170148.50060000014,754425.5841999996
2019-07-31,2019-07-31,50110250,1275895.3478000006,185017.39960000024,869946.2407000003
2019-08-31,2019-08-31,50110250,1318483.7745999997,162740.6969999999,957498.2336000012
2019-09-30,2019-09-30,50110250,1219068.7825999998,157550.8442999997,636774.8167999993
2019-10-31,2019-10-31,50110250,1233179.9414000015,160504.7552999999,710988.3214999995
2019-11-30,2019-11-30,50110250,1178300.1033000017,175197.44770000022,643819.4011000001
2019-12-31,2019-12-31,50110250,1224734.6002999998,157566.28810000018,611631.8851000003
2020-01-31,2020-01-31,50110250,1241321.4341000011,133837.56909999994,649504.7414999999
2020-02-29,2020-02-29,50110250,1191018.6818999997,149548.85090000016,545923.0360999998
2020-03-31,2020-03-31,50110250,1295196.565000001,157286.2547999999,584053.2864999999
2020-04-30,2020-04-30,50110250,1253867.896399998,136619.48499999996,574085.7683999998
2020-05-31,2020-05-31,50110250,1276580.027199999,151998.03309999994,651216.5573999991
2020-06-30,2020-06-30,50110250,1238512.8720999993,138502.60480000003,698918.1285000005
2020-07-31,2020-07-31,50110250,1292657.1220999996,168208.74100000013,706387.766800001
2020-08-31,2020-08-31,50110250,1288830.0574999985,167014.1575999999,955525.8742999997
2020-09-30,2020-09-30,50110250,1296539.9385999998,150348.84149999986,644967.7590000004
2020-10-31,2020-10-31,50110250,1321819.3428999993,173928.0655,706133.7339999998
2020-11-30,2020-11-30,50110250,1302510.0808,171694.0716,657167.0805999996
2020-12-31,2020-12-31,50110250,1368998.7157000003,184355.3715000002,552689.7367999993
2021-01-31,2021-01-31,50110250,1384785.1627999996,186570.12269999983,567447.0264999998
2021-02-28,2021-02-28,50110250,1236451.8655999994,138795.38559999998,568730.8402999998
2021-03-31,2021-03-31,50110250,1285444.2932000016,180630.7041,586618.2952999994
2021-04-30,2021-04-30,50110250,1236416.477,180393.8788999997,695923.6395000002
2021-05-31,2021-05-31,50110250,1281777.2889000017,158726.68660000022,765391.0120000002
2021-06-30,2021-06-30,50110250,1220497.7673999993,166336.44039999988,791395.5478999997
2018-01-31,2018-01-31,50110253,2227434.989899997,320106.0556000002,1642083.0982999993
2018-02-28,2018-02-28,50110253,1990948.0583000022,241528.42670000004,1394439.5458999996
2018-03-31,2018-03-31,50110253,2193422.1239000033,293849.0892000003,1741628.0288000002
2018-04-30,2018-04-30,50110253,2110297.15,325599.68160000036,1586121.3466999978
2018-05-31,2018-05-31,50110253,2151811.5570000014,308054.40369999997,1621420.7975999988
2018-06-30,2018-06-30,50110253,2076241.6508000002,293461.94960000005,1655269.7836999972
2018-07-31,2018-07-31,50110253,2078300.2593000042,327692.38169999956,1791528.8574999988
2018-08-31,2018-08-31,50110253,2075983.2426000026,329899.1073999997,2002094.7729000049
2018-09-30,2018-09-30,50110253,2035492.3533,281149.4638000002,1686008.8083999993
2018-10-31,2018-10-31,50110253,2172839.0177000016,294211.47010000027,1723102.4447999992
2018-11-30,2018-11-30,50110253,2127565.8537999997,308814.72609999974,1655486.5238999971
2018-12-31,2018-12-31,50110253,2288434.0291999984,302785.35199999984,1514875.7772000015
2019-01-31,2019-01-31,50110253,2234807.2046000035,281389.65320000006,1628284.7961999974
2019-02-28,2019-02-28,50110253,1976955.5601000008,235994.54270000014,1375801.4936000009
2019-03-31,2019-03-31,50110253,2192547.4939000034,278785.3150000007,1697648.0267000007
2019-04-30,2019-04-30,50110253,2123651.5672,315300.4811000001,1599126.7890999985
2019-05-31,2019-05-31,50110253,2217332.081600001,322924.1722999995,1685326.2409
2019-06-30,2019-06-30,50110253,2127413.9850000013,317982.62879999983,1623281.7894000001
2019-07-31,2019-07-31,50110253,2152132.9965,321631.0646000004,1793234.2792000023
2019-08-31,2019-08-31,50110253,2150799.112099999,303529.2572,2005150.9391
2019-09-30,2019-09-30,50110253,2082588.8168999988,277339.7457999999,1439997.4602999983
2019-10-31,2019-10-31,50110253,2134068.4851,297220.32129999995,1698042.9793999996
2019-11-30,2019-11-30,50110253,2101715.2049000007,297082.6329000003,1568751.3178000012
2019-12-31,2019-12-31,50110253,2140237.143399999,304963.03149999963,1554551.6080999987
2020-01-31,2020-01-31,50110253,2109150.6712000007,288961.1512000002,1557680.5138000008
2020-02-29,2020-02-29,50110253,2044228.5259999982,268261.5913999999,1384129.4930999982
2020-03-31,2020-03-31,50110253,2271668.0057999985,303453.9508999998,1339109.6983000003
2020-04-30,2020-04-30,50110253,2190978.4598000017,283283.22719999985,1341825.0768000018
2020-05-31,2020-05-31,50110253,2212557.8252000036,289857.26700000017,1464450.6789999963
2020-06-30,2020-06-30,50110253,2114425.2356999987,288366.81889999995,1430261.1365000012
2020-07-31,2020-07-31,50110253,2234486.3942999993,303831.60010000004,1507443.8907999988
2020-08-31,2020-08-31,50110253,2234341.101100001,292204.9054999999,1897196.9612000044
2020-09-30,2020-09-30,50110253,2159312.7245,270470.1928999997,1504656.182200001
2020-10-31,2020-10-31,50110253,2208068.1552999998,292547.6811000007,1717180.724900001
2020-11-30,2020-11-30,50110253,2219990.9067000016,307322.6906999995,1667710.9086999996
2020-12-31,2020-12-31,50110253,2385205.2500000033,294381.7451,1526702.4687999976
2021-01-31,2021-01-31,50110253,2459382.1596000036,289306.7748999999,1414101.2447000023
2021-02-28,2021-02-28,50110253,2108273.9340000013,240699.0774000002,1446424.2003999995
2021-03-31,2021-03-31,50110253,2258961.213600002,291943.4268,1675639.5645000015
2021-04-30,2021-04-30,50110253,2171857.4711,338743.8002000004,1621728.7891999995
2021-05-31,2021-05-31,50110253,2251674.0847,320472.40590000036,1820518.0469000018
2021-06-30,2021-06-30,50110253,2138485.7380000036,316035.6196999996,1749266.067299999
2018-01-31,2018-01-31,50110256,813461.9489000002,101722.82350000003,493044.52729999996
2018-02-28,2018-02-28,50110256,730040.6449000004,83746.27900000001,443779.2337000005
2018-03-31,2018-03-31,50110256,802814.6426,110887.4072999999,518845.9258999995
2018-04-30,2018-04-30,50110256,806041.6368999993,121861.89829999993,542473.4897000002
2018-05-31,2018-05-31,50110256,846254.2049999998,129349.77259999992,582824.8050000012
2018-06-30,2018-06-30,50110256,801084.2448,118524.07910000018,574940.7205000002
2018-07-31,2018-07-31,50110256,820922.2723999997,120378.38390000016,651437.8937000005
2018-08-31,2018-08-31,50110256,843843.4596000004,122640.47120000013,754852.9648999999
2018-09-30,2018-09-30,50110256,797036.8522000007,99267.50899999996,584133.1598999994
2018-10-31,2018-10-31,50110256,823717.7966000006,95804.91830000027,574498.5114999994
2018-11-30,2018-11-30,50110256,773886.1272000001,96141.98980000018,481969.7992000005
2018-12-31,2018-12-31,50110256,828513.1014999995,94567.71729999993,453423.3443999991
2019-01-31,2019-01-31,50110256,818330.8858999996,93603.22049999984,488094.5920999999
2019-02-28,2019-02-28,50110256,732765.6754000003,99892.30090000005,474145.8206000003
2019-03-31,2019-03-31,50110256,825596.5915999997,99301.80010000005,498822.08220000047
2019-04-30,2019-04-30,50110256,821488.4840999994,105649.83890000008,529712.8656999995
2019-05-31,2019-05-31,50110256,834495.5842999995,127094.65510000015,579621.9447000001
2019-06-30,2019-06-30,50110256,826477.1483999994,116098.37290000006,594016.6593000008
2019-07-31,2019-07-31,50110256,846451.9713000002,118736.60040000005,685485.4012000004
2019-08-31,2019-08-31,50110256,854452.9999999997,111323.1737,767450.7448999988
2019-09-30,2019-09-30,50110256,778614.4347000008,99325.18259999983,513736.1993000002
2019-10-31,2019-10-31,50110256,809091.9998,99945.14339999987,572504.2802000002
2019-11-30,2019-11-30,50110256,777954.4764000005,117116.36810000014,473941.7183000003
2019-12-31,2019-12-31,50110256,807040.4559999993,117758.32330000005,475930.6109999995
2020-01-31,2020-01-31,50110256,806039.5153000015,89351.46579999998,498205.09910000063
2020-02-29,2020-02-29,50110256,758277.8264999999,78404.32150000012,411340.6784
2020-03-31,2020-03-31,50110256,833504.3887000007,101140.65029999986,431610.5231000006
2020-04-30,2020-04-30,50110256,804677.1858000003,113113.66940000009,413438.1004000001
2020-05-31,2020-05-31,50110256,824263.7508999996,94808.82589999991,523130.35399999947
2020-06-30,2020-06-30,50110256,789511.4610000004,102466.16150000003,489281.6959000004
2020-07-31,2020-07-31,50110256,821904.0654000002,108970.5493000001,550395.0020999997
2020-08-31,2020-08-31,50110256,824409.9570999983,99888.31260000002,754774.0998999999
2020-09-30,2020-09-30,50110256,794686.5175999999,102535.02299999997,523697.9493999996
2020-10-31,2020-10-31,50110256,812047.1354000004,107926.26260000003,574612.0389999986
2020-11-30,2020-11-30,50110256,805973.5935000011,106660.16530000024,503526.5466
2020-12-31,2020-12-31,50110256,884420.9458000002,105154.86850000017,448015.4406999991
2021-01-31,2021-01-31,50110256,896396.0411,98632.91960000001,420722.10949999973
2021-02-28,2021-02-28,50110256,800541.5706999996,95538.52349999998,481746.39859999955
2021-03-31,2021-03-31,50110256,875849.3320999993,122427.35759999987,473267.00040000014
2021-04-30,2021-04-30,50110256,859856.5548999995,125499.64610000001,522802.33729999984
2021-05-31,2021-05-31,50110256,910750.1540000002,112083.17349999984,618422.1372000006
2021-06-30,2021-06-30,50110256,863678.2068,123645.55730000028,619169.8463999997
2018-01-31,2018-01-31,50110259,1129874.3690000018,195931.4751999996,801842.9279999998
2018-02-28,2018-02-28,50110259,983288.0215999995,160697.16869999995,658013.0946000002
2018-03-31,2018-03-31,50110259,1083714.1231999993,190828.53739999988,834740.3869999994
2018-04-30,2018-04-30,50110259,1048824.9300999988,205991.60510000045,959192.1399999995
2018-05-31,2018-05-31,50110259,1120471.3220999995,226799.09220000045,953892.4054999996
2018-06-30,2018-06-30,50110259,1091072.2580000006,208466.8066999998,930018.0455999988
2018-07-31,2018-07-31,50110259,1095806.503200001,215957.65170000005,1002832.9631000008
2018-08-31,2018-08-31,50110259,1088788.3073000002,214874.00480000014,1129529.4315999988
2018-09-30,2018-09-30,50110259,1052941.6009000007,180128.78739999994,905016.8618000003
2018-10-31,2018-10-31,50110259,1105886.2832000002,188785.65070000006,926079.9104999999
2018-11-30,2018-11-30,50110259,1034508.7606000006,209759.9503999997,863785.4891999979
2018-12-31,2018-12-31,50110259,1061890.2982000003,194792.0809,763827.4119999997
2019-01-31,2019-01-31,50110259,1030872.5774000001,186003.20119999992,856764.183999999
2019-02-28,2019-02-28,50110259,927743.3575999999,155020.74740000002,747749.4411000003
2019-03-31,2019-03-31,50110259,1066727.2966000002,182026.54430000004,850676.1757000005
2019-04-30,2019-04-30,50110259,1035546.2433000015,209766.05150000026,882527.6594999996
2019-05-31,2019-05-31,50110259,1090412.865,217293.09319999957,977743.5120000017
