base_date,emd_cd,korean,long_term_frgn,short_term_frgn,resident,card_cnt,card_amt,waste_cnt,detached,apt,town,multiplex,commercial_building,distancing,waste_amt
0,2019-11-30,50110250,7321787.938100007,469689.3527000047,129161.40060000098,25149.0,267.3806452,9586590.265,620.0,60578,58244,18880,28829,3900,0.0,2279550.0
1,2019-12-31,50110250,6915172.7046999885,482920.2385000009,122124.66090000008,25080.0,266.8144654,9621756.255,8178.0,60578,58244,18880,28829,3900,0.0,31493650.0
2,2020-01-31,50110250,7476136.6790000675,587299.9639999889,112758.3034000022,25076.0,257.6044304,9648302.136,13042.0,5542,954,1085,608,277,0.0,49632850.0
3,2020-02-29,50110250,5561977.512400008,559439.3958999953,60252.798900000955,25021.0,249.62116040000004,8760701.457,12264.0,5542,954,1085,608,277,0.0,46197050.0
4,2020-03-31,50110250,6094368.529799998,714445.0812000015,29661.44290000028,24942.0,261.8770227,8979547.945,14316.0,5542,954,1085,608,277,0.0,52561750.0
5,2020-04-30,50110250,5684750.733800002,638421.4187999759,26899.76680000066,24898.0,278.49830510000004,9544601.271,14513.0,5542,954,1085,608,277,0.0,52242650.0
6,2020-05-31,50110250,6776586.252099963,528744.9597999973,3158.518200000004,24816.0,306.9552716,11015281.04,17614.0,5542,954,1085,608,277,0.0,61167800.0
7,2020-06-30,50110250,7621125.2889999775,615636.9501000021,3443.5588999999572,24802.0,291.0933333,10565070.79,17365.0,5542,954,1085,608,277,0.1,55895800.0
8,2020-07-31,50110250,8100980.592200053,544030.6248000024,4834.557300000051,24781.0,290.916129,10214210.1,23417.0,5542,954,1085,608,277,1.0,74343450.0
9,2020-08-31,50110250,9569720.476000007,491175.6471000022,5358.734000000046,24747.0,309.5483871,11874138.76,24943.0,5542,954,1085,608,277,1.3225806451612905,80336450.0
10,2020-09-30,50110250,7014125.994900012,518727.7307000081,4222.502299999987,24711.0,307.6621622,11491011.58,21807.0,5542,954,1085,608,277,2.0,70032800.0
11,2020-10-31,50110250,8147031.4475000035,477503.11129999923,1553.558799999993,24667.0,276.51456310000003,10392028.73,21947.0,5542,954,1085,608,277,2.0,73234800.0
12,2020-11-30,50110250,7993246.928800028,355385.3711000007,2126.8682999999733,24627.0,271.6588629,9857835.274,19990.0,5542,954,1085,608,277,1.2,70548650.0
13,2020-12-31,50110250,6533003.962200003,381481.4364000023,1681.4957999999908,24609.0,266.8383838,9687670.083999999,19001.0,5542,954,1085,608,277,1.6774193548387095,65998800.0
14,2021-01-31,50110250,6195202.9296,424998.1983000058,1345.4774999999995,24616.0,269.01355930000005,9749913.027,18369.0,5542,954,1085,608,277,2.0,60314250.0
15,2021-02-28,50110250,6646771.330799973,405548.96689999546,1379.530799999992,24571.0,262.8498168,9875741.484,17384.0,5542,954,1085,608,277,1.75,60052534.0
16,2021-03-31,50110250,7840074.226499974,395482.89710000076,2876.332299999948,24494.0,274.3189369,10296078.59,19901.0,5542,954,1085,608,277,1.5,69780550.0
17,2021-04-30,50110250,8781502.190100035,467198.17509999935,1844.038800000025,24487.0,277.152027,10154532.52,20950.0,5542,954,1085,608,277,1.5,73755600.0
18,2021-05-31,50110250,9036916.9633,397223.9937999824,1327.8782999999885,24435.0,291.0423453,10829062.85,24046.0,5542,954,1085,608,277,1.5322580645161292,79295550.0
19,2021-06-30,50110250,9251269.070399992,439635.12270000397,1761.8072000000132,24462.0,290.4914088999999,10621506.6,25653.0,5542,954,1085,608,277,2.0,82746990.0
20,2018-01-31,50110253,17017728.17619995,642428.1301000031,178483.41199999643,35206.0,435.31366460000004,15008630.33,3702.0,59279,56760,17641,27893,3647,0.0,7744200.0
21,2018-02-28,50110253,14195808.819800107,491314.084800001,178746.20109999983,35426.0,415.2034483,15198084.83,3182.0,59279,56760,17641,27893,3647,0.0,6799950.0
22,2018-03-31,50110253,17850429.216300018,761829.8145000066,238145.94580000232,35520.0,458.50308640000003,15133866.38,3789.0,59279,56760,17641,27893,3647,0.0,8239050.0
23,2018-04-30,50110253,17915681.18359986,621701.6635999947,249621.91289999665,35641.0,477.6719243,15932993.99,3733.0,59279,56760,17641,27893,3647,0.0,7756850.0
24,2018-05-31,50110253,18209774.00879999,436955.78689999867,292828.1900000006,35743.0,491.10942249999994,16705703.78,4084.0,59279,56760,17641,27893,3647,0.0,7819200.0
25,2018-06-30,50110253,17915451.731800046,603262.3940000003,422526.0174000014,35862.0,491.49845199999993,16199727.31,4276.0,59279,56760,17641,27893,3647,0.0,8349500.0
26,2018-07-31,50110253,19207031.59960006,502341.65789999784,465595.5131000032,35978.0,520.398773,17442591.7,5031.0,59279,56760,17641,27893,3647,0.0,9775900.0
27,2018-08-31,50110253,20390023.085000105,775821.1942000011,528309.2726999947,36059.0,536.76,18117379.77,4454.0,59279,56760,17641,27893,3647,0.0,7980150.0
28,2018-09-30,50110253,16956242.322700087,722199.6980000003,571870.0110999992,36182.0,506.2797428,17739200.63,3689.0,59279,56760,17641,27893,3647,0.0,6243150.0
29,2018-10-31,50110253,17699105.91540001,695173.1155000018,581161.9944000021,36394.0,503.08125,16502954.28,3537.0,59279,56760,17641,27893,3647,0.0,5927500.0
30,2018-11-30,50110253,16449898.331199965,723226.6691999977,491485.1055999941,36496.0,499.0958466,16823200.54,3388.0,59279,56760,17641,27893,3647,0.0,6189400.0
31,2018-12-31,50110253,15920495.73220004,717161.6293000048,445648.08310000354,36550.0,506.1049383,17241889.97,3289.0,59279,56760,17641,27893,3647,0.0,6749250.0
32,2019-01-31,50110253,17095342.269099887,1039633.4978000034,465023.4271,36646.0,476.3015385,16228078.98,3129.0,60578,58244,18880,28829,3900,0.0,6324700.0
33,2019-02-28,50110253,15008654.57509994,644682.389699995,488870.1010999962,36744.0,471.99317410000003,16611315.44,2811.0,60578,58244,18880,28829,3900,0.0,5733100.0
34,2019-03-31,50110253,17781232.872800093,1080012.869600011,561388.9039000041,36849.0,508.2546584,16720082.8,3015.0,60578,58244,18880,28829,3900,0.0,6057700.0
35,2019-04-30,50110253,17522237.70459993,835183.5734000073,605716.8636999942,36902.0,535.3729904,17163366.62,2997.0,60578,58244,18880,28829,3900,0.0,5753700.0
36,2019-05-31,50110253,18445273.024699904,705000.2957999917,580525.8862000088,37019.0,534.3839009,17341954.04,4231.0,60578,58244,18880,28829,3900,0.0,7364450.0
37,2019-06-30,50110253,17114219.29870008,714283.446700003,628504.6011000007,37116.0,521.5768025,16658167.71,4795.0,60578,58244,18880,28829,3900,0.0,8786950.0
38,2019-07-31,50110253,18790672.124799952,621477.8210999985,625662.0700000029,37119.0,561.2561728,17329254.05,5287.0,60578,58244,18880,28829,3900,0.0,9908000.0
39,2019-08-31,50110253,20333839.080399934,888207.2846000039,685914.5362999989,37127.0,563.4006024,18406523.61,5390.0,60578,58244,18880,28829,3900,0.0,9669800.0
40,2019-09-30,50110253,16057417.486000072,735399.3741999988,600771.3899999871,37194.0,526.9619048000002,17606690.79,4749.0,60578,58244,18880,28829,3900,0.0,8122000.0
41,2019-10-31,50110253,18060347.635400034,915247.5747000036,712349.7328999826,37247.0,559.6346748999998,17499931.5,4479.0,60578,58244,18880,28829,3900,0.0,7338950.0
42,2019-11-30,50110253,16985163.58169999,896469.6837999956,633132.4811999899,37299.0,547.3650794,17434788.87,6869.0,60578,58244,18880,28829,3900,0.0,15380950.0
43,2019-12-31,50110253,16966691.45520004,1099294.6942999943,658145.0506999912,37345.0,557.462963,18841002.69,13387.0,60578,58244,18880,28829,3900,0.0,40070100.0
44,2020-01-31,50110253,17728842.262500025,981873.5228999752,564525.8722999863,37310.0,524.0308642,18272632.18,18289.0,9367,1059,1739,1601,335,0.0,58435300.0
45,2020-02-29,50110253,13800104.68550007,1028809.9897999793,133738.68970000072,37446.0,509.61204010000006,16624648.26,19199.0,9367,1059,1739,1601,335,0.0,58395800.0
46,2020-03-31,50110253,13957959.297299916,890920.1164999951,136194.7322000025,37433.0,544.1666667000002,17684270.43,23171.0,9367,1059,1739,1601,335,0.0,66494950.0
47,2020-04-30,50110253,13558885.703600055,894740.2937999812,90465.07320000102,37444.0,562.9075908,18768529.29,23199.0,9367,1059,1739,1601,335,0.0,66115500.0
48,2020-05-31,50110253,15449388.12610002,663761.7002000001,9523.290599999822,37551.0,604.6760125,20547995.12,29041.0,9367,1059,1739,1601,335,0.0,80917650.0
49,2020-06-30,50110253,15646259.621700032,587130.7965000019,12520.869699999963,37646.0,592.6343042000002,19070361.72,30249.0,9367,1059,1739,1601,335,0.1,78356550.0
50,2020-07-31,50110253,16903972.45970008,665767.4620000084,16157.141599999752,37740.0,574.04375,18883968.25,40444.0,9367,1059,1739,1601,335,1.0,104291450.0
51,2020-08-31,50110253,19627343.17109997,754374.5855000078,23282.39249999996,37847.0,621.384375,21051155.52,43067.0,9367,1059,1739,1601,335,1.3225806451612905,112411340.0
52,2020-09-30,50110253,15661132.61969991,847236.9603999745,30376.54930000025,37788.0,626.1461793999998,21794640.49,37419.0,9367,1059,1739,1601,335,2.0,84883500.0
53,2020-10-31,50110253,18603987.210800003,854049.8284999814,37342.72850000019,37787.0,583.1234177,19908966.16,36791.0,9367,1059,1739,1601,335,2.0,87842750.0
54,2020-11-30,50110253,19252477.354700048,969022.5302999894,25939.63619999992,37831.0,572.3974359,19668268.04,34200.0,9367,1059,1739,1601,335,1.2,89782750.0
55,2020-12-31,50110253,16207751.26409997,925547.4894999444,34312.868800000186,37898.0,555.0917722,19071068.73,33615.0,9367,1059,1739,1601,335,1.6774193548387095,88980300.0
56,2021-01-31,50110253,15249558.337300053,918064.8631999572,15045.263800000224,37904.0,530.6178344,17868835.82,32503.0,9367,1059,1739,1601,335,2.0,84554750.0
57,2021-02-28,50110253,16291615.24670011,685911.2610999974,11231.388800000052,37956.0,558.8035087999998,19276185.38,30567.0,9367,1059,1739,1601,335,1.75,81911700.0
58,2021-03-31,50110253,19174625.24850001,1038959.7984999946,28620.388800000244,38015.0,573.4767802,19350893.03,33859.0,9367,1059,1739,1601,335,1.5,90262150.0
59,2021-04-30,50110253,19266970.652899966,798706.5569999972,28652.63640000036,38080.0,604.8774194,20278383.38,35383.0,9367,1059,1739,1601,335,1.5,91456441.0
60,2021-05-31,50110253,20530518.343600105,802335.6318000235,27273.02650000017,38197.0,616.9053627999998,20827045.51,41080.0,9367,1059,1739,1601,335,1.5322580645161292,103211100.0
61,2021-06-30,50110253,19878729.37369995,682226.4323999784,27754.83149999981,38298.0,607.9546926,19826929.6,42490.0,9367,1059,1739,1601,335,2.0,103756400.0
62,2019-11-30,50110256,5820780.304799982,161446.41400000028,71072.25310000076,16214.0,166.29431440000005,5424288.728999998,593.0,60578,58244,18880,28829,3900,0.0,2720350.0
63,2019-12-31,50110256,5925512.542299997,189694.8902000003,66745.93620000084,16232.0,163.8205128,5378189.221,2942.0,60578,58244,18880,28829,3900,0.0,11540750.0
64,2020-01-31,50110256,6287626.916300016,162249.9290000058,62958.29529999957,16203.0,158.0852459,5449322.079,5800.0,5532,134,231,380,244,0.0,21059800.0
65,2020-02-29,50110256,4380514.0087999925,147579.04250000493,24419.239300000085,16202.0,154.25704230000005,4919624.246,6097.0,5532,134,231,380,244,0.0,19992650.0
66,2020-03-31,50110256,4855239.9666999765,169628.81629999896,8923.353799999884,16139.0,169.8310811,5398126.4860000005,7258.0,5532,134,231,380,244,0.0,22170750.0
67,2020-04-30,50110256,4761806.275700036,153548.1563000041,6556.73409999993,16051.0,174.67229730000003,5382862.24,7488.0,5532,134,231,380,244,0.0,21849950.0
68,2020-05-31,50110256,5808829.398800013,170650.15389999995,447.55930000000063,16066.0,204.78662419999998,6887010.274,9516.0,5532,134,231,380,244,0.0,27501450.0
69,2020-06-30,50110256,6037153.522400003,168121.2906999992,1260.7750999999905,16077.0,204.4794521,6662139.363,9180.0,5532,134,231,380,244,0.1,25651800.0
70,2020-07-31,50110256,7119620.315300003,256290.0791999982,1645.1137000000094,16101.0,194.059375,6228747.238,13077.0,5532,134,231,380,244,1.0,37079550.0
71,2020-08-31,50110256,8258598.683799977,237193.6724000013,791.3201999999968,16118.0,218.73202609999998,7190847.3560000025,14184.0,5532,134,231,380,244,1.3225806451612905,41169850.0
72,2020-09-30,50110256,5827092.879600007,141697.79060000178,756.6694999999993,16128.0,211.5782313,7331996.585,11770.0,5532,134,231,380,244,2.0,31084150.0
73,2020-10-31,50110256,6971611.471199996,120491.08380000124,1047.427699999997,16141.0,198.1732026,6460338.873,11513.0,5532,134,231,380,244,2.0,31478700.0
74,2020-11-30,50110256,6808005.56290001,123173.31450000026,1704.3385999999698,16153.0,200.4232082,6591419.3620000025,10253.0,5532,134,231,380,244,1.2,30118550.0
75,2020-12-31,50110256,5278489.786100013,142154.87820000484,852.1112000000016,16129.0,188.9863481,6102559.7370000025,9802.0,5532,134,231,380,244,1.6774193548387095,26978450.0
76,2021-01-31,50110256,4961312.248899985,130409.31370000224,184.01960000000042,16099.0,181.0169492,5844460.522000001,9025.0,5532,134,231,380,244,2.0,25143650.0
77,2021-02-28,50110256,5835227.372599998,134606.14580000011,338.97379999999737,16113.0,186.62172280000001,6404611.8089999985,8833.0,5532,134,231,380,244,1.75,26678900.0
78,2021-03-31,50110256,6726725.19389998,160872.28869999966,1217.7156999999754,15985.0,181.81028940000002,5868944.431,10269.0,5532,134,231,380,244,1.5,30919350.0
79,2021-04-30,50110256,7457119.259600055,133546.0677000003,1150.540299999985,15991.0,183.4477124,6210654.611000001,11197.0,5532,134,231,380,244,1.5,33131350.0
80,2021-05-31,50110256,7876864.203200015,161006.2604000033,1338.922100000011,15963.0,193.6622517,6688469.4470000025,12014.0,5532,134,231,380,244,1.5322580645161292,34451200.0
81,2021-06-30,50110256,7660525.9607999725,165849.39490000173,1146.1990000000067,15955.0,197.8536585,6764170.307,14031.0,5532,134,231,380,244,2.0,37807150.0
82,2019-11-30,50110259,10460515.451300034,241632.75630000106,130799.19839999975,25238.0,377.4303797,11583827.19,1024.0,60578,58244,18880,28829,3900,0.0,3136800.0
83,2019-12-31,50110259,10371419.871800063,331833.64500000037,154290.40520000193,25313.0,370.2606061,12190209.18,5650.0,60578,58244,18880,28829,3900,0.0,19805800.0
84,2020-01-31,50110259,10580350.116500074,257290.2941000099,145122.62300000232,25454.0,351.58641980000016,11688002.39,10538.0,6281,759,1493,1108,254,0.0,33574800.0
85,2020-02-29,50110259,7650979.970699979,231366.75760000732,37937.26540000031,25589.0,344.6688312,10817230.68,11046.0,6281,759,1493,1108,254,0.0,33456300.0
