base_date,emd_cd,detached,apt,town,multiplex,commercial_building
0,2021-07-31,50110250,5542,954,1085,608,277
1,2021-07-31,50110253,9367,1059,1739,1601,335
2,2021-07-31,50110256,5532,134,231,380,244
3,2021-07-31,50110259,6281,759,1493,1108,254
4,2021-07-31,50110310,3864,24,217,81,104
5,2021-07-31,50110320,783,0,0,20,21
6,2021-07-31,50110330,658,0,6,7,50
7,2021-07-31,50110510,439,115,15,143,84
8,2021-07-31,50110520,3584,5116,411,1302,203
9,2021-07-31,50110530,726,1226,64,239,138
10,2021-07-31,50110540,3609,6553,2521,3647,486
11,2021-07-31,50110550,1879,1147,179,712,153
12,2021-07-31,50110560,1144,763,121,468,133
13,2021-07-31,50110570,1268,263,132,530,85
14,2021-07-31,50110580,2417,1161,272,716,109
15,2021-07-31,50110590,1049,1145,233,665,56
16,2021-07-31,50110600,1156,5510,612,1411,105
17,2021-07-31,50110610,1494,5778,613,918,111
18,2021-07-31,50110620,697,689,255,364,39
19,2021-07-31,50110630,2134,4363,3227,2975,199
20,2021-07-31,50110640,1094,545,1394,1797,114
21,2021-07-31,50110650,1902,7474,1753,4015,279
22,2021-07-31,50110660,2266,10247,2248,3429,225
23,2021-07-31,50110670,1338,4098,412,1399,126
24,2021-07-31,50110680,571,292,229,491,38
25,2021-07-31,50110690,496,276,158,109,61
26,2021-07-31,50130250,4792,715,3153,948,247
27,2021-07-31,50130253,5359,705,504,289,171
28,2021-07-31,50130259,4617,674,212,548,219
29,2021-07-31,50130310,3791,193,464,479,141
30,2021-07-31,50130320,3522,285,461,461,144
31,2021-07-31,50130510,870,279,170,215,56
32,2021-07-31,50130520,316,359,131,18,66
33,2021-07-31,50130530,526,130,35,158,162
34,2021-07-31,50130540,569,348,93,98,90
35,2021-07-31,50130550,1222,33,296,347,47
36,2021-07-31,50130560,1327,142,567,78,59
37,2021-07-31,50130570,863,6483,571,1211,182
38,2021-07-31,50130580,852,1758,512,625,66
39,2021-07-31,50130590,1844,2143,1688,397,81
40,2021-07-31,50130600,1612,2529,797,214,39
41,2021-07-31,50130610,1484,1667,1152,615,88
42,2021-07-31,50130620,1023,0,219,39,29
43,2021-08-31,50110250,5542,954,1085,608,277
44,2021-08-31,50110253,9367,1059,1739,1601,335
45,2021-08-31,50110256,5532,134,231,380,244
46,2021-08-31,50110259,6281,759,1493,1108,254
47,2021-08-31,50110310,3864,24,217,81,104
48,2021-08-31,50110320,783,0,0,20,21
49,2021-08-31,50110330,658,0,6,7,50
50,2021-08-31,50110510,439,115,15,143,84
51,2021-08-31,50110520,3584,5116,411,1302,203
52,2021-08-31,50110530,726,1226,64,239,138
53,2021-08-31,50110540,3609,6553,2521,3647,486
54,2021-08-31,50110550,1879,1147,179,712,153
55,2021-08-31,50110560,1144,763,121,468,133
56,2021-08-31,50110570,1268,263,132,530,85
57,2021-08-31,50110580,2417,1161,272,716,109
58,2021-08-31,50110590,1049,1145,233,665,56
59,2021-08-31,50110600,1156,5510,612,1411,105
60,2021-08-31,50110610,1494,5778,613,918,111
61,2021-08-31,50110620,697,689,255,364,39
62,2021-08-31,50110630,2134,4363,3227,2975,199
63,2021-08-31,50110640,1094,545,1394,1797,114
64,2021-08-31,50110650,1902,7474,1753,4015,279
65,2021-08-31,50110660,2266,10247,2248,3429,225
66,2021-08-31,50110670,1338,4098,412,1399,126
67,2021-08-31,50110680,571,292,229,491,38
68,2021-08-31,50110690,496,276,158,109,61
69,2021-08-31,50130250,4792,715,3153,948,247
70,2021-08-31,50130253,5359,705,504,289,171
71,2021-08-31,50130259,4617,674,212,548,219
72,2021-08-31,50130310,3791,193,464,479,141
73,2021-08-31,50130320,3522,285,461,461,144
74,2021-08-31,50130510,870,279,170,215,56
75,2021-08-31,50130520,316,359,131,18,66
76,2021-08-31,50130530,526,130,35,158,162
77,2021-08-31,50130540,569,348,93,98,90
78,2021-08-31,50130550,1222,33,296,347,47
79,2021-08-31,50130560,1327,142,567,78,59
80,2021-08-31,50130570,863,6483,571,1211,182
81,2021-08-31,50130580,852,1758,512,625,66
82,2021-08-31,50130590,1844,2143,1688,397,81
83,2021-08-31,50130600,1612,2529,797,214,39
84,2021-08-31,50130610,1484,1667,1152,615,88
85,2021-08-31,50130620,1023,0,219,39,29
