base_date,emd_cd,temp,rain
2019-01-31,2019-01-31,50110250.0,135.8,24.5
2019-02-28,2019-02-28,50110250.0,167.3,32.0
2019-03-31,2019-03-31,50110250.0,266.09999999999997,47.5
2019-04-30,2019-04-30,50110250.0,391.8,39.0
2019-05-31,2019-05-31,50110250.0,544.2,245.0
2019-06-30,2019-06-30,50110250.0,593.6000000000001,198.5
2019-07-31,2019-07-31,50110250.0,728.2999999999998,258.0
2019-08-31,2019-08-31,50110250.0,802.8000000000001,343.5
2019-09-30,2019-09-30,50110250.0,690.3000000000001,518.0
2019-10-31,2019-10-31,50110250.0,550.3000000000001,162.5
2019-11-30,2019-11-30,50110250.0,385.30000000000007,27.0
2019-12-31,2019-12-31,50110250.0,249.70000000000002,63.5
2019-01-31,2019-01-31,50110253.0,-34.40000000000001,27.0
2019-02-28,2019-02-28,50110253.0,56.6,69.0
2019-03-31,2019-03-31,50110253.0,149.90000000000003,92.5
2019-04-30,2019-04-30,50110253.0,214.99999999999997,102.0
2019-05-31,2019-05-31,50110253.0,433.6,667.5
2019-06-30,2019-06-30,50110253.0,476.70000000000016,455.0
2019-07-31,2019-07-31,50110253.0,585.9,1299.5
2019-08-31,2019-08-31,50110253.0,677.6999999999999,822.5
2019-09-30,2019-09-30,50110253.0,584.1999999999999,1121.5
2019-10-31,2019-10-31,50110253.0,401.3999999999999,171.5
2019-11-30,2019-11-30,50110253.0,316.49999999999994,22.0
2019-12-31,2019-12-31,50110253.0,111.0,95.5
2019-01-31,2019-01-31,50110256.0,151.5,18.5
2019-02-28,2019-02-28,50110256.0,199.10000000000002,50.5
2019-03-31,2019-03-31,50110256.0,297.90000000000003,80.5
2019-04-30,2019-04-30,50110256.0,401.8999999999999,72.0
2019-05-31,2019-05-31,50110256.0,562.9,485.0
2019-06-30,2019-06-30,50110256.0,604.6,169.0
2019-07-31,2019-07-31,50110256.0,747.6999999999999,552.8
2019-08-31,2019-08-31,50110256.0,811.5999999999999,244.0
2019-09-30,2019-09-30,50110256.0,692.9999999999999,1034.0
2019-10-31,2019-10-31,50110256.0,570.8000000000001,278.5
2019-11-30,2019-11-30,50110256.0,410.00000000000006,72.5
2019-12-31,2019-12-31,50110256.0,264.5,57.0
2019-01-31,2019-01-31,50110259.0,79.7,26.0
2019-02-28,2019-02-28,50110259.0,103.60000000000001,164.5
2019-03-31,2019-03-31,50110259.0,233.19999999999996,119.0
2019-04-30,2019-04-30,50110259.0,350.40000000000003,97.5
2019-05-31,2019-05-31,50110259.0,529.0,752.0
2019-06-30,2019-06-30,50110259.0,554.4999999999999,496.5
2019-07-31,2019-07-31,50110259.0,695.1,606.0
2019-08-31,2019-08-31,50110259.0,727.6,572.5
2019-09-30,2019-09-30,50110259.0,634.7,827.0
2019-10-31,2019-10-31,50110259.0,487.70000000000005,340.0
2019-11-30,2019-11-30,50110259.0,311.0,91.0
2019-12-31,2019-12-31,50110259.0,174.30000000000004,67.0
2019-01-31,2019-01-31,50110310.0,138.4,24.5
2019-02-28,2019-02-28,50110310.0,161.4,33.0
2019-03-31,2019-03-31,50110310.0,272.79999999999995,45.0
2019-04-30,2019-04-30,50110310.0,391.5,39.5
2019-05-31,2019-05-31,50110310.0,546.5,232.5
2019-06-30,2019-06-30,50110310.0,593.6000000000001,198.5
2019-07-31,2019-07-31,50110310.0,729.2,290.0
2019-08-31,2019-08-31,50110310.0,800.7,344.5
2019-09-30,2019-09-30,50110310.0,689.3,443.0
2019-10-31,2019-10-31,50110310.0,535.6000000000001,169.0
2019-11-30,2019-11-30,50110310.0,384.80000000000007,27.0
2019-12-31,2019-12-31,50110310.0,245.00000000000003,66.5
2019-01-31,2019-01-31,50110320.0,166.1,17.0
2019-02-28,2019-02-28,50110320.0,170.10000000000002,48.0
2019-03-31,2019-03-31,50110320.0,286.70000000000005,50.5
2019-04-30,2019-04-30,50110320.0,378.8000000000001,48.0
2019-05-31,2019-05-31,50110320.0,525.3000000000001,135.0
2019-06-30,2019-06-30,50110320.0,585.0,134.5
2019-07-31,2019-07-31,50110320.0,710.8,267.0
2019-08-31,2019-08-31,50110320.0,736.2,247.0
2019-09-30,2019-09-30,50110320.0,683.6999999999999,166.0
2019-10-31,2019-10-31,50110320.0,597.1,144.5
2019-11-30,2019-11-30,50110320.0,406.90000000000003,9.5
2019-12-31,2019-12-31,50110320.0,280.8,28.0
2019-01-31,2019-01-31,50110330.0,215.29999999999995,15.5
2019-02-28,2019-02-28,50110330.0,233.00000000000003,73.5
2019-03-31,2019-03-31,50110330.0,344.9,59.0
2019-04-30,2019-04-30,50110330.0,423.09999999999997,91.5
2019-05-31,2019-05-31,50110330.0,560.8,154.0
2019-06-30,2019-06-30,50110330.0,612.4999999999999,137.5
2019-07-31,2019-07-31,50110330.0,735.2000000000002,483.5
2019-08-31,2019-08-31,50110330.0,819.5999999999999,258.5
2019-09-30,2019-09-30,50110330.0,711.9999999999999,754.5
2019-10-31,2019-10-31,50110330.0,613.6999999999999,169.0
2019-11-30,2019-11-30,50110330.0,450.8,82.0
2019-12-31,2019-12-31,50110330.0,309.7,73.5
2019-01-31,2019-01-31,50110510.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110510.0,130.1,52.5
2019-03-31,2019-03-31,50110510.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110510.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110510.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110510.0,601.4,148.0
2019-07-31,2019-07-31,50110510.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110510.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110510.0,650.3,993.5
2019-10-31,2019-10-31,50110510.0,515.5,276.5
2019-11-30,2019-11-30,50110510.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110510.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110520.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110520.0,130.1,52.5
2019-03-31,2019-03-31,50110520.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110520.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110520.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110520.0,601.4,148.0
2019-07-31,2019-07-31,50110520.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110520.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110520.0,650.3,993.5
2019-10-31,2019-10-31,50110520.0,515.5,276.5
2019-11-30,2019-11-30,50110520.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110520.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110530.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110530.0,130.1,52.5
2019-03-31,2019-03-31,50110530.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110530.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110530.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110530.0,601.4,148.0
2019-07-31,2019-07-31,50110530.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110530.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110530.0,650.3,993.5
2019-10-31,2019-10-31,50110530.0,515.5,276.5
2019-11-30,2019-11-30,50110530.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110530.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110540.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110540.0,130.1,52.5
2019-03-31,2019-03-31,50110540.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110540.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110540.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110540.0,601.4,148.0
2019-07-31,2019-07-31,50110540.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110540.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110540.0,650.3,993.5
2019-10-31,2019-10-31,50110540.0,515.5,276.5
2019-11-30,2019-11-30,50110540.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110540.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110550.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110550.0,130.1,52.5
2019-03-31,2019-03-31,50110550.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110550.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110550.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110550.0,601.4,148.0
2019-07-31,2019-07-31,50110550.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110550.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110550.0,650.3,993.5
2019-10-31,2019-10-31,50110550.0,515.5,276.5
2019-11-30,2019-11-30,50110550.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110550.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110560.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110560.0,130.1,52.5
2019-03-31,2019-03-31,50110560.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110560.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110560.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110560.0,601.4,148.0
2019-07-31,2019-07-31,50110560.0,731.6999999999999,420.5
