행정구역명,행정동코드,주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호)
한림읍,50110250,165220,59279,56760,17641,27893,3647
애월읍,50110253,165220,59279,56760,17641,27893,3647
구좌읍,50110256,165220,59279,56760,17641,27893,3647
조천읍,50110259,165220,59279,56760,17641,27893,3647
한경면,50110310,165220,59279,56760,17641,27893,3647
추자면,50110320,165220,59279,56760,17641,27893,3647
우도면,50110330,165220,59279,56760,17641,27893,3647
일도1동,50110510,165220,59279,56760,17641,27893,3647
일도2동,50110520,165220,59279,56760,17641,27893,3647
이도1동,50110530,165220,59279,56760,17641,27893,3647
이도2동,50110540,165220,59279,56760,17641,27893,3647
삼도1동,50110550,165220,59279,56760,17641,27893,3647
삼도2동,50110560,165220,59279,56760,17641,27893,3647
용담1동,50110570,165220,59279,56760,17641,27893,3647
용담2동,50110580,165220,59279,56760,17641,27893,3647
건입동,50110590,165220,59279,56760,17641,27893,3647
화북동,50110600,165220,59279,56760,17641,27893,3647
삼양동,50110610,165220,59279,56760,17641,27893,3647
봉개동,50110620,165220,59279,56760,17641,27893,3647
아라동,50110630,165220,59279,56760,17641,27893,3647
오라동,50110640,165220,59279,56760,17641,27893,3647
연동,50110650,165220,59279,56760,17641,27893,3647
노형동,50110660,165220,59279,56760,17641,27893,3647
외도동,50110670,165220,59279,56760,17641,27893,3647
이호동,50110680,165220,59279,56760,17641,27893,3647
도두동,50110690,165220,59279,56760,17641,27893,3647
대정읍,50130250,67848,33440,17439,9305,5947,1717
남원읍,50130253,67848,33440,17439,9305,5947,1717
성산읍,50130259,67848,33440,17439,9305,5947,1717
안덕면,50130310,67848,33440,17439,9305,5947,1717
표선면,50130320,67848,33440,17439,9305,5947,1717
송산동,50130510,67848,33440,17439,9305,5947,1717
정방동,50130520,67848,33440,17439,9305,5947,1717
중앙동,50130530,67848,33440,17439,9305,5947,1717
천지동,50130540,67848,33440,17439,9305,5947,1717
효돈동,50130550,67848,33440,17439,9305,5947,1717
영천동,50130560,67848,33440,17439,9305,5947,1717
동홍동,50130570,67848,33440,17439,9305,5947,1717
서홍동,50130580,67848,33440,17439,9305,5947,1717
대륜동,50130590,67848,33440,17439,9305,5947,1717
대천동,50130600,67848,33440,17439,9305,5947,1717
중문동,50130610,67848,33440,17439,9305,5947,1717
예래동,50130620,67848,33440,17439,9305,5947,1717
