행정구역별(읍면동),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),행정동코드
한림읍,8466,5542,954,1085,608,277,50110250
애월읍,14101,9367,1059,1739,1601,335,50110253
구좌읍,6521,5532,134,231,380,244,50110256
조천읍,9895,6281,759,1493,1108,254,50110259
한경면,4290,3864,24,217,81,104,50110310
추자면,826,783,X,X,20,21,50110320
우도면,721,658,X,6,7,50,50110330
일도1동,796,439,115,15,143,84,50110510
일도2동,10616,3584,5116,411,1302,203,50110520
이도1동,2393,726,1226,64,239,138,50110530
이도2동,16816,3609,6553,2521,3647,486,50110540
삼도1동,4070,1879,1147,179,712,153,50110550
삼도2동,2629,1144,763,121,468,133,50110560
용담1동,2278,1268,263,132,530,85,50110570
용담2동,4675,2417,1161,272,716,109,50110580
건입동,3148,1049,1145,233,665,56,50110590
화북동,8794,1156,5510,612,1411,105,50110600
삼양동,8914,1494,5778,613,918,111,50110610
봉개동,2044,697,689,255,364,39,50110620
아라동,12898,2134,4363,3227,2975,199,50110630
오라동,4944,1094,545,1394,1797,114,50110640
연동,15423,1902,7474,1753,4015,279,50110650
노형동,18415,2266,10247,2248,3429,225,50110660
외도동,7373,1338,4098,412,1399,126,50110670
이호동,1621,571,292,229,491,38,50110680
도두동,1100,496,276,158,109,61,50110690
대정읍,9855,4792,715,3153,948,247,50130250
남원읍,7028,5359,705,504,289,171,50130253
성산읍,6270,4617,674,212,548,219,50130259
안덕면,5068,3791,193,464,479,141,50130310
표선면,4873,3522,285,461,461,144,50130320
송산동,1590,870,279,170,215,56,50130510
정방동,890,316,359,131,18,66,50130520
중앙동,1011,526,130,35,158,162,50130530
천지동,1198,569,348,93,98,90,50130540
효돈동,1945,1222,33,296,347,47,50130550
영천동,2173,1327,142,567,78,59,50130560
동홍동,9310,863,6483,571,1211,182,50130570
서홍동,3813,852,1758,512,625,66,50130580
대륜동,6153,1844,2143,1688,397,81,50130590
대천동,5191,1612,2529,797,214,39,50130600
중문동,5006,1484,1667,1152,615,88,50130610
예래동,1310,1023,X,219,39,29,50130620
