em_cnt,em_g
2018-01-31,1107,8880900
2018-02-28,950,7543950
2018-03-31,1169,9287150
2018-04-30,1305,9853350
2018-05-31,1585,10290950
2018-06-30,1796,10533050
2018-07-31,2050,11860200
2018-08-31,2222,12184350
2018-09-30,1550,9085850
2018-10-31,1515,9371850
2018-11-30,1615,9997100
2018-12-31,1335,8593600
2019-01-31,1077,5044050
2019-02-28,0,0
2019-03-31,0,0
2019-04-30,0,0
2019-05-31,0,0
2019-06-30,0,0
2019-07-31,0,0
2019-08-31,0,0
2019-09-30,320,482950
2019-10-31,424,550350
2019-11-30,439,621300
2019-12-31,460,828350
2020-01-31,388,645900
2020-02-29,187,337600
2020-03-31,0,0
2020-04-30,0,0
2020-05-31,0,0
2020-06-30,574,836200
2020-07-31,197,1372799
2020-08-31,389,2387650
2020-09-30,314,2010300
2020-10-31,300,2226900
2020-11-30,254,2088750
2020-12-31,239,2147470
2021-01-31,237,2057700
2021-02-28,224,1985100
2021-03-31,230,2153800
2021-04-30,212,1936900
2021-05-31,260,1910750
2021-06-30,327,2157850
